"label","isRequired","instanceType","datatype","name","uuid:ID","isEnabled","id"
"LBTESTCD","True","BiomedicalConceptProperty","","LBTESTCD","959c2b02-f51d-42c5-b28e-5c181876ae02","True","BiomedicalConceptProperty_131"
"LBORRES","True","BiomedicalConceptProperty","float","LBORRES","eeca909d-1cbc-4f3f-963b-5fba81e0d1cf","True","BiomedicalConceptProperty_132"
"LBORRESU","True","BiomedicalConceptProperty","","LBORRESU","5af4a00f-bff6-4131-a8b6-d25b045d6f67","True","BiomedicalConceptProperty_133"
"LBSPEC","True","BiomedicalConceptProperty","","LBSPEC","7163e136-4cad-45bb-8bd5-4139c501b920","True","BiomedicalConceptProperty_134"
"LBFAST","True","BiomedicalConceptProperty","","LBFAST","797cb18e-12d9-40d6-99ba-9657f59b1069","True","BiomedicalConceptProperty_135"
"LBTESTCD","True","BiomedicalConceptProperty","","LBTESTCD","d6354468-76b1-4cd0-b7e3-a80824220c84","True","BiomedicalConceptProperty_136"
"LBORRES","True","BiomedicalConceptProperty","text","LBORRES","e0f42bb2-009a-4f6b-ba4a-fb470500cfb9","True","BiomedicalConceptProperty_137"
"LBSPEC","True","BiomedicalConceptProperty","","LBSPEC","7140aeb2-3b33-4252-bc6b-6ef497c3d874","True","BiomedicalConceptProperty_138"
"LBFAST","True","BiomedicalConceptProperty","","LBFAST","39df29cc-539f-4caf-9e7e-98ac5c9b4447","True","BiomedicalConceptProperty_139"
"LBTESTCD","True","BiomedicalConceptProperty","","LBTESTCD","b06f715d-b1e5-4a5c-8395-9df46fe80441","True","BiomedicalConceptProperty_140"
"LBORRES","True","BiomedicalConceptProperty","float","LBORRES","e581512d-b709-4b1a-972e-0a79d3ab2860","True","BiomedicalConceptProperty_141"
"LBORRESU","True","BiomedicalConceptProperty","","LBORRESU","2252d3de-99db-4d50-b7e8-8f41bd549f58","True","BiomedicalConceptProperty_142"
"LBSPEC","True","BiomedicalConceptProperty","","LBSPEC","257884b3-30fb-469e-a06f-a5c2ef158a97","True","BiomedicalConceptProperty_143"
"LBFAST","True","BiomedicalConceptProperty","","LBFAST","dc4dd6cf-0d97-4670-8144-9808b4cb9bab","True","BiomedicalConceptProperty_144"
"LBTESTCD","True","BiomedicalConceptProperty","","LBTESTCD","9db438b9-be81-41c4-b953-aed416898fee","True","BiomedicalConceptProperty_145"
"LBORRES","True","BiomedicalConceptProperty","float","LBORRES","5aa10016-63d3-436e-ae2d-eee45a2a8185","True","BiomedicalConceptProperty_146"
"LBORRESU","True","BiomedicalConceptProperty","","LBORRESU","2ec980e1-4629-401c-85f0-fbd811ae9f9d","True","BiomedicalConceptProperty_147"
"LBSPEC","True","BiomedicalConceptProperty","","LBSPEC","a69be723-f759-4097-b1ba-c116ebf1ca02","True","BiomedicalConceptProperty_148"
"LBFAST","True","BiomedicalConceptProperty","","LBFAST","5d2137b0-0ad5-4c09-955f-2b7b616687da","True","BiomedicalConceptProperty_149"
"LBTESTCD","True","BiomedicalConceptProperty","","LBTESTCD","54fa5bab-e606-4655-9578-f33a9522cd0f","True","BiomedicalConceptProperty_150"
"LBORRES","True","BiomedicalConceptProperty","float","LBORRES","f31705e5-83c6-4dca-94d0-9fa0ffb15061","True","BiomedicalConceptProperty_151"
"LBORRESU","True","BiomedicalConceptProperty","","LBORRESU","9dae161b-2553-4cef-be66-507c515b421e","True","BiomedicalConceptProperty_152"
"LBSPEC","True","BiomedicalConceptProperty","","LBSPEC","a1927bac-8bdd-4334-b1f3-05616b15cb5f","True","BiomedicalConceptProperty_153"
"LBFAST","True","BiomedicalConceptProperty","","LBFAST","2521bd43-e26b-4423-9c9d-997ab0e98ea8","True","BiomedicalConceptProperty_154"
"LBTESTCD","True","BiomedicalConceptProperty","","LBTESTCD","f5e550d4-0b14-40ef-aa47-e33f4b3815c8","True","BiomedicalConceptProperty_155"
"LBORRES","True","BiomedicalConceptProperty","float","LBORRES","676a9af2-575a-4698-931b-40185f6fe62e","True","BiomedicalConceptProperty_156"
"LBORRESU","True","BiomedicalConceptProperty","","LBORRESU","3df582ea-02e0-483e-9222-285aeca2536e","True","BiomedicalConceptProperty_157"
"LBSPEC","True","BiomedicalConceptProperty","","LBSPEC","371a4283-95fc-427e-ab0b-0ccac90365ed","True","BiomedicalConceptProperty_158"
"LBFAST","True","BiomedicalConceptProperty","","LBFAST","47f0f9be-9e03-4985-a573-b40bea78d7ad","True","BiomedicalConceptProperty_159"
"LBTESTCD","True","BiomedicalConceptProperty","","LBTESTCD","86838330-f3cc-43df-a2c1-6f2c10314891","True","BiomedicalConceptProperty_160"
"LBORRES","True","BiomedicalConceptProperty","float","LBORRES","4f12a3aa-7832-4d40-89ce-446a78a4866d","True","BiomedicalConceptProperty_161"
"LBORRESU","True","BiomedicalConceptProperty","","LBORRESU","b86c4f41-8d57-4539-9c7f-accee16a6bf2","True","BiomedicalConceptProperty_162"
"LBSPEC","True","BiomedicalConceptProperty","","LBSPEC","34896496-479b-4151-bf15-4ef215300250","True","BiomedicalConceptProperty_163"
"LBFAST","True","BiomedicalConceptProperty","","LBFAST","49556697-e28a-4da8-81ad-bc8a7c0b5d91","True","BiomedicalConceptProperty_164"
"LBTESTCD","True","BiomedicalConceptProperty","","LBTESTCD","963372bd-82d0-4d33-b3e1-8feae5c43516","True","BiomedicalConceptProperty_165"
"LBORRES","True","BiomedicalConceptProperty","float","LBORRES","8e35c827-9cf0-4a90-988b-189ff2f1690b","True","BiomedicalConceptProperty_166"
"LBORRESU","True","BiomedicalConceptProperty","","LBORRESU","2d9b4e7f-a9a7-4e8a-8593-4f1a9de0007c","True","BiomedicalConceptProperty_167"
"LBSPEC","True","BiomedicalConceptProperty","","LBSPEC","298abfd9-ec8c-414f-825a-0879404f5044","True","BiomedicalConceptProperty_168"
"LBFAST","True","BiomedicalConceptProperty","","LBFAST","c143fc19-3101-49f0-b3c8-2c8e2513894d","True","BiomedicalConceptProperty_169"
"AETERM","True","BiomedicalConceptProperty","text","AETERM","1d24455e-0479-4bd0-8a53-8ffa9b19a488","True","BiomedicalConceptProperty_1"
"AEDECOD","True","BiomedicalConceptProperty","text","AEDECOD","67313b47-bce2-4ea4-a3ce-c2d998bec025","True","BiomedicalConceptProperty_2"
"AEPRESP","True","BiomedicalConceptProperty","text","AEPRESP","13eaab51-922e-4556-b42f-847c0649c060","True","BiomedicalConceptProperty_3"
"AELOC","True","BiomedicalConceptProperty","text","AELOC","2519f976-e574-4977-9bcc-090ffacbbdd2","True","BiomedicalConceptProperty_4"
"AESEV","True","BiomedicalConceptProperty","text","AESEV","fd16280a-0896-40ce-bd2a-b16a31ec9f37","True","BiomedicalConceptProperty_5"
"AESER","True","BiomedicalConceptProperty","text","AESER","9331c35a-5669-409d-996b-617e29b9d3ee","True","BiomedicalConceptProperty_6"
"AEACN","True","BiomedicalConceptProperty","text","AEACN","490f84db-56c6-479a-b5fa-193f2c136e57","True","BiomedicalConceptProperty_7"
"AEACNOTH","True","BiomedicalConceptProperty","text","AEACNOTH","ccd9394d-359e-4c18-ae7b-ea2e1c12a47c","True","BiomedicalConceptProperty_8"
"AEREL","True","BiomedicalConceptProperty","text","AEREL","57dae163-3f8b-4f48-b662-4c5c6e39957a","True","BiomedicalConceptProperty_9"
"AERELNST","True","BiomedicalConceptProperty","text","AERELNST","cde76ff9-269e-41ea-8d54-e02947058cbe","True","BiomedicalConceptProperty_10"
"AEPATT","True","BiomedicalConceptProperty","text","AEPATT","d7a5b765-3e07-45be-8fbc-8defc7cc3c7e","True","BiomedicalConceptProperty_11"
"AEOUT","True","BiomedicalConceptProperty","text","AEOUT","f8b7f46f-422d-453a-95e4-703cf7ae832e","True","BiomedicalConceptProperty_12"
"AESCAN","True","BiomedicalConceptProperty","text","AESCAN","21455fa8-7ad7-4a3b-a0ff-a8b377641b70","True","BiomedicalConceptProperty_13"
"AESCONG","True","BiomedicalConceptProperty","text","AESCONG","1a9ba2ba-c3f3-4fe2-8f08-7e1f0b6e9a6c","True","BiomedicalConceptProperty_14"
"AESDISAB","True","BiomedicalConceptProperty","text","AESDISAB","757d9afa-3519-4231-8710-e0be735e6a89","True","BiomedicalConceptProperty_15"
"AESDTH","True","BiomedicalConceptProperty","text","AESDTH","c53b9c75-7aa3-4afe-a0b4-a40cd535bbc4","True","BiomedicalConceptProperty_16"
"AESHOSP","True","BiomedicalConceptProperty","text","AESHOSP","1bad9763-6af8-4333-a98c-4622479baab7","True","BiomedicalConceptProperty_17"
"AESLIFE","True","BiomedicalConceptProperty","text","AESLIFE","e2aa8b5b-a64b-434b-9a3e-c326129fc497","True","BiomedicalConceptProperty_18"
"AESOD","True","BiomedicalConceptProperty","text","AESOD","82b677df-dec3-4760-9a7c-f49aa6522c3a","True","BiomedicalConceptProperty_19"
"AESMIE","True","BiomedicalConceptProperty","text","AESMIE","3fd428ef-c4d8-4c26-8724-30f81885712e","True","BiomedicalConceptProperty_20"
"AECONTRT","True","BiomedicalConceptProperty","text","AECONTRT","e20f6f90-5b48-4692-baeb-4aed8c84083f","True","BiomedicalConceptProperty_21"
"AESTDTC","True","BiomedicalConceptProperty","datetime","AESTDTC","ec6c9655-c312-4bb2-b775-41c16c8a779d","True","BiomedicalConceptProperty_22"
"AEENDTC","True","BiomedicalConceptProperty","datetime","AEENDTC","861eed42-608f-4c69-a563-a6840428d512","True","BiomedicalConceptProperty_23"
"VSTESTCD","True","BiomedicalConceptProperty","","VSTESTCD","b3089763-06ff-46bf-b78f-cb1e10057947","True","BiomedicalConceptProperty_24"
"VSORRES","True","BiomedicalConceptProperty","integer","VSORRES","5c3011ff-97e6-4880-b9d1-7da5ca62b94a","True","BiomedicalConceptProperty_25"
"VSORRESU","True","BiomedicalConceptProperty","","VSORRESU","ca8bd096-6a6a-46cd-885d-3e10d5649a71","True","BiomedicalConceptProperty_26"
"VSPOS","True","BiomedicalConceptProperty","","VSPOS","a198127e-b44b-4778-8d83-d93ec3abad44","True","BiomedicalConceptProperty_27"
"VSLOC","True","BiomedicalConceptProperty","","VSLOC","c8ae8912-a2aa-478a-b540-58278772ad33","True","BiomedicalConceptProperty_28"
"VSLAT","True","BiomedicalConceptProperty","","VSLAT","1bed1d6d-e887-4ef2-abe1-025472ca3983","True","BiomedicalConceptProperty_29"
"VSTESTCD","True","BiomedicalConceptProperty","","VSTESTCD","811cf000-16d9-426a-ac0b-82d07f9007cb","True","BiomedicalConceptProperty_30"
"VSORRES","True","BiomedicalConceptProperty","integer","VSORRES","71d04c17-d98c-4be0-9321-7e80c0552016","True","BiomedicalConceptProperty_31"
"VSORRESU","True","BiomedicalConceptProperty","","VSORRESU","09e7cb91-01dc-420b-8d07-c467d6e5e3c3","True","BiomedicalConceptProperty_32"
"VSPOS","True","BiomedicalConceptProperty","","VSPOS","c84a3d44-8d05-4e17-b1a5-5d5000c71c6a","True","BiomedicalConceptProperty_33"
"VSLOC","True","BiomedicalConceptProperty","","VSLOC","fac3cd21-79c8-41c2-9738-50e94f6be8b4","True","BiomedicalConceptProperty_34"
"VSLAT","True","BiomedicalConceptProperty","","VSLAT","22dc62f2-732c-4af1-9fa9-f9a0945bf7ec","True","BiomedicalConceptProperty_35"
"VSTESTCD","True","BiomedicalConceptProperty","","VSTESTCD","3961aa5c-11f7-4316-8b4c-8b496744bde7","True","BiomedicalConceptProperty_36"
"VSORRES","True","BiomedicalConceptProperty","float","VSORRES","820d3c29-0838-4870-b00e-0e393c2a6b81","True","BiomedicalConceptProperty_37"
"VSORRESU","True","BiomedicalConceptProperty","","VSORRESU","6c9359fd-f671-4c86-aad9-c77ed01dc619","True","BiomedicalConceptProperty_38"
"VSLOC","True","BiomedicalConceptProperty","","VSLOC","78742ee4-8bcc-46ff-97a6-0ca2769a88d8","True","BiomedicalConceptProperty_39"
"VSTESTCD","True","BiomedicalConceptProperty","","VSTESTCD","fc541162-5add-4795-8252-f4ac69a76668","True","BiomedicalConceptProperty_40"
"VSORRES","True","BiomedicalConceptProperty","float","VSORRES","b6338d76-971f-4005-985c-05b95c639aeb","True","BiomedicalConceptProperty_41"
"VSORRESU","True","BiomedicalConceptProperty","","VSORRESU","57de2e1e-bccf-404d-8db3-e1c5484981d8","True","BiomedicalConceptProperty_42"
"VSTESTCD","True","BiomedicalConceptProperty","","VSTESTCD","19b56428-647e-4c08-b3ec-0b21e1c42bdb","True","BiomedicalConceptProperty_43"
"VSORRES","True","BiomedicalConceptProperty","float","VSORRES","3b7b13de-77f3-403b-a9b7-2ea6eedb074d","True","BiomedicalConceptProperty_44"
"VSORRESU","True","BiomedicalConceptProperty","","VSORRESU","4898d181-8add-4768-a934-85e1ca713d3c","True","BiomedicalConceptProperty_45"
"LBTESTCD","True","BiomedicalConceptProperty","","LBTESTCD","f6e82e13-c781-4eff-89b1-0994f3360fb4","True","BiomedicalConceptProperty_46"
"LBORRES","True","BiomedicalConceptProperty","float","LBORRES","490ae4a9-0fd1-43ce-a331-2564869e1289","True","BiomedicalConceptProperty_47"
"LBORRESU","True","BiomedicalConceptProperty","","LBORRESU","12b23f0c-e043-4d75-b087-94b56fdfe62c","True","BiomedicalConceptProperty_48"
"LBSPEC","True","BiomedicalConceptProperty","","LBSPEC","1cb3a37f-95c9-4a60-a872-c7c2c5f1c199","True","BiomedicalConceptProperty_49"
"LBFAST","True","BiomedicalConceptProperty","","LBFAST","a622b7ad-3069-4cb5-b8d0-3d2313df007c","True","BiomedicalConceptProperty_50"
"LBTESTCD","True","BiomedicalConceptProperty","","LBTESTCD","80a34f8f-e135-4b86-bc53-f16614c3226d","True","BiomedicalConceptProperty_51"
"LBORRES","True","BiomedicalConceptProperty","text","LBORRES","b3045d04-af7a-4e2a-b7ff-5ad71ca2174e","True","BiomedicalConceptProperty_52"
"LBSPEC","True","BiomedicalConceptProperty","","LBSPEC","8939c54b-c777-4c31-8ffc-c0fe74a921a4","True","BiomedicalConceptProperty_53"
"LBFAST","True","BiomedicalConceptProperty","","LBFAST","197ba8ca-0bcf-4f2c-810c-a4a05f90e362","True","BiomedicalConceptProperty_54"
"LBTESTCD","True","BiomedicalConceptProperty","","LBTESTCD","28083d8b-f2fa-414a-8127-4f99019a94c1","True","BiomedicalConceptProperty_55"
"LBORRES","True","BiomedicalConceptProperty","float","LBORRES","806ebe81-4883-4ebe-b04c-aefadd214500","True","BiomedicalConceptProperty_56"
"LBORRESU","True","BiomedicalConceptProperty","","LBORRESU","cf8fd184-2bf2-4a78-9aec-8759058bc44c","True","BiomedicalConceptProperty_57"
"LBSPEC","True","BiomedicalConceptProperty","","LBSPEC","2005766b-a14a-4583-a38e-b96f81eb5ad5","True","BiomedicalConceptProperty_58"
"LBFAST","True","BiomedicalConceptProperty","","LBFAST","67e34612-ce08-42eb-915a-5399ed942853","True","BiomedicalConceptProperty_59"
"LBTESTCD","True","BiomedicalConceptProperty","","LBTESTCD","77452791-36aa-4388-9599-c6cb9e911a79","True","BiomedicalConceptProperty_60"
"LBORRES","True","BiomedicalConceptProperty","float","LBORRES","86f25b01-fbde-4e35-9470-89018a076a2f","True","BiomedicalConceptProperty_61"
"LBORRESU","True","BiomedicalConceptProperty","","LBORRESU","0a7dbba1-965a-455b-90b7-406e239f1540","True","BiomedicalConceptProperty_62"
"LBSPEC","True","BiomedicalConceptProperty","","LBSPEC","072227c1-af2a-4fca-9f00-22441ee1dd2f","True","BiomedicalConceptProperty_63"
"LBFAST","True","BiomedicalConceptProperty","","LBFAST","f3f16ebe-60a8-484e-ad39-90b9a7ad063a","True","BiomedicalConceptProperty_64"
"LBTESTCD","True","BiomedicalConceptProperty","","LBTESTCD","9febd988-db32-445e-9db5-c22088511ebf","True","BiomedicalConceptProperty_65"
"LBORRES","True","BiomedicalConceptProperty","float","LBORRES","a231eb1a-2911-4d20-98fa-2294973f379c","True","BiomedicalConceptProperty_66"
"LBORRESU","True","BiomedicalConceptProperty","","LBORRESU","848399f9-342e-47d9-a6e9-2612a4573ea1","True","BiomedicalConceptProperty_67"
"LBSPEC","True","BiomedicalConceptProperty","","LBSPEC","08f8345f-0be1-4d9c-b69c-2b0905de3e2a","True","BiomedicalConceptProperty_68"
"LBFAST","True","BiomedicalConceptProperty","","LBFAST","822d240d-1f45-4567-b899-9eb7f0746bbb","True","BiomedicalConceptProperty_69"
"LBTESTCD","True","BiomedicalConceptProperty","","LBTESTCD","068446e3-0943-4d5a-9025-243ca0b490c7","True","BiomedicalConceptProperty_70"
"LBORRES","True","BiomedicalConceptProperty","float","LBORRES","61236c66-e8d7-403a-ba67-381c1dcc50a1","True","BiomedicalConceptProperty_71"
"LBORRESU","True","BiomedicalConceptProperty","","LBORRESU","1925fafc-5054-422d-b7b0-19360d2367cd","True","BiomedicalConceptProperty_72"
"LBSPEC","True","BiomedicalConceptProperty","","LBSPEC","9f0fbf6e-1037-48e9-b8be-9ea51a253e8f","True","BiomedicalConceptProperty_73"
"LBFAST","True","BiomedicalConceptProperty","","LBFAST","8778543b-3c9d-4a8c-9b11-b16fa3e977b7","True","BiomedicalConceptProperty_74"
"LBTESTCD","True","BiomedicalConceptProperty","","LBTESTCD","f74812c1-e461-4f9a-bd43-ab0002a9c556","True","BiomedicalConceptProperty_75"
"LBORRES","True","BiomedicalConceptProperty","float","LBORRES","60b107c2-4970-48e4-9002-58d6171179ae","True","BiomedicalConceptProperty_76"
"LBORRESU","True","BiomedicalConceptProperty","","LBORRESU","8c71f437-4c53-4374-8f8e-94551093b00e","True","BiomedicalConceptProperty_77"
"LBSPEC","True","BiomedicalConceptProperty","","LBSPEC","8ad36360-620f-4edd-b8e7-ce6fba9de605","True","BiomedicalConceptProperty_78"
"LBFAST","True","BiomedicalConceptProperty","","LBFAST","ddfcc8cc-4c60-429b-8c06-680a7252e051","True","BiomedicalConceptProperty_79"
"VSTESTCD","True","BiomedicalConceptProperty","","VSTESTCD","49e138ee-e601-4cff-b56f-2e4cc49b8202","True","BiomedicalConceptProperty_80"
"VSORRES","True","BiomedicalConceptProperty","integer","VSORRES","4b032a39-675e-496c-bac9-632393227e62","True","BiomedicalConceptProperty_81"
"VSORRESU","True","BiomedicalConceptProperty","","VSORRESU","77f9bc1f-4f3a-4620-a21b-1f8bdfb36a71","True","BiomedicalConceptProperty_82"
"VSPOS","True","BiomedicalConceptProperty","","VSPOS","e46e748f-4b81-415e-894d-166028d247a3","True","BiomedicalConceptProperty_83"
"VSLOC","True","BiomedicalConceptProperty","","VSLOC","68fa3445-b08b-406c-a2f7-0d367d8df239","True","BiomedicalConceptProperty_84"
"VSLAT","True","BiomedicalConceptProperty","","VSLAT","99dd4efe-fde6-483d-831c-274b2c753784","True","BiomedicalConceptProperty_85"
"VSTESTCD","True","BiomedicalConceptProperty","","VSTESTCD","2e69925f-ffdc-4350-a109-018ba43c05c4","True","BiomedicalConceptProperty_86"
"VSORRES","True","BiomedicalConceptProperty","integer","VSORRES","2a90a54d-ca9e-483a-97fa-6c5ae2f076ef","True","BiomedicalConceptProperty_87"
"VSORRESU","True","BiomedicalConceptProperty","","VSORRESU","d1c83567-87c5-4870-8778-4c124abd1d5e","True","BiomedicalConceptProperty_88"
"VSPOS","True","BiomedicalConceptProperty","","VSPOS","9751d58d-4079-48e7-ab70-2fb6ea31fde2","True","BiomedicalConceptProperty_89"
"VSLOC","True","BiomedicalConceptProperty","","VSLOC","c066fd57-02a9-44d4-8430-825dab4318dd","True","BiomedicalConceptProperty_90"
"VSLAT","True","BiomedicalConceptProperty","","VSLAT","bca720ae-e464-46d8-b03f-29f9888bb7ab","True","BiomedicalConceptProperty_91"
"VSTESTCD","True","BiomedicalConceptProperty","","VSTESTCD","497c445a-5559-4b7b-8c5b-84fe98759561","True","BiomedicalConceptProperty_92"
"VSORRES","True","BiomedicalConceptProperty","integer","VSORRES","dedb0479-bae3-41ba-982d-1ac6eb059bfa","True","BiomedicalConceptProperty_93"
"VSORRESU","True","BiomedicalConceptProperty","","VSORRESU","3240aac0-9dad-487c-85f4-350c98ad0a3c","True","BiomedicalConceptProperty_94"
"VSPOS","True","BiomedicalConceptProperty","","VSPOS","9032d478-721e-46b6-918e-88ff0d688710","True","BiomedicalConceptProperty_95"
"VSLOC","True","BiomedicalConceptProperty","","VSLOC","0aa0c170-0df9-48d8-9394-df1960163d3f","True","BiomedicalConceptProperty_96"
"VSLAT","True","BiomedicalConceptProperty","","VSLAT","baf60ea3-ebd9-456f-9872-70e4f1fb30b6","True","BiomedicalConceptProperty_97"
"VSTESTCD","True","BiomedicalConceptProperty","","VSTESTCD","8ab9787d-5155-4e7a-b70d-2aa862e3856c","True","BiomedicalConceptProperty_98"
"VSORRES","True","BiomedicalConceptProperty","integer","VSORRES","85f97062-846e-4204-b005-a6fbf99ce32b","True","BiomedicalConceptProperty_99"
"VSORRESU","True","BiomedicalConceptProperty","","VSORRESU","0a0d008f-9eb5-4cd8-a7c3-412934b34cee","True","BiomedicalConceptProperty_100"
"VSPOS","True","BiomedicalConceptProperty","","VSPOS","40f09fb0-90ad-4aaf-aaae-3df3183a2dbe","True","BiomedicalConceptProperty_101"
"VSLOC","True","BiomedicalConceptProperty","","VSLOC","d762dd8a-5a6d-4668-8270-dfddd61cabf5","True","BiomedicalConceptProperty_102"
"VSLAT","True","BiomedicalConceptProperty","","VSLAT","59780795-469e-4525-8d93-b0c4af2404ec","True","BiomedicalConceptProperty_103"
"VSTESTCD","True","BiomedicalConceptProperty","","VSTESTCD","b413b9b1-743f-47cf-8af3-490ff4ae791c","True","BiomedicalConceptProperty_104"
"VSORRES","True","BiomedicalConceptProperty","integer","VSORRES","fe30ae9e-55af-47c3-ab45-b1ca304b5dfb","True","BiomedicalConceptProperty_105"
"VSORRESU","True","BiomedicalConceptProperty","","VSORRESU","0832351a-32ff-464e-ad22-1a4de08dc899","True","BiomedicalConceptProperty_106"
"VSPOS","True","BiomedicalConceptProperty","","VSPOS","d2aa7227-2aa9-4bbf-b2cb-e0cb7326c369","True","BiomedicalConceptProperty_107"
"VSLOC","True","BiomedicalConceptProperty","","VSLOC","1f72a0e8-354e-4092-9c18-8da511d7b981","True","BiomedicalConceptProperty_108"
"VSLAT","True","BiomedicalConceptProperty","","VSLAT","f239bcdc-bbe0-423d-9942-63759a4d9101","True","BiomedicalConceptProperty_109"
"VSTESTCD","True","BiomedicalConceptProperty","","VSTESTCD","5685bc8e-a863-459e-98a3-c8ecacf088c3","True","BiomedicalConceptProperty_110"
"VSORRES","True","BiomedicalConceptProperty","integer","VSORRES","5a5e18da-21ac-4b8e-8812-befa883f523e","True","BiomedicalConceptProperty_111"
"VSORRESU","True","BiomedicalConceptProperty","","VSORRESU","0842f036-dc59-43f2-90ef-e4949c14cd95","True","BiomedicalConceptProperty_112"
"VSPOS","True","BiomedicalConceptProperty","","VSPOS","baed6d45-1454-4702-b7aa-dfff4bbb85c0","True","BiomedicalConceptProperty_113"
"VSLOC","True","BiomedicalConceptProperty","","VSLOC","75257c96-9c4a-4319-823c-0cd8dc9559c0","True","BiomedicalConceptProperty_114"
"VSLAT","True","BiomedicalConceptProperty","","VSLAT","f5b1b591-f42d-46a5-a414-c283cd118987","True","BiomedicalConceptProperty_115"
