"uuid:ID","codeSystem","id","decode","codeSystemVersion","code"
"612af348-3e32-4fd8-bfb6-8e90b52d5344","http://www.cdisc.org","Code_37","Treatment Epoch","2023-09-29","C101526"
"462d254b-1dff-4d17-b9d1-5c1d642d5dd8","http://www.cdisc.org","Code_38","Clinical Study Follow-up","2023-09-29","C99158"
"a77768d1-219f-4d4d-a535-aa7acd90542c","SNOMED","Code_85","Indication1","January 31, 2018","12345"
"8ab5668d-1322-4c25-8e02-4dd51973c964","SNOMED","Code_88","Indication2","January 31, 2018","345678"
"43958e18-c3b5-4d7c-b1c3-0ea5fb06aa17","ICD-10","Code_86","Y","None set","X"
"4d9be4e4-0897-498d-9d28-fdae43d35551","SNOMED","Code_87","B","January 31, 2018","A"
"f7db3b9a-e77c-413b-b74b-1878bdc173b5","ICD-10","Code_89","CC","None set","DD"
"abffc719-fc83-4199-8fde-38c6aafaab99","SNOMED","Code_90","B","January 31, 2018","A"
"5d730c5d-fb1f-437d-8e32-06cc3ff7548b","http://www.cdisc.org","Code_95","Trial Primary Objective","2023-09-29","C85826"
"63b8c8bb-5680-4007-beba-fc870c76b4b9","http://www.cdisc.org","Code_94","Primary Endpoint","2023-09-29","C94496"
"f36e48b6-bb00-4b80-8f4b-1da291c3bbb9","http://www.cdisc.org","Code_97","Trial Secondary Objective","2023-09-29","C85827"
"a1e91865-886c-431e-ad7d-db398b625f96","http://www.cdisc.org","Code_96","Secondary Endpoint","2023-09-29","C139173"
"7aea981f-9fb0-495f-bb1d-087644306e10","http://www.cdisc.org","Code_98","Secondary Endpoint","2023-09-29","C139173"
"6c83da6c-28be-4d32-b972-25b9f1c4aab7","http://www.cdisc.org","Code_99","Secondary Endpoint","2023-09-29","C139173"
"435bd4af-4540-4a4f-b2b5-1157dc7e0cad","http://www.cdisc.org","Code_100","Secondary Endpoint","2023-09-29","C139173"
"0e43e0eb-dc82-446c-b1a8-b72e15cb5fa2","http://www.cdisc.org","Code_101","Secondary Endpoint","2023-09-29","C139173"
"6693df77-fe87-43a4-a6df-58a3984ef4d9","http://www.cdisc.org","Code_102","Secondary Endpoint","2023-09-29","C139173"
"ecd9ddfc-e2b1-41af-8f54-5eab2423adc7","http://www.cdisc.org","Code_103","Secondary Endpoint","2023-09-29","C139173"
"67d2c391-745b-4154-a4aa-3d941932c200","http://www.cdisc.org","Code_104","Secondary Endpoint","2023-09-29","C139173"
"72d3566e-2b09-4d76-8b63-1336192a4bcc","http://www.cdisc.org","Code_105","Secondary Endpoint","2023-09-29","C139173"
"b1419d36-e41d-4f1c-beb6-82b44fdd2f23","http://www.cdisc.org","Code_106","Secondary Endpoint","2023-09-29","C139173"
"edd1fb83-9cba-420e-bfb6-1cc7d260c3df","http://www.cdisc.org","Code_107","Secondary Endpoint","2023-09-29","C139173"
"bd166542-bdbe-41ac-bf46-167eb3e61f76","http://www.cdisc.org","Code_91","Both","2023-09-29","C49636"
"6605f4d6-02e2-445d-9a5c-36366f7b0b30","http://www.cdisc.org","Code_92","Male","2023-09-29","C20197"
"362a74e1-0869-45fa-af4e-bbcf353c3091","http://www.cdisc.org","Code_93","Female","2023-09-29","C16576"
"ed47cb22-ee87-49ea-a6db-a8a98e821c91","http://www.cdisc.org","Code_48","Before","2023-09-29","C201264"
"34944572-e3b0-4964-911a-31740a71e4f7","http://www.cdisc.org","Code_50","Start to Start","2023-09-29","C201265"
"8e35998e-a610-41d6-9e10-03cf2de03d1b","http://www.cdisc.org","Code_53","Before","2023-09-29","C201264"
"43707efb-945b-4e98-a419-c19b89f87a1b","http://www.cdisc.org","Code_55","Start to Start","2023-09-29","C201265"
"8ac9d563-9f19-43e4-a1fa-7b8b0648589f","http://www.cdisc.org","Code_56","Fixed Reference","2023-09-29","C201264"
"67f3f992-59a7-4883-ab7d-7b8b3fa0cfab","http://www.cdisc.org","Code_60","Start to Start","2023-09-29","C201265"
"b8d76ebb-cd9a-4886-aa5f-717fc64cf933","http://www.cdisc.org","Code_62","After","2023-09-29","C201264"
"e3ea340f-972b-48ab-83e4-22c4916e92e2","http://www.cdisc.org","Code_65","Start to Start","2023-09-29","C201265"
"cd67797c-d22d-427a-8a89-fe7e4d348872","http://www.cdisc.org","Code_67","After","2023-09-29","C201264"
"1c311e78-a4ed-4386-a0bb-3cd15b41885b","http://www.cdisc.org","Code_70","Start to Start","2023-09-29","C201265"
"9636f2e4-ca8f-4190-b9e8-064c9d78faef","http://www.cdisc.org","Code_5","Draft","2023-09-29","C85255"
"ab4b8da8-2333-4a7a-b82d-ea8c7801e27a","http://www.cdisc.org","Code_8","Protocol Effective Date","2023-09-29","C99903x1"
"b9cf9171-ed85-4ec2-9731-a2c12ba7331a","http://www.cdisc.org","Code_9","Global","2023-09-29","C68846"
