"label","datatype","id","instanceType","name","isEnabled","uuid:ID","isRequired"
"LBTESTCD","","BiomedicalConceptProperty_136","BiomedicalConceptProperty","LBTESTCD","True","4dc21917-dc08-4ce7-9348-e4ae86047548","True"
"LBORRES","text","BiomedicalConceptProperty_137","BiomedicalConceptProperty","LBORRES","True","5f31b031-0f2a-4050-acc6-21ddc67420a3","True"
"LBSPEC","","BiomedicalConceptProperty_138","BiomedicalConceptProperty","LBSPEC","True","33be46c8-ec22-4199-9936-6279e103a5e0","True"
"LBFAST","","BiomedicalConceptProperty_139","BiomedicalConceptProperty","LBFAST","True","aa13da2d-a64b-46ad-bc03-ed90cfc6f077","True"
"LBTESTCD","","BiomedicalConceptProperty_140","BiomedicalConceptProperty","LBTESTCD","True","2e0a3b26-12d5-473e-bc3a-41e935ec344a","True"
"LBORRES","float","BiomedicalConceptProperty_141","BiomedicalConceptProperty","LBORRES","True","1c3450d9-fd66-47df-bc2f-9830532a6713","True"
"LBORRESU","","BiomedicalConceptProperty_142","BiomedicalConceptProperty","LBORRESU","True","ff9cae9d-78d6-4e2b-a5cc-e81eb4eb1cf8","True"
"LBSPEC","","BiomedicalConceptProperty_143","BiomedicalConceptProperty","LBSPEC","True","dfb8e223-b2c1-4bf2-a54f-315fefd4551d","True"
"LBFAST","","BiomedicalConceptProperty_144","BiomedicalConceptProperty","LBFAST","True","fe94815e-e558-4f58-9713-a98d07d0d6de","True"
"LBTESTCD","","BiomedicalConceptProperty_145","BiomedicalConceptProperty","LBTESTCD","True","95c8d04f-3f80-4ab2-b657-52c4cb0d6095","True"
"LBORRES","float","BiomedicalConceptProperty_146","BiomedicalConceptProperty","LBORRES","True","f5e50724-6304-4205-af0e-20a8ecb94b0b","True"
"LBORRESU","","BiomedicalConceptProperty_147","BiomedicalConceptProperty","LBORRESU","True","2b89e500-aa4c-4b8c-a4c4-fe10068452bc","True"
"LBSPEC","","BiomedicalConceptProperty_148","BiomedicalConceptProperty","LBSPEC","True","2c51a064-bb81-4009-961f-7f763f1329c0","True"
"LBFAST","","BiomedicalConceptProperty_149","BiomedicalConceptProperty","LBFAST","True","9c237011-8561-4fd3-a121-ba2983105cdd","True"
"LBTESTCD","","BiomedicalConceptProperty_150","BiomedicalConceptProperty","LBTESTCD","True","c12577a1-ee59-4bf8-aaeb-fa4875945799","True"
"LBORRES","float","BiomedicalConceptProperty_151","BiomedicalConceptProperty","LBORRES","True","0f4f0e42-c1ef-464e-8e15-a97c048467d5","True"
"LBORRESU","","BiomedicalConceptProperty_152","BiomedicalConceptProperty","LBORRESU","True","f0fd8464-4682-4674-9530-cf4002efe8df","True"
"LBSPEC","","BiomedicalConceptProperty_153","BiomedicalConceptProperty","LBSPEC","True","7db3f568-cf3f-49f4-9b4a-841de4f7bf17","True"
"LBFAST","","BiomedicalConceptProperty_154","BiomedicalConceptProperty","LBFAST","True","1d45ccf4-a9f7-463d-885a-318f38f1dc27","True"
"LBTESTCD","","BiomedicalConceptProperty_155","BiomedicalConceptProperty","LBTESTCD","True","8a7097da-c40b-41e6-92b7-0130794ec30f","True"
"LBORRES","float","BiomedicalConceptProperty_156","BiomedicalConceptProperty","LBORRES","True","349718cd-6d6b-4e4e-8e26-760fafbbe0e7","True"
"LBORRESU","","BiomedicalConceptProperty_157","BiomedicalConceptProperty","LBORRESU","True","91721912-d232-43d3-8c71-c4d50489c26d","True"
"LBSPEC","","BiomedicalConceptProperty_158","BiomedicalConceptProperty","LBSPEC","True","dcc657c8-be20-4264-a921-46de31474043","True"
"LBFAST","","BiomedicalConceptProperty_159","BiomedicalConceptProperty","LBFAST","True","ce779540-0fed-45f4-942e-adff119aee27","True"
"LBTESTCD","","BiomedicalConceptProperty_160","BiomedicalConceptProperty","LBTESTCD","True","d5939df5-56a4-4af1-a97d-2b8f7a11dae3","True"
"LBORRES","float","BiomedicalConceptProperty_161","BiomedicalConceptProperty","LBORRES","True","f4816fb4-59df-4572-b670-5155fd579cad","True"
"LBORRESU","","BiomedicalConceptProperty_162","BiomedicalConceptProperty","LBORRESU","True","4383e47d-e469-4777-81e9-c492b19d03dc","True"
"LBSPEC","","BiomedicalConceptProperty_163","BiomedicalConceptProperty","LBSPEC","True","b0693709-add0-407a-9b83-672d27cb5b4c","True"
"LBFAST","","BiomedicalConceptProperty_164","BiomedicalConceptProperty","LBFAST","True","9a1e0aeb-a197-4f4a-b4e5-f30e3f4ac147","True"
"LBTESTCD","","BiomedicalConceptProperty_165","BiomedicalConceptProperty","LBTESTCD","True","4c8e8267-b2b1-4786-8c3b-649efbf8debb","True"
"LBORRES","float","BiomedicalConceptProperty_166","BiomedicalConceptProperty","LBORRES","True","fa503689-ffd2-43e5-8388-7921f7548271","True"
"LBORRESU","","BiomedicalConceptProperty_167","BiomedicalConceptProperty","LBORRESU","True","4e16f113-2d1f-4e26-a183-88b7d2c6849b","True"
"LBSPEC","","BiomedicalConceptProperty_168","BiomedicalConceptProperty","LBSPEC","True","fc71124f-b4da-4c95-9941-8ceafc0e8fb7","True"
"LBFAST","","BiomedicalConceptProperty_169","BiomedicalConceptProperty","LBFAST","True","f9fa5b65-d8fc-491b-af13-71d6ccf8d931","True"
"AETERM","text","BiomedicalConceptProperty_1","BiomedicalConceptProperty","AETERM","True","ea9bbe07-a047-4200-8623-04e8f296cbdd","True"
"AEDECOD","text","BiomedicalConceptProperty_2","BiomedicalConceptProperty","AEDECOD","True","3e43ef11-be4f-4ed4-af19-9f228ce1f255","True"
"AEPRESP","text","BiomedicalConceptProperty_3","BiomedicalConceptProperty","AEPRESP","True","b7b48165-7beb-4233-9e64-d721e0eb0235","True"
"AELOC","text","BiomedicalConceptProperty_4","BiomedicalConceptProperty","AELOC","True","e05b2bc3-12c9-4da3-8159-280217e8f53c","True"
"AESEV","text","BiomedicalConceptProperty_5","BiomedicalConceptProperty","AESEV","True","5e81dda6-0ed8-4dd9-b4d6-4e73fa1e1105","True"
"AESER","text","BiomedicalConceptProperty_6","BiomedicalConceptProperty","AESER","True","d14d9e03-acb2-451d-8c2d-ff4f3c55ca06","True"
"AEACN","text","BiomedicalConceptProperty_7","BiomedicalConceptProperty","AEACN","True","49b517a2-8841-4b1e-875c-bbd03853a2c0","True"
"AEACNOTH","text","BiomedicalConceptProperty_8","BiomedicalConceptProperty","AEACNOTH","True","50434dab-8a08-445a-b2a5-2dbb369c50c5","True"
"AEREL","text","BiomedicalConceptProperty_9","BiomedicalConceptProperty","AEREL","True","c661a050-0741-447f-8d3f-8d937597a48c","True"
"AERELNST","text","BiomedicalConceptProperty_10","BiomedicalConceptProperty","AERELNST","True","035fafbb-1d1a-4dbb-8364-2bb7e6f36839","True"
"AEPATT","text","BiomedicalConceptProperty_11","BiomedicalConceptProperty","AEPATT","True","d1feaa36-a496-4ee7-8f39-1b7eed31415a","True"
"AEOUT","text","BiomedicalConceptProperty_12","BiomedicalConceptProperty","AEOUT","True","e17e0f08-0d17-44bd-a6f2-34b4c72e834b","True"
"AESCAN","text","BiomedicalConceptProperty_13","BiomedicalConceptProperty","AESCAN","True","ea189e1b-155e-4648-a950-b5e3c4f2b5a6","True"
"AESCONG","text","BiomedicalConceptProperty_14","BiomedicalConceptProperty","AESCONG","True","843564f1-1a75-40af-be8b-3e52a8c931aa","True"
"AESDISAB","text","BiomedicalConceptProperty_15","BiomedicalConceptProperty","AESDISAB","True","c7193e6e-7978-4b20-8270-afc6baf9a2a8","True"
"AESDTH","text","BiomedicalConceptProperty_16","BiomedicalConceptProperty","AESDTH","True","454853fe-c8a2-4585-a75d-b02b4ee0ac6a","True"
"AESHOSP","text","BiomedicalConceptProperty_17","BiomedicalConceptProperty","AESHOSP","True","ea3167c0-97f7-4949-8b95-adce4470bb79","True"
"AESLIFE","text","BiomedicalConceptProperty_18","BiomedicalConceptProperty","AESLIFE","True","ffe3aaf5-05bb-4f31-86ab-abbcbf49f4e4","True"
"AESOD","text","BiomedicalConceptProperty_19","BiomedicalConceptProperty","AESOD","True","9a7c2fb3-c6bb-41c2-ae42-09fd934e2da8","True"
"AESMIE","text","BiomedicalConceptProperty_20","BiomedicalConceptProperty","AESMIE","True","70d3ca8a-bc54-41f5-8167-efe4118dec51","True"
"AECONTRT","text","BiomedicalConceptProperty_21","BiomedicalConceptProperty","AECONTRT","True","81c168ea-6314-4d31-8687-f67cbf6f0e5d","True"
"AESTDTC","datetime","BiomedicalConceptProperty_22","BiomedicalConceptProperty","AESTDTC","True","17c83ee0-0aa5-4f05-8582-1f4332d5a431","True"
"AEENDTC","datetime","BiomedicalConceptProperty_23","BiomedicalConceptProperty","AEENDTC","True","df20a163-d5c7-4121-a7ef-37cb2764cf0d","True"
"VSTESTCD","","BiomedicalConceptProperty_24","BiomedicalConceptProperty","VSTESTCD","True","cf81c449-b9ef-4169-ab3a-2733f0789a54","True"
"VSORRES","integer","BiomedicalConceptProperty_25","BiomedicalConceptProperty","VSORRES","True","ed667001-9a06-4b9e-a543-3a91e7e0d2a5","True"
"VSORRESU","","BiomedicalConceptProperty_26","BiomedicalConceptProperty","VSORRESU","True","f6ae91f3-7986-4976-a851-67f701f9205a","True"
"VSPOS","","BiomedicalConceptProperty_27","BiomedicalConceptProperty","VSPOS","True","5f31ecd0-0b94-4ec4-9d88-96a93cd2c540","True"
"VSLOC","","BiomedicalConceptProperty_28","BiomedicalConceptProperty","VSLOC","True","43c4bf66-3c9d-44f6-b1dd-657da8efc9f0","True"
"VSLAT","","BiomedicalConceptProperty_29","BiomedicalConceptProperty","VSLAT","True","6d64e9e6-6570-4222-b975-674c90dabccf","True"
"VSTESTCD","","BiomedicalConceptProperty_30","BiomedicalConceptProperty","VSTESTCD","True","4c7f90ad-c5b9-46f6-88f7-c373ce003459","True"
"VSORRES","integer","BiomedicalConceptProperty_31","BiomedicalConceptProperty","VSORRES","True","0bd06641-5ad3-43ae-8372-ffe0fc481b2a","True"
"VSORRESU","","BiomedicalConceptProperty_32","BiomedicalConceptProperty","VSORRESU","True","511caa35-8c1a-461e-9789-3217af87e118","True"
"VSPOS","","BiomedicalConceptProperty_33","BiomedicalConceptProperty","VSPOS","True","6351586d-d078-4493-ace3-233fd2905ae1","True"
"VSLOC","","BiomedicalConceptProperty_34","BiomedicalConceptProperty","VSLOC","True","4b3d7acc-49ed-4658-9bd5-e7a9d2454805","True"
"VSLAT","","BiomedicalConceptProperty_35","BiomedicalConceptProperty","VSLAT","True","3a3db77f-fef0-473b-8544-2a4981c6159f","True"
"VSTESTCD","","BiomedicalConceptProperty_36","BiomedicalConceptProperty","VSTESTCD","True","64e4745e-66b7-4fdc-bf33-1f51549930e8","True"
"VSORRES","float","BiomedicalConceptProperty_37","BiomedicalConceptProperty","VSORRES","True","59a95e93-c2c0-466a-9343-d9ca5b0fc1cf","True"
"VSORRESU","","BiomedicalConceptProperty_38","BiomedicalConceptProperty","VSORRESU","True","46f0af89-0cad-441a-87b4-35ffb17c6bd1","True"
"VSLOC","","BiomedicalConceptProperty_39","BiomedicalConceptProperty","VSLOC","True","6f045bba-a37c-4386-b7b1-1aa39b4247c8","True"
"VSTESTCD","","BiomedicalConceptProperty_40","BiomedicalConceptProperty","VSTESTCD","True","32513873-ec6e-4221-b548-8e47f7276f11","True"
"VSORRES","float","BiomedicalConceptProperty_41","BiomedicalConceptProperty","VSORRES","True","3f53ee5f-f6e9-424f-b638-b80df2575b11","True"
"VSORRESU","","BiomedicalConceptProperty_42","BiomedicalConceptProperty","VSORRESU","True","6d2edc9a-5c79-4c5a-9c12-48172eb856d1","True"
"VSTESTCD","","BiomedicalConceptProperty_43","BiomedicalConceptProperty","VSTESTCD","True","a325b5b8-2b25-4a6e-9c98-4196efe75b4f","True"
"VSORRES","float","BiomedicalConceptProperty_44","BiomedicalConceptProperty","VSORRES","True","10038b15-34a1-48af-b99a-d39830470afc","True"
"VSORRESU","","BiomedicalConceptProperty_45","BiomedicalConceptProperty","VSORRESU","True","3c376a36-3f8e-4195-b6a3-ceb8ae89ebf5","True"
"LBTESTCD","","BiomedicalConceptProperty_46","BiomedicalConceptProperty","LBTESTCD","True","cbe89917-52da-40ab-b5c3-5fd9dca07e34","True"
"LBORRES","float","BiomedicalConceptProperty_47","BiomedicalConceptProperty","LBORRES","True","412b3990-ddb4-473c-9935-5f3a2f667e3a","True"
"LBORRESU","","BiomedicalConceptProperty_48","BiomedicalConceptProperty","LBORRESU","True","5578dd46-e8ff-4232-b3e1-3e6603bc964b","True"
"LBSPEC","","BiomedicalConceptProperty_49","BiomedicalConceptProperty","LBSPEC","True","05437e36-2cf7-4077-a119-35f7e410abe2","True"
"LBFAST","","BiomedicalConceptProperty_50","BiomedicalConceptProperty","LBFAST","True","19059c7c-c0ca-404c-8b87-cb6f784c433d","True"
"LBTESTCD","","BiomedicalConceptProperty_51","BiomedicalConceptProperty","LBTESTCD","True","65612502-fe7a-4e86-afbd-c65abae22a83","True"
"LBORRES","text","BiomedicalConceptProperty_52","BiomedicalConceptProperty","LBORRES","True","d0cb2008-47ad-4b04-baed-da10f02f52dd","True"
"LBSPEC","","BiomedicalConceptProperty_53","BiomedicalConceptProperty","LBSPEC","True","c512873a-6d83-4a57-bf9c-51839d41c7d3","True"
"LBFAST","","BiomedicalConceptProperty_54","BiomedicalConceptProperty","LBFAST","True","c4e10ad6-aa2c-4fd8-aaf3-ba801006e3a5","True"
"LBTESTCD","","BiomedicalConceptProperty_55","BiomedicalConceptProperty","LBTESTCD","True","a3711c7b-6c36-4513-99fb-020d7d1dc984","True"
"LBORRES","float","BiomedicalConceptProperty_56","BiomedicalConceptProperty","LBORRES","True","eef4b5be-e29b-4912-8a89-0bfad75b1acb","True"
"LBORRESU","","BiomedicalConceptProperty_57","BiomedicalConceptProperty","LBORRESU","True","d78037f6-e6bf-434e-9597-8ae8296bb82a","True"
"LBSPEC","","BiomedicalConceptProperty_58","BiomedicalConceptProperty","LBSPEC","True","76ee81b0-3e54-46e4-ac6b-7260a71bba06","True"
"LBFAST","","BiomedicalConceptProperty_59","BiomedicalConceptProperty","LBFAST","True","b32ce716-1171-4957-98b9-64f62cb16254","True"
"LBTESTCD","","BiomedicalConceptProperty_60","BiomedicalConceptProperty","LBTESTCD","True","7bae2f2f-00f5-41a4-9a50-521a0697d4d4","True"
"LBORRES","float","BiomedicalConceptProperty_61","BiomedicalConceptProperty","LBORRES","True","ce9a3023-2177-429b-a1b5-6fe3ed6c2fd0","True"
"LBORRESU","","BiomedicalConceptProperty_62","BiomedicalConceptProperty","LBORRESU","True","4a7bc92d-b0a7-46da-b8ad-a5645f05c6ac","True"
"LBSPEC","","BiomedicalConceptProperty_63","BiomedicalConceptProperty","LBSPEC","True","52f83ffd-e359-4425-8348-cc40866fcc11","True"
"LBFAST","","BiomedicalConceptProperty_64","BiomedicalConceptProperty","LBFAST","True","af3f0622-ad9e-4432-9417-663646015772","True"
"LBTESTCD","","BiomedicalConceptProperty_65","BiomedicalConceptProperty","LBTESTCD","True","f60b2408-8106-4d6b-b363-35a26e2a2ad3","True"
"LBORRES","float","BiomedicalConceptProperty_66","BiomedicalConceptProperty","LBORRES","True","58469f3a-e875-4777-a85e-d9dd712e6eb3","True"
"LBORRESU","","BiomedicalConceptProperty_67","BiomedicalConceptProperty","LBORRESU","True","c27e1d54-6cc9-47e6-bdbf-9256893edde2","True"
"LBSPEC","","BiomedicalConceptProperty_68","BiomedicalConceptProperty","LBSPEC","True","3e31b0d6-470e-46be-99e2-e255e65781af","True"
"LBFAST","","BiomedicalConceptProperty_69","BiomedicalConceptProperty","LBFAST","True","2d5703f8-01e9-43b1-9f5a-d43af32142fe","True"
"LBTESTCD","","BiomedicalConceptProperty_70","BiomedicalConceptProperty","LBTESTCD","True","2421956c-ffc5-486e-99c4-e7bfbc3ba5f6","True"
"LBORRES","float","BiomedicalConceptProperty_71","BiomedicalConceptProperty","LBORRES","True","74a14214-1ae7-497c-b71f-66ca5d0d6676","True"
"LBORRESU","","BiomedicalConceptProperty_72","BiomedicalConceptProperty","LBORRESU","True","52dcf39f-e9e3-41ea-bd73-6ccbf9b818be","True"
"LBSPEC","","BiomedicalConceptProperty_73","BiomedicalConceptProperty","LBSPEC","True","5a9b5e73-4b44-44e3-bac3-7c478c784bea","True"
"LBFAST","","BiomedicalConceptProperty_74","BiomedicalConceptProperty","LBFAST","True","95c85fa7-9b60-47ee-9a4f-64de6b06aceb","True"
"LBTESTCD","","BiomedicalConceptProperty_75","BiomedicalConceptProperty","LBTESTCD","True","b4b7fb20-246d-4e55-a39d-ea7ac8731ec2","True"
"LBORRES","float","BiomedicalConceptProperty_76","BiomedicalConceptProperty","LBORRES","True","f4a439a0-b2a8-4be7-b10c-b29f23940c5b","True"
"LBORRESU","","BiomedicalConceptProperty_77","BiomedicalConceptProperty","LBORRESU","True","6ea58f7c-742e-4541-a3b1-467610dd74a5","True"
"LBSPEC","","BiomedicalConceptProperty_78","BiomedicalConceptProperty","LBSPEC","True","35378c8d-6464-42a5-b68e-ddc52480a18e","True"
"LBFAST","","BiomedicalConceptProperty_79","BiomedicalConceptProperty","LBFAST","True","1f89ad02-166c-4ae6-9de2-e9cac046586b","True"
"VSTESTCD","","BiomedicalConceptProperty_80","BiomedicalConceptProperty","VSTESTCD","True","aaaaf308-567a-405d-af04-17d5bf1f22c7","True"
"VSORRES","integer","BiomedicalConceptProperty_81","BiomedicalConceptProperty","VSORRES","True","d1904e42-7d39-4e29-9c18-390232c125a6","True"
"VSORRESU","","BiomedicalConceptProperty_82","BiomedicalConceptProperty","VSORRESU","True","3f88b292-6d83-4422-9714-fc6e1a52ba14","True"
"VSPOS","","BiomedicalConceptProperty_83","BiomedicalConceptProperty","VSPOS","True","233df664-9413-4e95-841a-779082da9aae","True"
"VSLOC","","BiomedicalConceptProperty_84","BiomedicalConceptProperty","VSLOC","True","579bfdcc-11d9-4e5e-8354-f9817aeb3ac7","True"
"VSLAT","","BiomedicalConceptProperty_85","BiomedicalConceptProperty","VSLAT","True","86e91c21-541f-4326-adf7-b0c508460812","True"
"VSTESTCD","","BiomedicalConceptProperty_86","BiomedicalConceptProperty","VSTESTCD","True","1475decc-8ad3-4647-919b-fa0172115d66","True"
"VSORRES","integer","BiomedicalConceptProperty_87","BiomedicalConceptProperty","VSORRES","True","d86bd1de-30cf-44f8-ba05-ab8965968e09","True"
"VSORRESU","","BiomedicalConceptProperty_88","BiomedicalConceptProperty","VSORRESU","True","939bb770-2145-4696-b7fb-0d6152c70f86","True"
"VSPOS","","BiomedicalConceptProperty_89","BiomedicalConceptProperty","VSPOS","True","4c7e1b9e-a653-4311-bea7-114137bf405b","True"
"VSLOC","","BiomedicalConceptProperty_90","BiomedicalConceptProperty","VSLOC","True","287a8d11-0880-442f-b996-0bfeada82b20","True"
"VSLAT","","BiomedicalConceptProperty_91","BiomedicalConceptProperty","VSLAT","True","491527dc-fdba-417a-85d6-12837c303516","True"
"VSTESTCD","","BiomedicalConceptProperty_92","BiomedicalConceptProperty","VSTESTCD","True","5b482048-0a31-4448-b7c8-24bd4ae5a891","True"
"VSORRES","integer","BiomedicalConceptProperty_93","BiomedicalConceptProperty","VSORRES","True","cbbbcc0f-8fe2-41b2-af38-08696cb7fd43","True"
"VSORRESU","","BiomedicalConceptProperty_94","BiomedicalConceptProperty","VSORRESU","True","26c702b3-e0bf-4a0f-b33b-ccbd5fc0f625","True"
"VSPOS","","BiomedicalConceptProperty_95","BiomedicalConceptProperty","VSPOS","True","df0875c5-90b8-43ad-922b-57aaca7d9555","True"
"VSLOC","","BiomedicalConceptProperty_96","BiomedicalConceptProperty","VSLOC","True","98bc2243-e61e-41fb-94a0-e388134f9ef4","True"
"VSLAT","","BiomedicalConceptProperty_97","BiomedicalConceptProperty","VSLAT","True","e1db1ba0-8d4d-4c64-a730-821a4a454fde","True"
"VSTESTCD","","BiomedicalConceptProperty_98","BiomedicalConceptProperty","VSTESTCD","True","b1c6b06b-5a8d-4ccd-99b7-1e6c3643ceeb","True"
"VSORRES","integer","BiomedicalConceptProperty_99","BiomedicalConceptProperty","VSORRES","True","668a1877-8d17-41c3-8eee-5ddaf648ac25","True"
"VSORRESU","","BiomedicalConceptProperty_100","BiomedicalConceptProperty","VSORRESU","True","46f17274-99f8-475c-aac6-b85d249750a6","True"
"VSPOS","","BiomedicalConceptProperty_101","BiomedicalConceptProperty","VSPOS","True","7e301bcd-4a80-44b8-aa37-9ba4f6eb66ea","True"
"VSLOC","","BiomedicalConceptProperty_102","BiomedicalConceptProperty","VSLOC","True","54c878d5-4bfd-465a-bf3a-79c71afdcdd2","True"
"VSLAT","","BiomedicalConceptProperty_103","BiomedicalConceptProperty","VSLAT","True","feabde28-91f4-4d10-9dd1-2dd1dde851bd","True"
"VSTESTCD","","BiomedicalConceptProperty_104","BiomedicalConceptProperty","VSTESTCD","True","dda13519-7885-4971-bf29-98420396c5f0","True"
"VSORRES","integer","BiomedicalConceptProperty_105","BiomedicalConceptProperty","VSORRES","True","1bfff865-5cfa-4459-a677-eeaa578cba70","True"
"VSORRESU","","BiomedicalConceptProperty_106","BiomedicalConceptProperty","VSORRESU","True","d4883285-059b-4823-8a34-bcdaad5f7333","True"
"VSPOS","","BiomedicalConceptProperty_107","BiomedicalConceptProperty","VSPOS","True","5a8613a3-d54b-4903-8359-8260df524a21","True"
"VSLOC","","BiomedicalConceptProperty_108","BiomedicalConceptProperty","VSLOC","True","27ae8241-2cea-4a35-b845-de25efb68556","True"
"VSLAT","","BiomedicalConceptProperty_109","BiomedicalConceptProperty","VSLAT","True","8a8f6490-5de3-4ed7-bd68-babed74f1282","True"
"VSTESTCD","","BiomedicalConceptProperty_110","BiomedicalConceptProperty","VSTESTCD","True","d2637013-78d6-43e2-b50b-5ca7c3423b32","True"
"VSORRES","integer","BiomedicalConceptProperty_111","BiomedicalConceptProperty","VSORRES","True","ed1a129a-3fba-4834-8671-e8ff8e5ab337","True"
"VSORRESU","","BiomedicalConceptProperty_112","BiomedicalConceptProperty","VSORRESU","True","ccc25c92-b5b3-4e39-b64d-69fffc94e290","True"
"VSPOS","","BiomedicalConceptProperty_113","BiomedicalConceptProperty","VSPOS","True","822699fa-7c4c-4d13-bd99-026fe8742a79","True"
"VSLOC","","BiomedicalConceptProperty_114","BiomedicalConceptProperty","VSLOC","True","a4544c21-01bb-4a6d-84a8-f23cbb175175","True"
"VSLAT","","BiomedicalConceptProperty_115","BiomedicalConceptProperty","VSLAT","True","2687a633-4c10-49f2-a316-880a8bea2851","True"
