"name","id","instanceType","label","isEnabled","uuid:ID","datatype","isRequired"
"VSORRES","BiomedicalConceptProperty_129","BiomedicalConceptProperty","VSORRES","True","6c858cd9-c9cf-4b93-bcb2-fc6122f705d7","float","True"
"VSORRESU","BiomedicalConceptProperty_130","BiomedicalConceptProperty","VSORRESU","True","41373b79-9d8b-4f3c-b10e-4dd0432c3c7f","","True"
"LBTESTCD","BiomedicalConceptProperty_131","BiomedicalConceptProperty","LBTESTCD","True","df997fde-511d-4c6f-ad66-8c20b414f870","","True"
"LBORRES","BiomedicalConceptProperty_132","BiomedicalConceptProperty","LBORRES","True","37f30cdc-0295-4d25-aa96-90acd8773e37","float","True"
"LBORRESU","BiomedicalConceptProperty_133","BiomedicalConceptProperty","LBORRESU","True","f80bb7e8-068f-4124-9667-e82aafb58e49","","True"
"LBSPEC","BiomedicalConceptProperty_134","BiomedicalConceptProperty","LBSPEC","True","52798578-2a4d-46a0-b4c1-7e9b882085f0","","True"
"LBFAST","BiomedicalConceptProperty_135","BiomedicalConceptProperty","LBFAST","True","7a8b173a-2758-4e39-9490-d3c23ceb8e7e","","True"
"LBTESTCD","BiomedicalConceptProperty_136","BiomedicalConceptProperty","LBTESTCD","True","3db7cf16-4330-4b21-9fc2-240680636776","","True"
"LBORRES","BiomedicalConceptProperty_137","BiomedicalConceptProperty","LBORRES","True","eb5b364b-af64-4cef-9c18-7bb6715d9a19","text","True"
"LBSPEC","BiomedicalConceptProperty_138","BiomedicalConceptProperty","LBSPEC","True","ae79d44f-29ef-4392-ae8d-89f0eee2e8bb","","True"
"LBFAST","BiomedicalConceptProperty_139","BiomedicalConceptProperty","LBFAST","True","e22d752a-a18b-4739-8796-71fd50fed2cb","","True"
"LBTESTCD","BiomedicalConceptProperty_140","BiomedicalConceptProperty","LBTESTCD","True","e7834e6e-7e5d-4cfa-a584-d57fa996ccb8","","True"
"LBORRES","BiomedicalConceptProperty_141","BiomedicalConceptProperty","LBORRES","True","d1408765-2888-425d-a17c-a4a5f9ea766c","float","True"
"LBORRESU","BiomedicalConceptProperty_142","BiomedicalConceptProperty","LBORRESU","True","91224df5-8e97-4d84-b8aa-a6a993a6dc33","","True"
"LBSPEC","BiomedicalConceptProperty_143","BiomedicalConceptProperty","LBSPEC","True","41de9445-5cfd-4677-8eda-b86d0a8d2de3","","True"
"LBFAST","BiomedicalConceptProperty_144","BiomedicalConceptProperty","LBFAST","True","9ada91d4-9f80-4b5c-a55d-bcec2933390c","","True"
"LBTESTCD","BiomedicalConceptProperty_145","BiomedicalConceptProperty","LBTESTCD","True","72c913d3-afd2-49f2-b99b-a81a4de6d301","","True"
"LBORRES","BiomedicalConceptProperty_146","BiomedicalConceptProperty","LBORRES","True","16fab5e7-7699-44bd-9af7-cbc806ce0902","float","True"
"LBORRESU","BiomedicalConceptProperty_147","BiomedicalConceptProperty","LBORRESU","True","e91f5a79-7940-4c21-852e-516cf9c3b043","","True"
"LBSPEC","BiomedicalConceptProperty_148","BiomedicalConceptProperty","LBSPEC","True","922e2d1e-72bf-41c3-bd75-fe643e0ecb1c","","True"
"LBFAST","BiomedicalConceptProperty_149","BiomedicalConceptProperty","LBFAST","True","0477e4d2-07fb-4707-b813-1efb352bbac5","","True"
"LBTESTCD","BiomedicalConceptProperty_150","BiomedicalConceptProperty","LBTESTCD","True","4f10b1fd-80cd-465a-a402-5d8e53d996e3","","True"
"LBORRES","BiomedicalConceptProperty_151","BiomedicalConceptProperty","LBORRES","True","37ad46e3-f4fd-4b48-a326-ae2a58766010","float","True"
"LBORRESU","BiomedicalConceptProperty_152","BiomedicalConceptProperty","LBORRESU","True","3c81eab0-4166-4f42-b8d3-bdaefa8c4b3b","","True"
"LBSPEC","BiomedicalConceptProperty_153","BiomedicalConceptProperty","LBSPEC","True","a138bdaa-942d-4cf3-8a2a-c63080cd1708","","True"
"LBFAST","BiomedicalConceptProperty_154","BiomedicalConceptProperty","LBFAST","True","eb8ab129-6134-48e9-b40f-f3eb963585dd","","True"
"LBTESTCD","BiomedicalConceptProperty_155","BiomedicalConceptProperty","LBTESTCD","True","32930650-b8ac-41e1-a305-abd5c52e3f8a","","True"
"LBORRES","BiomedicalConceptProperty_156","BiomedicalConceptProperty","LBORRES","True","c420f9f1-d155-4969-a8f2-45e14465d754","float","True"
"LBORRESU","BiomedicalConceptProperty_157","BiomedicalConceptProperty","LBORRESU","True","66ddb1dd-be54-42a3-9592-c7ac035cdfa5","","True"
"LBSPEC","BiomedicalConceptProperty_158","BiomedicalConceptProperty","LBSPEC","True","0b6e226a-e29a-4ede-bb82-9ab1205757e4","","True"
"LBFAST","BiomedicalConceptProperty_159","BiomedicalConceptProperty","LBFAST","True","ad42f8c6-d79a-4d99-a003-d76319347e5d","","True"
"LBTESTCD","BiomedicalConceptProperty_160","BiomedicalConceptProperty","LBTESTCD","True","77010936-8cf6-4997-b6d0-d69d3cf3e95b","","True"
"LBORRES","BiomedicalConceptProperty_161","BiomedicalConceptProperty","LBORRES","True","eee3bca7-251d-4a70-bf0b-6f80b2501e38","float","True"
"LBORRESU","BiomedicalConceptProperty_162","BiomedicalConceptProperty","LBORRESU","True","2078ba53-ecca-4359-9724-68339e7db7c7","","True"
"LBSPEC","BiomedicalConceptProperty_163","BiomedicalConceptProperty","LBSPEC","True","aa7d265a-11b5-4d69-b472-2cbed07a7bf8","","True"
"LBFAST","BiomedicalConceptProperty_164","BiomedicalConceptProperty","LBFAST","True","250bee9f-458c-4c28-8a6c-4aaedee7b059","","True"
"LBTESTCD","BiomedicalConceptProperty_165","BiomedicalConceptProperty","LBTESTCD","True","7962ed2b-57c2-4900-bfa7-a7b26090c133","","True"
"LBORRES","BiomedicalConceptProperty_166","BiomedicalConceptProperty","LBORRES","True","56d22e7d-11ca-4778-969d-37809506eefa","float","True"
"LBORRESU","BiomedicalConceptProperty_167","BiomedicalConceptProperty","LBORRESU","True","25a39b0b-870b-49e6-b1d3-c3ae51f833b5","","True"
"LBSPEC","BiomedicalConceptProperty_168","BiomedicalConceptProperty","LBSPEC","True","1fc1b315-892d-47c9-96a0-2a6d70a3e209","","True"
"LBFAST","BiomedicalConceptProperty_169","BiomedicalConceptProperty","LBFAST","True","b284309c-4732-46b7-be81-f1228bf50265","","True"
"AETERM","BiomedicalConceptProperty_1","BiomedicalConceptProperty","AETERM","True","e1c4f8f5-a4bf-4437-9acc-b1766b6248e8","text","True"
"AEDECOD","BiomedicalConceptProperty_2","BiomedicalConceptProperty","AEDECOD","True","84a9734c-6f52-424b-bae4-494020ee0e3d","text","True"
"AEPRESP","BiomedicalConceptProperty_3","BiomedicalConceptProperty","AEPRESP","True","462ffffe-2465-491d-b8db-b90c103bfa3b","text","True"
"AELOC","BiomedicalConceptProperty_4","BiomedicalConceptProperty","AELOC","True","33bf88c6-46f5-4332-b4b4-030fba0b1a1c","text","True"
"AESEV","BiomedicalConceptProperty_5","BiomedicalConceptProperty","AESEV","True","a91cc6dd-0dd6-4c5b-a74b-3be4ddc9bc0d","text","True"
"AESER","BiomedicalConceptProperty_6","BiomedicalConceptProperty","AESER","True","cf612122-dc91-4f24-9c26-332c23ec571b","text","True"
"AEACN","BiomedicalConceptProperty_7","BiomedicalConceptProperty","AEACN","True","ae2660b9-5be0-42bc-88bf-d15b82863ba1","text","True"
"AEACNOTH","BiomedicalConceptProperty_8","BiomedicalConceptProperty","AEACNOTH","True","477bb502-4d43-4cfe-9535-30827916d4c9","text","True"
"AEREL","BiomedicalConceptProperty_9","BiomedicalConceptProperty","AEREL","True","24761a77-9703-4767-b33c-cbf48bf8a15f","text","True"
"AERELNST","BiomedicalConceptProperty_10","BiomedicalConceptProperty","AERELNST","True","75601fcd-43e9-4c64-b322-c8cdbb9c1a03","text","True"
"AEPATT","BiomedicalConceptProperty_11","BiomedicalConceptProperty","AEPATT","True","83c4afe2-8892-4ad2-9c31-fbc54005301b","text","True"
"AEOUT","BiomedicalConceptProperty_12","BiomedicalConceptProperty","AEOUT","True","400fbec6-e82d-4d1a-90f1-c8670f871e8b","text","True"
"AESCAN","BiomedicalConceptProperty_13","BiomedicalConceptProperty","AESCAN","True","8160b702-4ac6-46be-a96d-9d360d033edf","text","True"
"AESCONG","BiomedicalConceptProperty_14","BiomedicalConceptProperty","AESCONG","True","1143541f-c252-47f9-8444-77d383bea872","text","True"
"AESDISAB","BiomedicalConceptProperty_15","BiomedicalConceptProperty","AESDISAB","True","79b60860-9443-4669-9e04-1c036b884be0","text","True"
"AESDTH","BiomedicalConceptProperty_16","BiomedicalConceptProperty","AESDTH","True","e640fd27-b468-4e31-92b7-4941c6ac85db","text","True"
"AESHOSP","BiomedicalConceptProperty_17","BiomedicalConceptProperty","AESHOSP","True","bec27892-c844-428f-8c62-93152a1afc98","text","True"
"AESLIFE","BiomedicalConceptProperty_18","BiomedicalConceptProperty","AESLIFE","True","60a9f1ae-9d48-46a8-9b40-66e4d942065f","text","True"
"AESOD","BiomedicalConceptProperty_19","BiomedicalConceptProperty","AESOD","True","8de296a4-15c4-4641-9625-c98270d51b34","text","True"
"AESMIE","BiomedicalConceptProperty_20","BiomedicalConceptProperty","AESMIE","True","79d6d2ae-2dac-49d1-8b33-00acf104ed9b","text","True"
"AECONTRT","BiomedicalConceptProperty_21","BiomedicalConceptProperty","AECONTRT","True","b3d7fb96-10a8-496e-8237-3cb43ccdb1ab","text","True"
"AESTDTC","BiomedicalConceptProperty_22","BiomedicalConceptProperty","AESTDTC","True","9cd667ab-d71b-4387-bcdb-ce7af7a3e27a","datetime","True"
"AEENDTC","BiomedicalConceptProperty_23","BiomedicalConceptProperty","AEENDTC","True","6f40bb4f-2a75-4432-b14c-86ac4896c994","datetime","True"
"VSTESTCD","BiomedicalConceptProperty_24","BiomedicalConceptProperty","VSTESTCD","True","b26ed607-31c1-4b96-be95-9b590293e69c","","True"
"VSORRES","BiomedicalConceptProperty_25","BiomedicalConceptProperty","VSORRES","True","661c63fb-9795-418d-91ec-13e874ed069f","integer","True"
"VSORRESU","BiomedicalConceptProperty_26","BiomedicalConceptProperty","VSORRESU","True","bac2ba16-2f0d-4f88-a224-f5c391b34a5b","","True"
"VSPOS","BiomedicalConceptProperty_27","BiomedicalConceptProperty","VSPOS","True","3a9f1bf5-5661-4a2f-a90f-d1951f76470e","","True"
"VSLOC","BiomedicalConceptProperty_28","BiomedicalConceptProperty","VSLOC","True","3ea0bf49-08cc-4236-84d0-e7397653edad","","True"
"VSLAT","BiomedicalConceptProperty_29","BiomedicalConceptProperty","VSLAT","True","3a3e32e5-88a7-4851-99bb-d67f0d0091a5","","True"
"VSTESTCD","BiomedicalConceptProperty_30","BiomedicalConceptProperty","VSTESTCD","True","f0e71964-57c8-4803-b9b3-037e8370117f","","True"
"VSORRES","BiomedicalConceptProperty_31","BiomedicalConceptProperty","VSORRES","True","cf929b7e-fb3a-4346-9a94-8a6976abd268","integer","True"
"VSORRESU","BiomedicalConceptProperty_32","BiomedicalConceptProperty","VSORRESU","True","f40817de-b768-42ba-b99d-aca30e1231cb","","True"
"VSPOS","BiomedicalConceptProperty_33","BiomedicalConceptProperty","VSPOS","True","62ed0a50-a42f-4a41-acec-84a22dbeb073","","True"
"VSLOC","BiomedicalConceptProperty_34","BiomedicalConceptProperty","VSLOC","True","fcb4906f-8381-40c1-a2d5-0e779a926d87","","True"
"VSLAT","BiomedicalConceptProperty_35","BiomedicalConceptProperty","VSLAT","True","94325d49-5836-445c-b2e9-3801a26af472","","True"
"VSTESTCD","BiomedicalConceptProperty_36","BiomedicalConceptProperty","VSTESTCD","True","15b43c22-be0a-40d4-91d2-555a6c47a32a","","True"
"VSORRES","BiomedicalConceptProperty_37","BiomedicalConceptProperty","VSORRES","True","6de49849-19d2-49c6-8b68-1c73c08313f7","float","True"
"VSORRESU","BiomedicalConceptProperty_38","BiomedicalConceptProperty","VSORRESU","True","0b00a639-f878-4245-a2ab-c32be145fc89","","True"
"VSLOC","BiomedicalConceptProperty_39","BiomedicalConceptProperty","VSLOC","True","19aa4a8d-d3ce-4d89-bb6c-29104e52a85b","","True"
"VSTESTCD","BiomedicalConceptProperty_40","BiomedicalConceptProperty","VSTESTCD","True","c2e275de-6706-4e17-a2ca-f02479c529c9","","True"
"VSORRES","BiomedicalConceptProperty_41","BiomedicalConceptProperty","VSORRES","True","87a61481-ceb6-4dc0-9498-256691ca6aec","float","True"
"VSORRESU","BiomedicalConceptProperty_42","BiomedicalConceptProperty","VSORRESU","True","cd045a1a-b18e-46cf-8ad1-fce86ce96337","","True"
"VSTESTCD","BiomedicalConceptProperty_43","BiomedicalConceptProperty","VSTESTCD","True","52dcf033-da3e-4599-bb03-2f84bf74ec09","","True"
"VSORRES","BiomedicalConceptProperty_44","BiomedicalConceptProperty","VSORRES","True","453b45a4-4da0-4474-a522-d94183798e37","float","True"
"VSORRESU","BiomedicalConceptProperty_45","BiomedicalConceptProperty","VSORRESU","True","8e9d33da-16f6-4d82-a533-267c2a6d2ed3","","True"
"LBTESTCD","BiomedicalConceptProperty_46","BiomedicalConceptProperty","LBTESTCD","True","92bd162b-0d98-4278-8aa6-d3f8a53055da","","True"
"LBORRES","BiomedicalConceptProperty_47","BiomedicalConceptProperty","LBORRES","True","a5260389-a5c3-4e93-b287-26fb9d325543","float","True"
"LBORRESU","BiomedicalConceptProperty_48","BiomedicalConceptProperty","LBORRESU","True","1f7fa480-3509-447c-991e-5dc208e7a1d9","","True"
"LBSPEC","BiomedicalConceptProperty_49","BiomedicalConceptProperty","LBSPEC","True","b487acd9-f83b-41e6-8324-fe716a773fc3","","True"
"LBFAST","BiomedicalConceptProperty_50","BiomedicalConceptProperty","LBFAST","True","3f019b55-cb9a-438e-a125-d3354f682e33","","True"
"LBTESTCD","BiomedicalConceptProperty_51","BiomedicalConceptProperty","LBTESTCD","True","bab9e99c-b055-498f-b792-2ba6678445be","","True"
"LBORRES","BiomedicalConceptProperty_52","BiomedicalConceptProperty","LBORRES","True","752bedc3-536e-4455-8b55-2982d01897ca","text","True"
"LBSPEC","BiomedicalConceptProperty_53","BiomedicalConceptProperty","LBSPEC","True","ff1f74f9-feb5-4a12-8657-ba86e7fad022","","True"
"LBFAST","BiomedicalConceptProperty_54","BiomedicalConceptProperty","LBFAST","True","bcb04ee3-e8a6-47f1-9302-23f11b0206af","","True"
"LBTESTCD","BiomedicalConceptProperty_55","BiomedicalConceptProperty","LBTESTCD","True","d18aada7-ae97-4d74-bede-430848c33565","","True"
"LBORRES","BiomedicalConceptProperty_56","BiomedicalConceptProperty","LBORRES","True","17281265-c17f-41db-927f-81d5b8abad41","float","True"
"LBORRESU","BiomedicalConceptProperty_57","BiomedicalConceptProperty","LBORRESU","True","cab5d0ae-782c-44fd-b51e-a2788295cfde","","True"
"LBSPEC","BiomedicalConceptProperty_58","BiomedicalConceptProperty","LBSPEC","True","5cd4edc1-3a59-4cec-8c56-d8277f8e2a9c","","True"
"LBFAST","BiomedicalConceptProperty_59","BiomedicalConceptProperty","LBFAST","True","d1f83a41-a4d2-4fca-87b5-4b1ca4dfa408","","True"
"LBTESTCD","BiomedicalConceptProperty_60","BiomedicalConceptProperty","LBTESTCD","True","3d3abc7d-27fa-4cae-b066-f216ffd26133","","True"
"LBORRES","BiomedicalConceptProperty_61","BiomedicalConceptProperty","LBORRES","True","cb80213b-6fca-442e-9666-8d310a611ba4","float","True"
"LBORRESU","BiomedicalConceptProperty_62","BiomedicalConceptProperty","LBORRESU","True","62527bd8-7060-4a43-8fbd-1be59a3b5e8e","","True"
"LBSPEC","BiomedicalConceptProperty_63","BiomedicalConceptProperty","LBSPEC","True","53a13fdf-940e-47d8-8be4-5cb3bf38c690","","True"
"LBFAST","BiomedicalConceptProperty_64","BiomedicalConceptProperty","LBFAST","True","43c1f762-30ca-42ba-a3bc-d97b9425a3d7","","True"
"LBTESTCD","BiomedicalConceptProperty_65","BiomedicalConceptProperty","LBTESTCD","True","b07bf608-9ef9-4a9c-9bb9-af6692ce34de","","True"
"LBORRES","BiomedicalConceptProperty_66","BiomedicalConceptProperty","LBORRES","True","7a2e0e48-0e36-472f-8abf-ea931e60785f","float","True"
"LBORRESU","BiomedicalConceptProperty_67","BiomedicalConceptProperty","LBORRESU","True","6d9e4e6f-9d54-43bc-99da-6704060218b5","","True"
"LBSPEC","BiomedicalConceptProperty_68","BiomedicalConceptProperty","LBSPEC","True","ae6c953b-2be3-44ff-93cf-30dea899e7f2","","True"
"LBFAST","BiomedicalConceptProperty_69","BiomedicalConceptProperty","LBFAST","True","b8b78c8b-fa20-4465-a4de-200e6319ab5d","","True"
"LBTESTCD","BiomedicalConceptProperty_70","BiomedicalConceptProperty","LBTESTCD","True","8721c303-6027-4054-9083-36a1e5dbaac1","","True"
"LBORRES","BiomedicalConceptProperty_71","BiomedicalConceptProperty","LBORRES","True","19cb7083-abd6-46d7-af13-5204432436f7","float","True"
"LBORRESU","BiomedicalConceptProperty_72","BiomedicalConceptProperty","LBORRESU","True","b3e796c6-8244-450d-b802-e8e20eb3bff5","","True"
"LBSPEC","BiomedicalConceptProperty_73","BiomedicalConceptProperty","LBSPEC","True","92c59f6d-32bc-491c-bdaf-f6bfd75ed2ad","","True"
"LBFAST","BiomedicalConceptProperty_74","BiomedicalConceptProperty","LBFAST","True","c959f6fd-4df7-4989-b88d-4250b51535ce","","True"
"LBTESTCD","BiomedicalConceptProperty_75","BiomedicalConceptProperty","LBTESTCD","True","acee98c4-4b8c-4475-b614-e08d50de6147","","True"
"LBORRES","BiomedicalConceptProperty_76","BiomedicalConceptProperty","LBORRES","True","547bac83-2072-4773-a636-d6e7f172597a","float","True"
"LBORRESU","BiomedicalConceptProperty_77","BiomedicalConceptProperty","LBORRESU","True","d36bd8db-d4ca-43c5-9693-0b061ac85ea5","","True"
"LBSPEC","BiomedicalConceptProperty_78","BiomedicalConceptProperty","LBSPEC","True","25d80639-3771-4b02-8b37-0a8e8203da3c","","True"
"LBFAST","BiomedicalConceptProperty_79","BiomedicalConceptProperty","LBFAST","True","df6bcfcf-f083-44f7-abdf-f4286cc78a56","","True"
"VSTESTCD","BiomedicalConceptProperty_80","BiomedicalConceptProperty","VSTESTCD","True","16a6605e-1d94-4595-9698-f591b08c878c","","True"
"VSORRES","BiomedicalConceptProperty_81","BiomedicalConceptProperty","VSORRES","True","e92cadf3-630d-4121-8fa9-6466bcd54c30","integer","True"
"VSORRESU","BiomedicalConceptProperty_82","BiomedicalConceptProperty","VSORRESU","True","ca3bf66b-0dc7-4902-80d9-4cabc2e4e489","","True"
"VSPOS","BiomedicalConceptProperty_83","BiomedicalConceptProperty","VSPOS","True","07de5584-78d4-441c-936e-72c8f36e61c3","","True"
"VSLOC","BiomedicalConceptProperty_84","BiomedicalConceptProperty","VSLOC","True","6509eea0-8603-4243-bb65-444ad0001abb","","True"
"VSLAT","BiomedicalConceptProperty_85","BiomedicalConceptProperty","VSLAT","True","aebd38f5-e956-4cbb-92b7-ee7128eae18f","","True"
"VSTESTCD","BiomedicalConceptProperty_86","BiomedicalConceptProperty","VSTESTCD","True","430f51c4-9cf9-4efe-920d-6a6a22effee1","","True"
"VSORRES","BiomedicalConceptProperty_87","BiomedicalConceptProperty","VSORRES","True","8cfaffe8-c650-49ab-9c81-a4e321188809","integer","True"
"VSORRESU","BiomedicalConceptProperty_88","BiomedicalConceptProperty","VSORRESU","True","8d084e08-8daa-4bc8-af29-322a4d11cff6","","True"
"VSPOS","BiomedicalConceptProperty_89","BiomedicalConceptProperty","VSPOS","True","c720601f-3c93-4456-a41e-84abd5ece28a","","True"
"VSLOC","BiomedicalConceptProperty_90","BiomedicalConceptProperty","VSLOC","True","d1a8e6b5-f46b-48f9-8c13-c0c91dc86e18","","True"
"VSLAT","BiomedicalConceptProperty_91","BiomedicalConceptProperty","VSLAT","True","bef1f751-7548-42f5-bf14-c34b62555167","","True"
"VSTESTCD","BiomedicalConceptProperty_92","BiomedicalConceptProperty","VSTESTCD","True","92c95ef5-55c6-438c-b40f-29eea709c022","","True"
"VSORRES","BiomedicalConceptProperty_93","BiomedicalConceptProperty","VSORRES","True","49ed5587-355a-403d-b2d5-b941cc603d6b","integer","True"
"VSORRESU","BiomedicalConceptProperty_94","BiomedicalConceptProperty","VSORRESU","True","17ea4cb0-6ccb-455d-9e8f-3f78f2f9f13b","","True"
"VSPOS","BiomedicalConceptProperty_95","BiomedicalConceptProperty","VSPOS","True","6d0aa221-88e9-4219-ab1c-27b9a190dea5","","True"
"VSLOC","BiomedicalConceptProperty_96","BiomedicalConceptProperty","VSLOC","True","101b3da7-d2f0-40ee-ade8-74aad5ea3593","","True"
"VSLAT","BiomedicalConceptProperty_97","BiomedicalConceptProperty","VSLAT","True","8f8722fe-7351-495e-8953-dea0a1229dab","","True"
"VSTESTCD","BiomedicalConceptProperty_98","BiomedicalConceptProperty","VSTESTCD","True","13b1031d-e639-4089-a4b7-277352d8384f","","True"
"VSORRES","BiomedicalConceptProperty_99","BiomedicalConceptProperty","VSORRES","True","abb1c4f2-9c84-4f8d-bd5d-b72cbc21fe58","integer","True"
"VSORRESU","BiomedicalConceptProperty_100","BiomedicalConceptProperty","VSORRESU","True","7c953ce6-9ff5-43f9-94a3-eae83f46b006","","True"
"VSPOS","BiomedicalConceptProperty_101","BiomedicalConceptProperty","VSPOS","True","ae8deb60-9a35-44ec-860e-60a0d8b2afce","","True"
"VSLOC","BiomedicalConceptProperty_102","BiomedicalConceptProperty","VSLOC","True","b43e27bd-fa42-4309-8b52-ccd579da4c1e","","True"
"VSLAT","BiomedicalConceptProperty_103","BiomedicalConceptProperty","VSLAT","True","9b6a0b29-21f3-4822-80d6-821a2950b610","","True"
"VSTESTCD","BiomedicalConceptProperty_104","BiomedicalConceptProperty","VSTESTCD","True","2f6340b1-b755-40bd-8cd5-952d7b4bdbfd","","True"
"VSORRES","BiomedicalConceptProperty_105","BiomedicalConceptProperty","VSORRES","True","60625c75-330e-4b17-bb41-aa9eb9a1c6f0","integer","True"
"VSORRESU","BiomedicalConceptProperty_106","BiomedicalConceptProperty","VSORRESU","True","114f2b67-2a57-4551-bfce-6c0071f406e1","","True"
"VSPOS","BiomedicalConceptProperty_107","BiomedicalConceptProperty","VSPOS","True","27afe1e9-6174-4adb-9b7a-cd5028a2c0e2","","True"
"VSLOC","BiomedicalConceptProperty_108","BiomedicalConceptProperty","VSLOC","True","da5a65c2-fc51-4cb3-8462-8078e783c933","","True"
"VSLAT","BiomedicalConceptProperty_109","BiomedicalConceptProperty","VSLAT","True","bc350b43-afdc-4301-8fc0-d887c24128fd","","True"
"VSTESTCD","BiomedicalConceptProperty_110","BiomedicalConceptProperty","VSTESTCD","True","58e94860-6d56-43df-9314-9d0db48ffec8","","True"
"VSORRES","BiomedicalConceptProperty_111","BiomedicalConceptProperty","VSORRES","True","217219c1-1bde-4a46-9497-63bb53078741","integer","True"
"VSORRESU","BiomedicalConceptProperty_112","BiomedicalConceptProperty","VSORRESU","True","7561d0d8-1a43-4204-956e-3e0a66037b0e","","True"
"VSPOS","BiomedicalConceptProperty_113","BiomedicalConceptProperty","VSPOS","True","4e2251d5-7fde-4af4-8384-ef0abbae226d","","True"
"VSLOC","BiomedicalConceptProperty_114","BiomedicalConceptProperty","VSLOC","True","881cc56b-d5a4-484e-af1a-7d35542487e3","","True"
"VSLAT","BiomedicalConceptProperty_115","BiomedicalConceptProperty","VSLAT","True","aeac9a01-4fe5-4516-99b5-8906d4903aef","","True"
