"id","code","codeSystem","codeSystemVersion","uuid:ID","decode"
"Code_28","C25716","http://www.cdisc.org","2023-09-29","5db968f9-9775-48b2-bb0b-a152e4fa2400","Visit"
"Code_29","C18002","http://www.cdisc.org","2023-09-29","b91c5802-b709-4075-ad29-bccfbe658a58","Home"
"Code_30","C171537","http://www.cdisc.org","2023-09-29","21f74a03-dbf4-4463-a237-c5e3e2b5e3dc","Telephone Call"
"Code_72","C20197","http://www.cdisc.org","2023-09-29","e9caac50-bf48-4741-bf31-4c8ad19e7af7","Male"
"Code_73","C16576","http://www.cdisc.org","2023-09-29","739e8f23-1d3e-441f-86e6-1c7e9b408ce1","Female"
"Code_74","C17998","http://www.cdisc.org","2023-09-29","eef49657-4ca9-42a9-a2e7-ac4723a205d3","Unknown"
"Code_75","C28421","NCI Thesaurus","","f7109866-15fd-404e-963f-ecfd5e389426","Sex"
"Code_71","C28421","NCI Thesaurus","","7205610d-c2de-440e-951f-b82174a87a6d","Sex"
"Code_77","C17998","http://www.cdisc.org","2023-09-29","21ab06f4-899e-424f-8614-8b4e6f17a726","Unknown"
"Code_78","C17049","NCI Thesaurus","","c5e68081-d096-468e-8fd3-d49107468856","Race"
"Code_76","C17049","NCI Thesaurus","","bb7e9c79-765a-4f22-b823-5dcc1512ee96","Race"
"Code_80","C173522","NCI Thesaurus","","5683234a-28a5-446f-9570-b78451a43e31","Vital Signs Result"
"Code_81","C28252","http://www.cdisc.org","2023-09-29","e66c4a52-d320-457f-ab33-997c3574042d","Kilogram"
"Code_82","C48155","http://www.cdisc.org","2023-09-29","6c3625b6-62fa-4d99-9d85-1c48b24b7818","Gram"
"Code_83","C48531","http://www.cdisc.org","2023-09-29","108dce60-bcb8-486e-b6e6-1553f3f31491","Pound"
"Code_84","C48208","NCI Thesaurus","","0093c54e-82e5-45de-8eea-4f729fb64ca8","Unit of Weight"
"Code_79","C81328","NCI Thesaurus","","78fb0bf3-496c-4e23-8c11-c8988844c47d","Body Weight"
"Code_31","C174267","http://www.cdisc.org","2023-09-29","3f3241ef-50bb-4d16-9ffe-6745d257a2eb","Active Comparator Arm"
"Code_32","C188866","http://www.cdisc.org","2023-09-29","0d6d9b5c-e6a3-4df8-8710-de7787f39f6d","Data Generated Within Study"
"Code_33","C174268","http://www.cdisc.org","2023-09-29","6f65b52a-1485-48e7-b4d3-dc6af0a1c4b4","Placebo Comparator Arm"
"Code_34","C188866","http://www.cdisc.org","2023-09-29","1fde95b8-3da8-4ef0-880d-6184d7e7484b","Data Generated Within Study"
"Code_41","C49659","http://www.cdisc.org","2023-09-29","553799cc-fd68-4767-91cc-807ae55ad0fe","Open Label Study"
"Code_35","C48262","http://www.cdisc.org","2023-09-29","7a07690a-9aa9-4d37-8759-f4b491a2ec19","Trial Screening"
"Code_36","C125938","http://www.cdisc.org","2023-09-29","8af61501-49fb-4079-a0ef-aa451beab14d","Baseline Epoch"
"Code_37","C101526","http://www.cdisc.org","2023-09-29","54c3244e-6d47-4191-ba18-233e2e797aee","Treatment Epoch"
"Code_38","C99158","http://www.cdisc.org","2023-09-29","b7653101-ec73-4007-9e30-36232b80b4c3","Clinical Study Follow-up"
"Code_85","12345","SNOMED","January 31, 2018","82fc49e2-d29b-4685-a0ae-4fc99068e424","Indication1"
"Code_88","345678","SNOMED","January 31, 2018","dc6ff72f-ffac-42c4-badd-f5948a1be06b","Indication2"
"Code_86","X","ICD-10","None set","e314dc0c-0623-4a60-88a5-efa25772f835","Y"
"Code_87","A","SNOMED","January 31, 2018","b77a2bc5-1d7f-448d-bd09-0f7fd670b0a1","B"
"Code_89","DD","ICD-10","None set","468eecb5-d9a4-4e01-9006-760be31e1a25","CC"
"Code_90","A","SNOMED","January 31, 2018","a853576f-3fb5-4298-bcc0-1c4098ea0d74","B"
"Code_95","C85826","http://www.cdisc.org","2023-09-29","dc5cf304-180f-49bb-8184-75442a4776ce","Trial Primary Objective"
"Code_94","C94496","http://www.cdisc.org","2023-09-29","36e47c3d-7f34-4f88-bb81-1608338ad909","Primary Endpoint"
"Code_97","C85827","http://www.cdisc.org","2023-09-29","e1db392e-c44c-4c05-a41d-ff35a1f01325","Trial Secondary Objective"
"Code_96","C139173","http://www.cdisc.org","2023-09-29","154b4e45-bee7-42fa-b4d7-0b8df13cdb95","Secondary Endpoint"
"Code_98","C139173","http://www.cdisc.org","2023-09-29","0d03ca3c-5902-43ae-9b3a-f6cf4e4ddc0d","Secondary Endpoint"
"Code_99","C139173","http://www.cdisc.org","2023-09-29","57212770-0301-4c24-9697-090f30305365","Secondary Endpoint"
"Code_100","C139173","http://www.cdisc.org","2023-09-29","ae424f86-8c4f-4feb-aace-b6087f4d3027","Secondary Endpoint"
"Code_101","C139173","http://www.cdisc.org","2023-09-29","fd800eac-9a38-4550-b023-90e6e544feff","Secondary Endpoint"
"Code_102","C139173","http://www.cdisc.org","2023-09-29","c3ac7c5a-aa55-4f57-a1ac-8b6b0955084a","Secondary Endpoint"
"Code_103","C139173","http://www.cdisc.org","2023-09-29","b8f290e0-57fc-4da8-b177-388cb3eb8e66","Secondary Endpoint"
"Code_104","C139173","http://www.cdisc.org","2023-09-29","e049262f-0e2f-4d5d-920c-cc37b0a344f9","Secondary Endpoint"
"Code_105","C139173","http://www.cdisc.org","2023-09-29","8a1a9a22-67f3-42c1-8aee-8c2eec94b8a9","Secondary Endpoint"
"Code_106","C139173","http://www.cdisc.org","2023-09-29","d32a60af-1c8b-44dc-83d6-8dbd9d57edb4","Secondary Endpoint"
"Code_107","C139173","http://www.cdisc.org","2023-09-29","2e3049b4-a2aa-49ae-8ecd-cc232a828b83","Secondary Endpoint"
"Code_91","C49636","http://www.cdisc.org","2023-09-29","5172b993-75a3-4277-8e3d-9b6a2ab45f18","Both"
"Code_92","C20197","http://www.cdisc.org","2023-09-29","08c1dd79-3779-4b9b-a442-65409527024e","Male"
"Code_93","C16576","http://www.cdisc.org","2023-09-29","8490b7ca-0ec9-4b25-8d01-a68eea3c9ed5","Female"
"Code_48","C201264","http://www.cdisc.org","2023-09-29","9c0c3cb7-b41b-4a7d-be30-1226197b1e6a","Before"
"Code_50","C201265","http://www.cdisc.org","2023-09-29","61f9fd60-ea7f-4e12-97be-dac1b2a6cce5","Start to Start"
"Code_53","C201264","http://www.cdisc.org","2023-09-29","8133cb5e-7126-4f05-a87c-789ba1cc745c","Before"
"Code_55","C201265","http://www.cdisc.org","2023-09-29","d2c40bed-d117-4191-824c-f06fed6065d7","Start to Start"
"Code_56","C201264","http://www.cdisc.org","2023-09-29","ba4fd4b7-6f89-472e-8a22-124c9356fbf6","Fixed Reference"
"Code_60","C201265","http://www.cdisc.org","2023-09-29","dde03b0f-a47a-4125-96f7-f7d1324f1a45","Start to Start"
"Code_62","C201264","http://www.cdisc.org","2023-09-29","8ef47dc2-8c25-484a-8095-c09f8c64d217","After"
"Code_65","C201265","http://www.cdisc.org","2023-09-29","59422da9-4a8b-4423-8afc-818f2f90dbd7","Start to Start"
"Code_67","C201264","http://www.cdisc.org","2023-09-29","18c2c4b8-9109-429e-8347-ccae1b9067ef","After"
"Code_70","C201265","http://www.cdisc.org","2023-09-29","70c4243b-33f7-48de-8635-a9520e56eac5","Start to Start"
"Code_5","C85255","http://www.cdisc.org","2023-09-29","da41799c-4c3e-47de-af21-8c0f85184dcb","Draft"
"Code_8","C99903x1","http://www.cdisc.org","2023-09-29","82669936-ce94-4da5-a670-de5321cb08d6","Protocol Effective Date"
"Code_9","C68846","http://www.cdisc.org","2023-09-29","949e79e9-8f57-4724-a687-4722b26f59bb","Global"
