"code","decode","codeSystemVersion","codeSystem","id","uuid:ID"
"C125938","Baseline Epoch","2023-09-29","http://www.cdisc.org","Code_36","21f23f46-f46f-40e7-9e3f-d14f4800b988"
"C101526","Treatment Epoch","2023-09-29","http://www.cdisc.org","Code_37","2919c499-36a4-46dd-939e-8955d4c7f8f4"
"C99158","Clinical Study Follow-up","2023-09-29","http://www.cdisc.org","Code_38","2477c5c8-9aef-44df-b105-0b149952d8e0"
"12345","Indication1","January 31, 2018","SNOMED","Code_85","ce68df1b-d9c4-49e5-ae03-89af42d2ae8d"
"345678","Indication2","January 31, 2018","SNOMED","Code_88","2c6e2eb5-b316-4cc9-a955-1ea16934fecd"
"X","Y","None set","ICD-10","Code_86","df87dc8b-c38f-41a1-858a-3f9e2e704489"
"A","B","January 31, 2018","SNOMED","Code_87","41529fd5-8f18-4206-ab72-e0569d1e2e3f"
"DD","CC","None set","ICD-10","Code_89","7e8a7f64-9b6c-4553-b776-57265b9adcd8"
"A","B","January 31, 2018","SNOMED","Code_90","3fbb7a24-7ca0-4d26-b5cb-1b59edbcae2f"
"C85826","Trial Primary Objective","2023-09-29","http://www.cdisc.org","Code_95","2ab3fe1b-ded7-402f-a01e-f827e2abb465"
"C94496","Primary Endpoint","2023-09-29","http://www.cdisc.org","Code_94","824a886a-78e8-4c37-94bf-bcc039956aa6"
"C85827","Trial Secondary Objective","2023-09-29","http://www.cdisc.org","Code_97","9beee346-e213-4e43-95c3-66586a7a0aac"
"C139173","Secondary Endpoint","2023-09-29","http://www.cdisc.org","Code_96","3ae943d7-5b76-4fca-b2f6-e610b79f07fd"
"C139173","Secondary Endpoint","2023-09-29","http://www.cdisc.org","Code_98","63f7af9f-1df0-4eea-9b78-03aa89acb349"
"C139173","Secondary Endpoint","2023-09-29","http://www.cdisc.org","Code_99","0ba6b79d-273f-4073-869b-80f329ae97c8"
"C139173","Secondary Endpoint","2023-09-29","http://www.cdisc.org","Code_100","967a8b7d-aa02-40c4-9cc2-0e13f7197acb"
"C139173","Secondary Endpoint","2023-09-29","http://www.cdisc.org","Code_101","f5f0ed73-c95e-4b78-8a67-4bdf81865714"
"C139173","Secondary Endpoint","2023-09-29","http://www.cdisc.org","Code_102","2e30c6e7-0bec-424d-ae31-95910f87a511"
"C139173","Secondary Endpoint","2023-09-29","http://www.cdisc.org","Code_103","83a57d6d-8307-43ae-8e9d-3de3f73d0126"
"C139173","Secondary Endpoint","2023-09-29","http://www.cdisc.org","Code_104","133c1dc6-5999-408e-ba3b-baf096ac851f"
"C139173","Secondary Endpoint","2023-09-29","http://www.cdisc.org","Code_105","99e05b77-9af8-4166-a289-6bae372e6581"
"C139173","Secondary Endpoint","2023-09-29","http://www.cdisc.org","Code_106","465c39de-2c0d-4d83-8fa6-a32e5d6aa78a"
"C139173","Secondary Endpoint","2023-09-29","http://www.cdisc.org","Code_107","3d158395-7ce7-41d5-85a3-77a8e257e083"
"C49636","Both","2023-09-29","http://www.cdisc.org","Code_91","df6afe6c-ce82-47ff-a1d4-f3390fee98ec"
"C20197","Male","2023-09-29","http://www.cdisc.org","Code_92","5d782de7-8c73-406a-b9e5-bce1bebfe3ea"
"C16576","Female","2023-09-29","http://www.cdisc.org","Code_93","18b5ae40-37b4-4797-983c-76ceeee3df2c"
"C201264","Before","2023-09-29","http://www.cdisc.org","Code_48","137fb543-01a2-47b1-92eb-be8afa36fd55"
"C201265","Start to Start","2023-09-29","http://www.cdisc.org","Code_50","c920a2cf-8513-4920-b1e7-b02d5d75fd01"
"C201264","Before","2023-09-29","http://www.cdisc.org","Code_53","3514b3c2-b37e-4d55-a730-caa1cdf41e56"
"C201265","Start to Start","2023-09-29","http://www.cdisc.org","Code_55","4c912fff-c4fc-40e9-b0e4-5992a4782689"
"C201264","Fixed Reference","2023-09-29","http://www.cdisc.org","Code_56","ceb5ebe3-39a3-4741-b05a-54648de816d7"
"C201265","Start to Start","2023-09-29","http://www.cdisc.org","Code_60","ec77e1e2-3413-4d77-94e9-701d3668f7e5"
"C201264","After","2023-09-29","http://www.cdisc.org","Code_62","3e39cc6e-81b1-4b8e-a011-3e1619a28325"
"C201265","Start to Start","2023-09-29","http://www.cdisc.org","Code_65","f423f8d4-b742-4c6d-abd7-e3833711cbd9"
"C201264","After","2023-09-29","http://www.cdisc.org","Code_67","28bc3c49-5b2a-4c41-ba93-e33155359480"
"C201265","Start to Start","2023-09-29","http://www.cdisc.org","Code_70","183fe32a-c7a2-45ab-845c-a40a335cbbe7"
"C85255","Draft","2023-09-29","http://www.cdisc.org","Code_5","df9cff52-231a-4f6f-befd-a8619bd7cba1"
"C99903x1","Protocol Effective Date","2023-09-29","http://www.cdisc.org","Code_8","fea7c0f2-992b-4879-995d-b9fc68a9027c"
"C68846","Global","2023-09-29","http://www.cdisc.org","Code_9","088deced-704d-42a6-b51a-df608bd7c0ad"
