"codeSystem","id","code","codeSystemVersion","decode","uuid:ID"
"NCI Thesaurus","Code_84","C48208","","Unit of Weight","d1f91a90-1a82-4291-a78c-627ca8445387"
"NCI Thesaurus","Code_79","C81328","","Body Weight","a2e7931a-e0d7-473a-9038-92e6b7411acb"
"http://www.cdisc.org","Code_31","C174267","2023-09-29","Active Comparator Arm","472aa703-10c5-4799-aca8-cc6444be7380"
"http://www.cdisc.org","Code_32","C188866","2023-09-29","Data Generated Within Study","9c0e5c9f-3dd7-4408-9272-7e403c4733dc"
"http://www.cdisc.org","Code_33","C174268","2023-09-29","Placebo Comparator Arm","93027f8e-54d4-4e92-be0e-d2640000df11"
"http://www.cdisc.org","Code_34","C188866","2023-09-29","Data Generated Within Study","7069ab6f-8ad3-4939-bdd8-5a222d8bc1c4"
"http://www.cdisc.org","Code_41","C49659","2023-09-29","Open Label Study","8baf77f9-3879-488d-90b3-9fa627d5a538"
"http://www.cdisc.org","Code_35","C48262","2023-09-29","Trial Screening","b9899cc5-a324-40b0-b31a-552f20adab6e"
"http://www.cdisc.org","Code_36","C125938","2023-09-29","Baseline Epoch","48987c41-dba3-4267-be3c-c95b0384487b"
"http://www.cdisc.org","Code_37","C101526","2023-09-29","Treatment Epoch","8695fbeb-3aa8-4285-807c-b1d9d8544317"
"http://www.cdisc.org","Code_38","C99158","2023-09-29","Clinical Study Follow-up","bf23237a-3008-4f8e-8950-b1f9a77514a5"
"SNOMED","Code_85","12345","January 31, 2018","Indication1","e34d9ea7-8f65-481d-ba85-2ae3cf979010"
"SNOMED","Code_88","345678","January 31, 2018","Indication2","b4ab4eb8-17ac-4865-9268-48c6be2db413"
"ICD-10","Code_86","X","None set","Y","44b10ec7-f9f4-40ae-a99c-518fd6b5a125"
"SNOMED","Code_87","A","January 31, 2018","B","093e091d-7919-4804-9ea0-3e89e9e3b0ea"
"ICD-10","Code_89","DD","None set","CC","f36b5c6d-4a5e-424f-9b19-04c0c9d258ef"
"SNOMED","Code_90","A","January 31, 2018","B","0ba6a003-2493-4eac-8c72-ffea9917635a"
"http://www.cdisc.org","Code_95","C85826","2023-09-29","Trial Primary Objective","98e6d51b-5f62-4c8a-b82e-9381b6e02b88"
"http://www.cdisc.org","Code_94","C94496","2023-09-29","Primary Endpoint","6888c0d4-c12e-476e-9217-2e063f872ee2"
"http://www.cdisc.org","Code_97","C85827","2023-09-29","Trial Secondary Objective","09ac5f72-9381-4195-9925-ce6ea664dc80"
"http://www.cdisc.org","Code_96","C139173","2023-09-29","Secondary Endpoint","6593ed36-4509-4f0f-b97d-60dabd8bbfcb"
"http://www.cdisc.org","Code_98","C139173","2023-09-29","Secondary Endpoint","c157ba25-013c-4923-b9e8-403dcef95b42"
"http://www.cdisc.org","Code_99","C139173","2023-09-29","Secondary Endpoint","2bbab263-7f6d-4e59-b1fc-f95489843227"
"http://www.cdisc.org","Code_100","C139173","2023-09-29","Secondary Endpoint","d22afcc5-71f0-42b6-9d09-a9a08a3e04aa"
"http://www.cdisc.org","Code_101","C139173","2023-09-29","Secondary Endpoint","0a83ad35-0e4c-4003-a3d1-f13f2779deb2"
"http://www.cdisc.org","Code_102","C139173","2023-09-29","Secondary Endpoint","9f0a2b8f-25e7-4cfb-9302-115ea4e46cce"
"http://www.cdisc.org","Code_103","C139173","2023-09-29","Secondary Endpoint","068ed641-42a7-4706-bc1f-2e58f23f57a5"
"http://www.cdisc.org","Code_104","C139173","2023-09-29","Secondary Endpoint","a7f87f7d-15bb-48fe-8a2e-5a4385901af8"
"http://www.cdisc.org","Code_105","C139173","2023-09-29","Secondary Endpoint","4f86fcec-3707-468d-a5f4-85fb5e6584d8"
"http://www.cdisc.org","Code_106","C139173","2023-09-29","Secondary Endpoint","74499ed4-a275-4186-a0a1-383559e402ec"
"http://www.cdisc.org","Code_107","C139173","2023-09-29","Secondary Endpoint","5ee9108a-3b46-411d-8d01-3c03592e25a6"
"http://www.cdisc.org","Code_91","C49636","2023-09-29","Both","6c92c49f-aca2-4439-adbf-71c4147e504a"
"http://www.cdisc.org","Code_92","C20197","2023-09-29","Male","f1481656-c767-4440-aa4d-cd4e5db1ce8f"
"http://www.cdisc.org","Code_93","C16576","2023-09-29","Female","f0f37972-d3d1-416b-907e-04f8be37f11a"
"http://www.cdisc.org","Code_48","C201264","2023-09-29","Before","4cca983b-f68b-43a4-bda2-1f6b6978886a"
"http://www.cdisc.org","Code_50","C201265","2023-09-29","Start to Start","d050350d-11f0-4ad3-a88d-cfbf70966199"
"http://www.cdisc.org","Code_53","C201264","2023-09-29","Before","ba07338f-997e-4913-a88e-468b7c0147cb"
"http://www.cdisc.org","Code_55","C201265","2023-09-29","Start to Start","cc863337-024c-477d-b6fe-a6ac59818290"
"http://www.cdisc.org","Code_56","C201264","2023-09-29","Fixed Reference","0716fd6f-a68b-4b97-ae3f-6bf0dc10ac22"
"http://www.cdisc.org","Code_60","C201265","2023-09-29","Start to Start","82583cd7-5e2f-4695-be08-4144f44644b2"
"http://www.cdisc.org","Code_62","C201264","2023-09-29","After","cb33c093-cb20-4153-b2c2-4e207d3e10e7"
"http://www.cdisc.org","Code_65","C201265","2023-09-29","Start to Start","7ca70ac7-524a-4688-84a5-54806748bc7f"
"http://www.cdisc.org","Code_67","C201264","2023-09-29","After","9de78d81-2814-469a-a1af-250dea2823d7"
"http://www.cdisc.org","Code_70","C201265","2023-09-29","Start to Start","02b28969-8df7-442a-9070-3b7f10a83a17"
"http://www.cdisc.org","Code_5","C85255","2023-09-29","Draft","e029de9a-e00d-4ff6-b0b5-e617c97b5e18"
"http://www.cdisc.org","Code_8","C99903x1","2023-09-29","Protocol Effective Date","b5ed13e2-b8f1-4601-9be7-c19f169ad02e"
"http://www.cdisc.org","Code_9","C68846","2023-09-29","Global","7c82ac51-37ef-42cc-9d6c-5fe24c621f58"
