"codeSystem","uuid:ID","codeSystemVersion","id","decode","code"
"http://www.cdisc.org","b5c46cad-3629-4b30-840e-70803403cee4","2023-09-29","Code_38","Clinical Study Follow-up","C99158"
"SNOMED","7920b857-5696-4f22-b920-cf69fbbba2f0","January 31, 2018","Code_83","Indication1","12345"
"SNOMED","27ad2d5d-ed94-457d-a191-04cac8be911e","January 31, 2018","Code_84","Indication2","345678"
"M11","aa34266d-f865-42af-8f85-02e186875505","None set","Code_90","role1","role1"
"http://www.cdisc.org","29461abb-f288-43ce-8064-297ab4ecdecc","2023-09-29","Code_91","Pharmacologic Substance","C1909"
"http://www.cdisc.org","0eb66908-6aa8-421b-9188-aeb1037e5eca","2023-09-29","Code_94","Day","C25301"
"SPONSOR","82fd1fcd-f108-4230-9f51-5c51c7b1e4f9","12","Code_89","B","A"
"http://www.cdisc.org","d53229ef-0535-4e87-ad93-1b2f40bb3c31","2023-09-29","Code_85","Percentage","C25613"
"http://www.cdisc.org","4094f85c-e363-4608-869c-c1dff338606b","2023-09-29","Code_87","Milligram","C28253"
"http://www.cdisc.org","baedb659-e955-4b75-ae0b-07e58bde4f1d","2023-09-29","Code_86","Dental Route of Administration","C38197"
"http://www.cdisc.org","62501fdb-2366-4365-954f-b92a15f92d00","2023-09-29","Code_88","Ten Days Per Month","C139179"
"M11","3a18195b-2656-4b68-a24d-d1ae67af19c5","None set","Code_93","desig_1","desig1"
"FDA","8fcbe648-6b80-4742-a221-9654c0cac708","None set","Code_92","B","A"
"M11","5503bc5c-451e-4e12-9291-e6a0533e0267","None set","Code_100","role2","role2"
"http://www.cdisc.org","902b5048-a57d-421c-beb4-4bfc4cf1ed80","2023-09-29","Code_101","Pharmacologic Substance","C1909"
"http://www.cdisc.org","53c45bb9-7554-44f2-90aa-8aa16063516c","2023-09-29","Code_104","Day","C25301"
"SPONSOR","d3216355-1e78-439e-953d-4cbb70c2ebf1","12","Code_99","B","A"
"http://www.cdisc.org","a7c6a89a-0fbd-42ad-a774-d67049162f1d","2023-09-29","Code_95","Percentage","C25613"
"http://www.cdisc.org","c34d462d-a5fb-444c-8059-1027611c5127","2023-09-29","Code_97","Milligram","C28253"
"http://www.cdisc.org","0fa054a0-d558-4ee1-9c2c-0c9dafc518fe","2023-09-29","Code_96","Dental Route of Administration","C38197"
"http://www.cdisc.org","1c04aa8b-8005-4ffd-80cf-952273e67057","2023-09-29","Code_98","Ten Days Per Month","C139179"
"M11","f70fbe87-63cb-4c59-be24-4147056b3b36","None set","Code_103","desig_2","desig2"
"FDA","8ad2f28c-6213-4f9f-babf-10372e0dab69","None set","Code_102","B","A"
"http://www.cdisc.org","9c763bbb-8fe4-4d22-97a7-7444946b673e","2023-09-29","Code_111","Trial Primary Objective","C85826"
"http://www.cdisc.org","8e63412c-f0cc-4ba6-8347-e0f59462d086","2023-09-29","Code_110","Primary Endpoint","C94496"
"http://www.cdisc.org","63ecb6fd-db22-49fc-b311-165800156dbb","2023-09-29","Code_113","Trial Secondary Objective","C85827"
"http://www.cdisc.org","38838b0d-09bd-42ba-82a5-59e6668c33c8","2023-09-29","Code_112","Secondary Endpoint","C139173"
"http://www.cdisc.org","a7018400-f47a-42f6-b0e1-ee60683528e5","2023-09-29","Code_114","Secondary Endpoint","C139173"
"http://www.cdisc.org","c29b64a7-b001-4d61-b279-bf9860c6ad51","2023-09-29","Code_115","Secondary Endpoint","C139173"
"http://www.cdisc.org","8e4bc7a0-2878-4b71-9982-28f2bb9ad5c7","2023-09-29","Code_116","Secondary Endpoint","C139173"
"http://www.cdisc.org","87e5f94b-2a5f-4203-a4ac-5bef5e1aa820","2023-09-29","Code_117","Secondary Endpoint","C139173"
"http://www.cdisc.org","4ae85d3a-8d91-4712-8cba-dc3c7c354cd1","2023-09-29","Code_118","Secondary Endpoint","C139173"
"http://www.cdisc.org","a4d01514-3936-4da2-b4b4-1a744afd4749","2023-09-29","Code_119","Secondary Endpoint","C139173"
"http://www.cdisc.org","860782ac-496e-441c-8d18-742561a98ec3","2023-09-29","Code_120","Secondary Endpoint","C139173"
"http://www.cdisc.org","e40e44bb-ca7a-4d93-881d-4bf26266ce46","2023-09-29","Code_121","Secondary Endpoint","C139173"
"http://www.cdisc.org","e86eec9b-e8d1-4678-98f6-59a49c6a4e9d","2023-09-29","Code_122","Secondary Endpoint","C139173"
"http://www.cdisc.org","c50a2e04-dab2-4d5b-a5af-1639d77acaf4","2023-09-29","Code_123","Secondary Endpoint","C139173"
"http://www.cdisc.org","4ed0870c-d8ba-403c-95b4-1613c2343eb5","2023-09-29","Code_48","Before","C201264"
"http://www.cdisc.org","d85ec124-18f8-47a7-92d3-fd68852e67d4","2023-09-29","Code_50","Start to Start","C201265"
"http://www.cdisc.org","66e3b8e0-252d-4b7b-a1e4-a9bd8b494acd","2023-09-29","Code_53","Before","C201264"
"http://www.cdisc.org","93845df2-61d7-4279-b451-9520b91b367c","2023-09-29","Code_55","Start to Start","C201265"
"http://www.cdisc.org","445e51ca-057d-4682-bcdd-f1e266c744c8","2023-09-29","Code_56","Fixed Reference","C201264"
"http://www.cdisc.org","ed11df27-4ff9-4a40-b5df-6921fd32903f","2023-09-29","Code_60","Start to Start","C201265"
"http://www.cdisc.org","f7838210-e0e6-4ed9-8098-27f339bd1143","2023-09-29","Code_62","After","C201264"
"http://www.cdisc.org","3d452818-c127-4845-8379-9943ab013346","2023-09-29","Code_65","Start to Start","C201265"
"http://www.cdisc.org","76405203-2f94-47af-8940-a40a34bb93e7","2023-09-29","Code_67","After","C201264"
"http://www.cdisc.org","ed1bde0b-4d8d-4ede-89cf-007e9444f0d7","2023-09-29","Code_70","Start to Start","C201265"
"http://www.cdisc.org","b0f0b4b5-7a04-4a45-9038-c3c945ecb0c0","2023-09-29","Code_5","Draft","C85255"
"http://www.cdisc.org","86fc44dd-f222-4449-8fbe-574b5cc08682","2023-09-29","Code_8","Protocol Effective Date","C99903x1"
"http://www.cdisc.org","62873f3a-1b9c-4a0b-8c4c-709805d8a04d","2023-09-29","Code_9","Global","C68846"
