"codeSystem","id","code","uuid:ID","decode","codeSystemVersion"
"http://www.cdisc.org","Code_112","C139173","8180878e-dcef-4e3d-9d98-5b256d5ad92c","Secondary Endpoint","2023-09-29"
"http://www.cdisc.org","Code_113","C139173","9782a865-b92e-4b32-ae33-f9ba4e0970b4","Secondary Endpoint","2023-09-29"
"http://www.cdisc.org","Code_114","C139173","622616e7-fd40-451b-8712-cb3cbefdb21b","Secondary Endpoint","2023-09-29"
"http://www.cdisc.org","Code_115","C139173","25097f05-b8c5-4907-bf2f-32e041ad5d03","Secondary Endpoint","2023-09-29"
"http://www.cdisc.org","Code_99","C49636","433ac4d8-305e-4353-bc01-4ac6a58b5346","Both","2023-09-29"
"http://www.cdisc.org","Code_100","C20197","8eb885b1-5bb5-4427-92d6-6b8f4a090e33","Male","2023-09-29"
"http://www.cdisc.org","Code_101","C16576","212e2f5f-d1a5-4987-ac56-c870d6057080","Female","2023-09-29"
"http://www.cdisc.org","Code_48","C201264","a3ea91a7-405c-484a-9aeb-9fbbb226e643","Before","2023-09-29"
"http://www.cdisc.org","Code_50","C201265","0effd142-ff5d-4d23-be84-63024a709671","Start to Start","2023-09-29"
"http://www.cdisc.org","Code_53","C201264","9da100cb-a3b3-4e24-b79d-dd2aec41b31f","Before","2023-09-29"
"http://www.cdisc.org","Code_55","C201265","5eae37fc-d9a6-4215-9d53-8c7df6fcb332","Start to Start","2023-09-29"
"http://www.cdisc.org","Code_56","C201264","6939232a-c303-4ab4-b4fd-f0eb00765688","Fixed Reference","2023-09-29"
"http://www.cdisc.org","Code_60","C201265","8c76c68c-083a-4d41-a033-3f31d404bd7f","Start to Start","2023-09-29"
"http://www.cdisc.org","Code_62","C201264","ad1a583e-4d59-4941-a5ce-2606d6e2ce33","After","2023-09-29"
"http://www.cdisc.org","Code_65","C201265","4e4fa343-9fb8-451d-bfcb-9a79559c6817","Start to Start","2023-09-29"
"http://www.cdisc.org","Code_67","C201264","77982347-8d74-4f3b-b5a9-362b752f3b2a","After","2023-09-29"
"http://www.cdisc.org","Code_70","C201265","2f2be878-bcdf-4d76-a87f-d7b924bc6ec1","Start to Start","2023-09-29"
"http://www.cdisc.org","Code_5","C85255","034a022a-0afc-4b76-8d9b-ca746dd88df3","Draft","2023-09-29"
"http://www.cdisc.org","Code_8","C99903x1","d23e4719-2819-454a-9bf5-8a420773b83b","Protocol Effective Date","2023-09-29"
"http://www.cdisc.org","Code_9","C68846","08dfb62a-e798-45d5-84d5-e8e82f432aeb","Global","2023-09-29"
