"code","uuid:ID","codeSystemVersion","decode","id","codeSystem"
"12345","2fe913f5-e840-455e-8cf8-8be5c4d50399","January 31, 2018","Indication1","Code_98","SNOMED"
"345678","9a8d83cb-5f5b-4c7d-bd0f-29d77e861939","January 31, 2018","Indication2","Code_99","SNOMED"
"X","08c0d076-0acd-4ba1-8fa8-39b5129fb290","None set","Y","Code_100","ICD-10"
"A","b3856e59-df72-444a-8622-99bb3056eb30","January 31, 2018","B","Code_101","SNOMED"
"DD","34c0cdfe-f645-4d87-8306-8b59ac8d85ff","None set","CC","Code_102","ICD-10"
"A","c2c19ece-d200-4731-a334-5c695a7099a6","January 31, 2018","B","Code_103","SNOMED"
"C85826","0b650ecb-8b3b-43c3-9dc4-e5fa40ba980d","2023-09-29","Trial Primary Objective","Code_108","http://www.cdisc.org"
"C94496","3a9e6621-0a73-46bb-8c80-ddaad4df68db","2023-09-29","Primary Endpoint","Code_107","http://www.cdisc.org"
"C85827","29e39397-43b9-4666-ad77-70b7c37ef2b9","2023-09-29","Trial Secondary Objective","Code_110","http://www.cdisc.org"
"C139173","6f7c0922-1299-4303-a82a-b7f071849849","2023-09-29","Secondary Endpoint","Code_109","http://www.cdisc.org"
"C139173","7410bbf3-cbe0-41c7-aef1-17302be5effa","2023-09-29","Secondary Endpoint","Code_111","http://www.cdisc.org"
"C49636","539fc357-5b0b-4d58-975f-70735e8a0bd4","2023-09-29","Both","Code_104","http://www.cdisc.org"
"C20197","46ef6867-f7e4-4617-80b7-2fd973d9a8d0","2023-09-29","Male","Code_105","http://www.cdisc.org"
"C16576","11a93d5d-d907-4495-aa3c-54ec5502bd95","2023-09-29","Female","Code_106","http://www.cdisc.org"
"C201264","16b65b1a-94bd-407f-b70f-b95a4a0272c2","2023-09-29","Before","Code_65","http://www.cdisc.org"
"C201265","c999c8e6-b037-4b61-a373-7120f0688bc9","2023-09-29","Start to Start","Code_66","http://www.cdisc.org"
"C201264","10fdbfcd-d7a7-497d-8e27-7ae5684c612a","2023-09-29","Before","Code_67","http://www.cdisc.org"
"C201265","0add1e85-8dc6-4bd3-b54a-26291ad0c769","2023-09-29","Start to Start","Code_68","http://www.cdisc.org"
"C201264","aeb21269-ed36-473d-b415-1a48e3744340","2023-09-29","Fixed Reference","Code_69","http://www.cdisc.org"
"C201265","827d0949-37c8-47c3-b6a8-c1404f4fb480","2023-09-29","Start to Start","Code_70","http://www.cdisc.org"
"C201264","b1a9f67c-a72b-4db5-baf4-f4c8058f2b09","2023-09-29","After","Code_71","http://www.cdisc.org"
"C201265","10ed37a4-c3b4-4de5-b9d3-7bb84346d0bd","2023-09-29","Start to Start","Code_72","http://www.cdisc.org"
"C201264","fbb6f687-25d8-4d03-9d7c-69af084b5246","2023-09-29","After","Code_73","http://www.cdisc.org"
"C201265","ac0cb938-6c4f-4d8e-9c8c-ce773c7428ae","2023-09-29","Start to Start","Code_74","http://www.cdisc.org"
"C201264","934cf8c4-8b29-4f5e-a587-7c37e1fab3fe","2023-09-29","After","Code_75","http://www.cdisc.org"
"C201265","7d35c5b6-6f7f-4cac-9d97-301554599901","2023-09-29","Start to Start","Code_76","http://www.cdisc.org"
"C25532","da4f51eb-6f01-4421-876e-11fcde92a423","2023-09-29","Inclusion Criteria","Code_112","http://www.cdisc.org"
"C25532","4240500a-de44-43b9-9827-5464db5060d0","2023-09-29","Inclusion Criteria","Code_113","http://www.cdisc.org"
"C25370","4a1ac592-611c-4571-9664-1dc4cb70d160","2023-09-29","Exclusion Criteria","Code_114","http://www.cdisc.org"
"C25370","e69177fe-c9a2-4ca9-ac5f-0826ce1da36b","2023-09-29","Exclusion Criteria","Code_115","http://www.cdisc.org"
"C85255","650c6fa4-c12a-4f5a-aed3-8a1b8b8c8456","2023-09-29","Draft","Code_5","http://www.cdisc.org"
"C99903x1","9d1beeac-ffd5-4ba4-b6ec-708d9d3cd27a","2023-09-29","Protocol Effective Date","Code_15","http://www.cdisc.org"
"C68846","fe939d16-952f-4dca-8497-33611f63cd91","2023-09-29","Global","Code_16","http://www.cdisc.org"
"C99903x1","23023d4d-f0f1-45c9-8e0b-44bcd17848e7","2023-09-29","Protocol Effective Date","Code_17","http://www.cdisc.org"
"C41129","3fb82ac4-2b48-460e-8499-a7ba028a68dc","2023-09-29","Region","Code_19","http://www.cdisc.org"
"142","b6261197-4ea9-489a-b167-8c68af3e8bb8","2020-08","Asia","Code_18","ISO 3166 1 alpha3"
