"name","isRequired","uuid:ID","instanceType","id","isEnabled","datatype","label"
"VSORRESU","True","ca670abb-932a-4403-bc69-aace47badfc5","BiomedicalConceptProperty","BiomedicalConceptProperty_38","True","","VSORRESU"
"VSLOC","True","0a206399-f214-4aa1-a35b-592282375b6e","BiomedicalConceptProperty","BiomedicalConceptProperty_39","True","","VSLOC"
"VSTESTCD","True","566c1de0-8eac-481d-af2d-c49d7536ebc3","BiomedicalConceptProperty","BiomedicalConceptProperty_40","True","","VSTESTCD"
"VSORRES","True","0904b0a8-b202-4917-9aae-59145677512e","BiomedicalConceptProperty","BiomedicalConceptProperty_41","True","float","VSORRES"
"VSORRESU","True","17b0e8c4-3266-4ec6-95e7-75a8c7cc4bbf","BiomedicalConceptProperty","BiomedicalConceptProperty_42","True","","VSORRESU"
"VSTESTCD","True","f3b8b1b6-448c-492b-8e4a-3db4503ae0c9","BiomedicalConceptProperty","BiomedicalConceptProperty_43","True","","VSTESTCD"
"VSORRES","True","a6fa8902-b029-434b-9faa-b1362cb84ce1","BiomedicalConceptProperty","BiomedicalConceptProperty_44","True","float","VSORRES"
"VSORRESU","True","e43dce26-d4f5-4e01-aa49-4f39dcd534ac","BiomedicalConceptProperty","BiomedicalConceptProperty_45","True","","VSORRESU"
"LBTESTCD","True","712ec68f-08f9-4b7d-9e4f-f428b0080cb3","BiomedicalConceptProperty","BiomedicalConceptProperty_46","True","","LBTESTCD"
"LBORRES","True","36e72f6b-30de-4f3e-a426-cd9ee541f6c3","BiomedicalConceptProperty","BiomedicalConceptProperty_47","True","float","LBORRES"
"LBORRESU","True","908fd25b-ba76-46e5-940c-8195f06a0ac8","BiomedicalConceptProperty","BiomedicalConceptProperty_48","True","","LBORRESU"
"LBSPEC","True","4a5fe7de-e696-457b-9d90-e311cd9cd84c","BiomedicalConceptProperty","BiomedicalConceptProperty_49","True","","LBSPEC"
"LBFAST","True","bbc76f85-dcf8-40d9-a583-951d85423637","BiomedicalConceptProperty","BiomedicalConceptProperty_50","True","","LBFAST"
"LBTESTCD","True","57bd3359-c9da-4c97-a282-eb2d0dab0ef1","BiomedicalConceptProperty","BiomedicalConceptProperty_51","True","","LBTESTCD"
"LBORRES","True","c7e17502-079c-4a4d-ab06-d7b8d508afb0","BiomedicalConceptProperty","BiomedicalConceptProperty_52","True","text","LBORRES"
"LBSPEC","True","885e35b7-6046-4a4f-8df4-9dda2de95232","BiomedicalConceptProperty","BiomedicalConceptProperty_53","True","","LBSPEC"
"LBFAST","True","d2afea8c-5158-468c-b460-ef520a95e43d","BiomedicalConceptProperty","BiomedicalConceptProperty_54","True","","LBFAST"
"LBTESTCD","True","a4c16e96-688e-4c9d-8a84-c041434a3ff7","BiomedicalConceptProperty","BiomedicalConceptProperty_55","True","","LBTESTCD"
"LBORRES","True","23b2838a-aff9-43ee-b7b0-5a068eba9489","BiomedicalConceptProperty","BiomedicalConceptProperty_56","True","float","LBORRES"
"LBORRESU","True","e00cc348-5288-4a1a-8c45-2eb22863a45a","BiomedicalConceptProperty","BiomedicalConceptProperty_57","True","","LBORRESU"
"LBSPEC","True","f4768e00-0e7d-42a8-81ad-60fa709917df","BiomedicalConceptProperty","BiomedicalConceptProperty_58","True","","LBSPEC"
"LBFAST","True","34d3a300-52b4-4fc8-a677-242eab06ab7f","BiomedicalConceptProperty","BiomedicalConceptProperty_59","True","","LBFAST"
"LBTESTCD","True","e6b91b2d-5f67-4273-aa87-e81cc0272f34","BiomedicalConceptProperty","BiomedicalConceptProperty_60","True","","LBTESTCD"
"LBORRES","True","2da37037-53f8-40f2-be57-b402fd512880","BiomedicalConceptProperty","BiomedicalConceptProperty_61","True","float","LBORRES"
"LBORRESU","True","15938103-67fa-4d7a-a1ef-ce8fbdaf1223","BiomedicalConceptProperty","BiomedicalConceptProperty_62","True","","LBORRESU"
"LBSPEC","True","69fc86a8-615d-4a89-8a2b-ff58dffc906e","BiomedicalConceptProperty","BiomedicalConceptProperty_63","True","","LBSPEC"
"LBFAST","True","d8355b83-6a82-436b-8526-c8c83fd40e07","BiomedicalConceptProperty","BiomedicalConceptProperty_64","True","","LBFAST"
"LBTESTCD","True","da321647-7fb0-4702-aacb-e0129da4ea53","BiomedicalConceptProperty","BiomedicalConceptProperty_65","True","","LBTESTCD"
"LBORRES","True","9e5d395f-7248-465a-923a-baff5203ef22","BiomedicalConceptProperty","BiomedicalConceptProperty_66","True","float","LBORRES"
"LBORRESU","True","63d22b9c-0340-4c1b-94ad-f18e4e8705f4","BiomedicalConceptProperty","BiomedicalConceptProperty_67","True","","LBORRESU"
"LBSPEC","True","f4c0d422-f256-4a0f-b908-b19b82f9eff1","BiomedicalConceptProperty","BiomedicalConceptProperty_68","True","","LBSPEC"
"LBFAST","True","7895b47b-4f21-4364-addb-2be0c4b7cdb9","BiomedicalConceptProperty","BiomedicalConceptProperty_69","True","","LBFAST"
"LBTESTCD","True","8a8eefc4-551e-4dae-b56b-69dbada3b043","BiomedicalConceptProperty","BiomedicalConceptProperty_70","True","","LBTESTCD"
"LBORRES","True","bb2d8962-d73c-40d1-a487-a79b61fc54bc","BiomedicalConceptProperty","BiomedicalConceptProperty_71","True","float","LBORRES"
"LBORRESU","True","22b5dd31-a9a0-4aad-8c68-a7bd84ec62fb","BiomedicalConceptProperty","BiomedicalConceptProperty_72","True","","LBORRESU"
"LBSPEC","True","18ae9ddf-4931-4cd5-87f9-53545feb438f","BiomedicalConceptProperty","BiomedicalConceptProperty_73","True","","LBSPEC"
"LBFAST","True","00fb3e44-fc45-49bf-9ceb-962c71cc94ce","BiomedicalConceptProperty","BiomedicalConceptProperty_74","True","","LBFAST"
"LBTESTCD","True","2321d890-e78d-4558-ae5d-96fb6a3fd129","BiomedicalConceptProperty","BiomedicalConceptProperty_75","True","","LBTESTCD"
"LBORRES","True","ce899afe-6163-4800-834c-6b167211c75b","BiomedicalConceptProperty","BiomedicalConceptProperty_76","True","float","LBORRES"
"LBORRESU","True","9212f5e7-52f9-4545-ba86-03b43e41d72a","BiomedicalConceptProperty","BiomedicalConceptProperty_77","True","","LBORRESU"
"LBSPEC","True","5aea9630-a82a-4948-bbde-4ef1bf87b155","BiomedicalConceptProperty","BiomedicalConceptProperty_78","True","","LBSPEC"
"LBFAST","True","0f8bdb16-f17f-4ce8-a223-51483f1dcabf","BiomedicalConceptProperty","BiomedicalConceptProperty_79","True","","LBFAST"
"VSTESTCD","True","bf8a689f-25ce-44b7-86cf-f4ff7c4e62e1","BiomedicalConceptProperty","BiomedicalConceptProperty_80","True","","VSTESTCD"
"VSORRES","True","f7bee62f-6c5a-4274-b89b-19df2f77894d","BiomedicalConceptProperty","BiomedicalConceptProperty_81","True","integer","VSORRES"
"VSORRESU","True","aa93e86e-d27e-4d86-9f8d-07d2ed6c0f74","BiomedicalConceptProperty","BiomedicalConceptProperty_82","True","","VSORRESU"
"VSPOS","True","43b5bfa2-c30e-4d29-81ea-8cf1e1f0ed4d","BiomedicalConceptProperty","BiomedicalConceptProperty_83","True","","VSPOS"
"VSLOC","True","8f5f1c29-f3b2-4401-9e36-da7af1f10276","BiomedicalConceptProperty","BiomedicalConceptProperty_84","True","","VSLOC"
"VSLAT","True","00e321b6-df20-4ce9-b13a-74659c7f1f79","BiomedicalConceptProperty","BiomedicalConceptProperty_85","True","","VSLAT"
"VSTESTCD","True","a1ab35d7-5856-4dc0-815e-8df3dfe7e79d","BiomedicalConceptProperty","BiomedicalConceptProperty_86","True","","VSTESTCD"
"VSORRES","True","c2f95568-31e4-4e77-85b5-da9a93fe1aec","BiomedicalConceptProperty","BiomedicalConceptProperty_87","True","integer","VSORRES"
"VSORRESU","True","54050ff8-089c-45a5-b912-e75f0daa8670","BiomedicalConceptProperty","BiomedicalConceptProperty_88","True","","VSORRESU"
"VSPOS","True","2440700f-b70e-4854-811e-5d8b5c9ddab7","BiomedicalConceptProperty","BiomedicalConceptProperty_89","True","","VSPOS"
"VSLOC","True","9bbd30af-4ff0-4516-922d-6cf58ca10aa6","BiomedicalConceptProperty","BiomedicalConceptProperty_90","True","","VSLOC"
"VSLAT","True","55c35139-3277-4aec-9861-b5367fab2679","BiomedicalConceptProperty","BiomedicalConceptProperty_91","True","","VSLAT"
"VSTESTCD","True","8f27d08a-2b1a-4d93-86bf-0c7a1bec26c8","BiomedicalConceptProperty","BiomedicalConceptProperty_92","True","","VSTESTCD"
"VSORRES","True","9b5ae585-860e-4fb8-8b58-a82298121a27","BiomedicalConceptProperty","BiomedicalConceptProperty_93","True","integer","VSORRES"
"VSORRESU","True","486f62c4-bd4c-448a-95d1-a0a36ccaf586","BiomedicalConceptProperty","BiomedicalConceptProperty_94","True","","VSORRESU"
"VSPOS","True","6e3891f3-254b-46f7-8345-bd0cbda694ff","BiomedicalConceptProperty","BiomedicalConceptProperty_95","True","","VSPOS"
"VSLOC","True","4c574518-e24c-4dfa-a43b-30b79ba5a637","BiomedicalConceptProperty","BiomedicalConceptProperty_96","True","","VSLOC"
"VSLAT","True","9d77737e-7bb3-40f4-9bdb-11aa943d4470","BiomedicalConceptProperty","BiomedicalConceptProperty_97","True","","VSLAT"
"VSTESTCD","True","84859b44-8d41-4474-9ae5-f0dbb3afba16","BiomedicalConceptProperty","BiomedicalConceptProperty_98","True","","VSTESTCD"
"VSORRES","True","01a47cf3-fa90-4176-a9d9-55e9b64e3d39","BiomedicalConceptProperty","BiomedicalConceptProperty_99","True","integer","VSORRES"
"VSORRESU","True","d29fd4c5-3e5d-4151-86f2-c3944db7bc26","BiomedicalConceptProperty","BiomedicalConceptProperty_100","True","","VSORRESU"
"VSPOS","True","8a4b536e-d297-4fe8-b29e-aed523b07ce8","BiomedicalConceptProperty","BiomedicalConceptProperty_101","True","","VSPOS"
"VSLOC","True","c90aa6ad-ac92-47bd-b767-b307c9f4a430","BiomedicalConceptProperty","BiomedicalConceptProperty_102","True","","VSLOC"
"VSLAT","True","a1fd5914-71ca-48bc-bb2e-0005566f505e","BiomedicalConceptProperty","BiomedicalConceptProperty_103","True","","VSLAT"
"VSTESTCD","True","c952e151-e3f6-41ab-af84-95a58f0d91f8","BiomedicalConceptProperty","BiomedicalConceptProperty_104","True","","VSTESTCD"
"VSORRES","True","1e516fbd-ec3b-4506-8bcd-f06f930b1471","BiomedicalConceptProperty","BiomedicalConceptProperty_105","True","integer","VSORRES"
"VSORRESU","True","3efe5e02-5258-416c-b0ab-116e6488712e","BiomedicalConceptProperty","BiomedicalConceptProperty_106","True","","VSORRESU"
"VSPOS","True","11b0f6be-da3c-44f5-9c14-76ba2911d96e","BiomedicalConceptProperty","BiomedicalConceptProperty_107","True","","VSPOS"
"VSLOC","True","fe7af818-2366-41c3-837f-827871852d59","BiomedicalConceptProperty","BiomedicalConceptProperty_108","True","","VSLOC"
"VSLAT","True","0ef06408-503c-4b9d-bd8a-7b4a9b2d4e56","BiomedicalConceptProperty","BiomedicalConceptProperty_109","True","","VSLAT"
"VSTESTCD","True","a3fd2b4a-2e28-4119-af2e-726e0740174a","BiomedicalConceptProperty","BiomedicalConceptProperty_110","True","","VSTESTCD"
"VSORRES","True","e03f9d92-083a-404a-809c-a1990dc1a4e4","BiomedicalConceptProperty","BiomedicalConceptProperty_111","True","integer","VSORRES"
"VSORRESU","True","10d3f895-724f-4236-b1ec-7d5b1d2106ae","BiomedicalConceptProperty","BiomedicalConceptProperty_112","True","","VSORRESU"
"VSPOS","True","87361121-4918-40c0-9e49-7fbf2b857c35","BiomedicalConceptProperty","BiomedicalConceptProperty_113","True","","VSPOS"
"VSLOC","True","80cee8a9-84bf-422c-81a3-fa337ff70037","BiomedicalConceptProperty","BiomedicalConceptProperty_114","True","","VSLOC"
"VSLAT","True","96edbc03-820a-438f-b965-c16a0958956c","BiomedicalConceptProperty","BiomedicalConceptProperty_115","True","","VSLAT"
