"label","datatype","id","name","instanceType","isEnabled","isRequired","uuid:ID"
"LBSPEC","","BiomedicalConceptProperty_138","LBSPEC","BiomedicalConceptProperty","True","True","ee51bce3-d02b-41f6-a1a5-596d7efce7c3"
"LBFAST","","BiomedicalConceptProperty_139","LBFAST","BiomedicalConceptProperty","True","True","fa63e410-65be-439f-a834-4c6fcc4409a7"
"LBTESTCD","","BiomedicalConceptProperty_140","LBTESTCD","BiomedicalConceptProperty","True","True","9255ec1d-d2c9-428a-96b4-ed84e1d5423a"
"LBORRES","float","BiomedicalConceptProperty_141","LBORRES","BiomedicalConceptProperty","True","True","a84b5e09-fd14-474a-8bdc-2e66594c856d"
"LBORRESU","","BiomedicalConceptProperty_142","LBORRESU","BiomedicalConceptProperty","True","True","adcff103-a24a-4917-8159-ff9a28762195"
"LBSPEC","","BiomedicalConceptProperty_143","LBSPEC","BiomedicalConceptProperty","True","True","75be5552-d196-456b-aea2-a9023eb8d79d"
"LBFAST","","BiomedicalConceptProperty_144","LBFAST","BiomedicalConceptProperty","True","True","e77c71ec-8cb2-4175-9090-1c9af33fb3a5"
"LBTESTCD","","BiomedicalConceptProperty_145","LBTESTCD","BiomedicalConceptProperty","True","True","32d1a1cf-7af1-48a9-967a-ce524b938cc5"
"LBORRES","float","BiomedicalConceptProperty_146","LBORRES","BiomedicalConceptProperty","True","True","a58df7e7-3e3b-4d25-af05-3e7711c2bf4a"
"LBORRESU","","BiomedicalConceptProperty_147","LBORRESU","BiomedicalConceptProperty","True","True","c8906e21-5a93-48f9-a3ab-4d948285ed05"
"LBSPEC","","BiomedicalConceptProperty_148","LBSPEC","BiomedicalConceptProperty","True","True","a2b48cc8-87f5-4c6a-97d6-d678fe7f35c2"
"LBFAST","","BiomedicalConceptProperty_149","LBFAST","BiomedicalConceptProperty","True","True","75f02256-6b54-44a1-8f7f-a2cfa32e7031"
"LBTESTCD","","BiomedicalConceptProperty_150","LBTESTCD","BiomedicalConceptProperty","True","True","191376d7-6955-4887-a188-406283568c26"
"LBORRES","float","BiomedicalConceptProperty_151","LBORRES","BiomedicalConceptProperty","True","True","d7022bf7-cf77-4e3d-b28e-7890a2234575"
"LBORRESU","","BiomedicalConceptProperty_152","LBORRESU","BiomedicalConceptProperty","True","True","c28c8b5e-6c81-40b9-931f-ec5d6c99982d"
"LBSPEC","","BiomedicalConceptProperty_153","LBSPEC","BiomedicalConceptProperty","True","True","b56453c3-9d27-4643-9607-c992a37a62eb"
"LBFAST","","BiomedicalConceptProperty_154","LBFAST","BiomedicalConceptProperty","True","True","3581948c-4e29-457c-8713-e3f2003b71f2"
"LBTESTCD","","BiomedicalConceptProperty_155","LBTESTCD","BiomedicalConceptProperty","True","True","f4e5e55c-493a-4ffe-adfc-1d4bf8cce1a0"
"LBORRES","float","BiomedicalConceptProperty_156","LBORRES","BiomedicalConceptProperty","True","True","af9548df-3fcb-45b7-8c8e-7d12f0812ca0"
"LBORRESU","","BiomedicalConceptProperty_157","LBORRESU","BiomedicalConceptProperty","True","True","aabc3f9d-6d70-4eda-aa35-3e8db393e139"
"LBSPEC","","BiomedicalConceptProperty_158","LBSPEC","BiomedicalConceptProperty","True","True","79c89c3f-c2d4-4000-b645-8780292a5162"
"LBFAST","","BiomedicalConceptProperty_159","LBFAST","BiomedicalConceptProperty","True","True","660e2860-7bf2-48ce-924d-14757d5018af"
"LBTESTCD","","BiomedicalConceptProperty_160","LBTESTCD","BiomedicalConceptProperty","True","True","452e5478-dd91-4d2b-a6c4-cd2503ef6154"
"LBORRES","float","BiomedicalConceptProperty_161","LBORRES","BiomedicalConceptProperty","True","True","55bb0cb6-51ff-4e79-980b-b6fb62c850da"
"LBORRESU","","BiomedicalConceptProperty_162","LBORRESU","BiomedicalConceptProperty","True","True","4d0b55b3-0a95-400d-ada2-9c99730ac90b"
"LBSPEC","","BiomedicalConceptProperty_163","LBSPEC","BiomedicalConceptProperty","True","True","6e6c22cf-8d1f-4acc-b3c5-c36106cd1437"
"LBFAST","","BiomedicalConceptProperty_164","LBFAST","BiomedicalConceptProperty","True","True","057a4e0f-8ad3-4fc2-956f-baa47afe9d21"
"LBTESTCD","","BiomedicalConceptProperty_165","LBTESTCD","BiomedicalConceptProperty","True","True","eaa67de7-07ab-4894-a609-10863ab75faf"
"LBORRES","float","BiomedicalConceptProperty_166","LBORRES","BiomedicalConceptProperty","True","True","0e64e866-949c-41e2-bb1a-058a83563ffa"
"LBORRESU","","BiomedicalConceptProperty_167","LBORRESU","BiomedicalConceptProperty","True","True","26f24e13-ef0d-48e5-ad5a-ebdc5bfdfb12"
"LBSPEC","","BiomedicalConceptProperty_168","LBSPEC","BiomedicalConceptProperty","True","True","b3973484-f5c3-48b6-8890-487869caead2"
"LBFAST","","BiomedicalConceptProperty_169","LBFAST","BiomedicalConceptProperty","True","True","3fc74674-845c-4a1d-a452-e88fd1c31fb4"
"AETERM","text","BiomedicalConceptProperty_1","AETERM","BiomedicalConceptProperty","True","True","dfa5abda-c5fa-4bd1-97c4-3e496779703f"
"AEDECOD","text","BiomedicalConceptProperty_2","AEDECOD","BiomedicalConceptProperty","True","True","a5e5d94f-c715-4156-9ff3-63df7ba1bec0"
"AEPRESP","text","BiomedicalConceptProperty_3","AEPRESP","BiomedicalConceptProperty","True","True","106b2945-80c9-4e47-bff6-e8f7bf962909"
"AELOC","text","BiomedicalConceptProperty_4","AELOC","BiomedicalConceptProperty","True","True","56313bee-23a3-44fc-85dc-bddacf2a36aa"
"AESEV","text","BiomedicalConceptProperty_5","AESEV","BiomedicalConceptProperty","True","True","145c1535-2acd-4b50-885e-2a2198916365"
"AESER","text","BiomedicalConceptProperty_6","AESER","BiomedicalConceptProperty","True","True","b6fe86ee-e9c5-44dc-9370-33750945e928"
"AEACN","text","BiomedicalConceptProperty_7","AEACN","BiomedicalConceptProperty","True","True","cd483603-ce86-4a95-a159-c4625b1c7a5e"
"AEACNOTH","text","BiomedicalConceptProperty_8","AEACNOTH","BiomedicalConceptProperty","True","True","7d3a9a6c-1ae0-48b7-971b-61f636aa81f7"
"AEREL","text","BiomedicalConceptProperty_9","AEREL","BiomedicalConceptProperty","True","True","6a58559f-492a-48cb-bf51-3b242426c30c"
"AERELNST","text","BiomedicalConceptProperty_10","AERELNST","BiomedicalConceptProperty","True","True","86711a5e-31f3-4d65-997e-201d7d8b2c80"
"AEPATT","text","BiomedicalConceptProperty_11","AEPATT","BiomedicalConceptProperty","True","True","95b3350e-f613-43ce-8443-cc67c773242b"
"AEOUT","text","BiomedicalConceptProperty_12","AEOUT","BiomedicalConceptProperty","True","True","d70a9bbc-4580-4229-8c63-a80975abea9e"
"AESCAN","text","BiomedicalConceptProperty_13","AESCAN","BiomedicalConceptProperty","True","True","3e0f8d03-7428-4499-a789-9e8f4b7044d2"
"AESCONG","text","BiomedicalConceptProperty_14","AESCONG","BiomedicalConceptProperty","True","True","da8fba2a-e33d-48f9-a12f-dc97dafa7c86"
"AESDISAB","text","BiomedicalConceptProperty_15","AESDISAB","BiomedicalConceptProperty","True","True","e9367692-0787-45b8-ad4b-6e019df49d8b"
"AESDTH","text","BiomedicalConceptProperty_16","AESDTH","BiomedicalConceptProperty","True","True","55f1fa4b-c7a8-4bfa-bc42-c255e13e252a"
"AESHOSP","text","BiomedicalConceptProperty_17","AESHOSP","BiomedicalConceptProperty","True","True","89bc0070-1de1-4506-8467-4bc90c676127"
"AESLIFE","text","BiomedicalConceptProperty_18","AESLIFE","BiomedicalConceptProperty","True","True","6b70514b-e964-4ddf-86a9-00d910f4c5e5"
"AESOD","text","BiomedicalConceptProperty_19","AESOD","BiomedicalConceptProperty","True","True","af4a8065-040a-49f5-85e8-b7b94782f3b3"
"AESMIE","text","BiomedicalConceptProperty_20","AESMIE","BiomedicalConceptProperty","True","True","448539f3-07de-4e36-88fc-3e1056a83269"
"AECONTRT","text","BiomedicalConceptProperty_21","AECONTRT","BiomedicalConceptProperty","True","True","34c99fe6-917e-4b9d-8af6-d898c2de3804"
"AESTDTC","datetime","BiomedicalConceptProperty_22","AESTDTC","BiomedicalConceptProperty","True","True","e35517a8-9bbd-4555-aff8-9bc22d0291c9"
"AEENDTC","datetime","BiomedicalConceptProperty_23","AEENDTC","BiomedicalConceptProperty","True","True","823a169b-551e-497f-b050-16f3bbcd3896"
"VSTESTCD","","BiomedicalConceptProperty_24","VSTESTCD","BiomedicalConceptProperty","True","True","ac8f50c9-3a79-4747-b492-185dc2a4b7a8"
"VSORRES","integer","BiomedicalConceptProperty_25","VSORRES","BiomedicalConceptProperty","True","True","3e0312d0-b629-423b-b58e-53b8527e1e67"
"VSORRESU","","BiomedicalConceptProperty_26","VSORRESU","BiomedicalConceptProperty","True","True","ddd5dfae-33a2-4874-a94d-a596d5f7506d"
"VSPOS","","BiomedicalConceptProperty_27","VSPOS","BiomedicalConceptProperty","True","True","b0e1d066-6a07-416a-8321-5a725c38cef8"
"VSLOC","","BiomedicalConceptProperty_28","VSLOC","BiomedicalConceptProperty","True","True","c111da15-d16a-42f8-9bb1-f7caeeb069ed"
"VSLAT","","BiomedicalConceptProperty_29","VSLAT","BiomedicalConceptProperty","True","True","7988544f-7710-4824-b7a4-222768deba5c"
"VSTESTCD","","BiomedicalConceptProperty_30","VSTESTCD","BiomedicalConceptProperty","True","True","d35840be-b1f0-4977-a43d-1a7ce0b105f4"
"VSORRES","integer","BiomedicalConceptProperty_31","VSORRES","BiomedicalConceptProperty","True","True","8a84cf70-ea1a-4931-a726-21d61517ef33"
"VSORRESU","","BiomedicalConceptProperty_32","VSORRESU","BiomedicalConceptProperty","True","True","dddf9daf-b0ee-4fac-953a-079e6e5f4c32"
"VSPOS","","BiomedicalConceptProperty_33","VSPOS","BiomedicalConceptProperty","True","True","71eef11e-ab6c-4222-a63d-41d22b9fe311"
"VSLOC","","BiomedicalConceptProperty_34","VSLOC","BiomedicalConceptProperty","True","True","68c80c7f-8a35-4b4b-bd81-371dfd8ffef1"
"VSLAT","","BiomedicalConceptProperty_35","VSLAT","BiomedicalConceptProperty","True","True","291644dd-b808-4be9-ab29-d707ec3c3e67"
"VSTESTCD","","BiomedicalConceptProperty_36","VSTESTCD","BiomedicalConceptProperty","True","True","4faa7ea5-fd63-4e3d-aff1-ed3e37b1f44d"
"VSORRES","float","BiomedicalConceptProperty_37","VSORRES","BiomedicalConceptProperty","True","True","e7665e5b-9cb8-454a-8835-2650957c4997"
"VSORRESU","","BiomedicalConceptProperty_38","VSORRESU","BiomedicalConceptProperty","True","True","064472d4-e99f-46f4-8826-bc3eae5bebb1"
"VSLOC","","BiomedicalConceptProperty_39","VSLOC","BiomedicalConceptProperty","True","True","cfb40d22-1dd8-4199-a571-958df978c602"
"VSTESTCD","","BiomedicalConceptProperty_40","VSTESTCD","BiomedicalConceptProperty","True","True","47a7aa69-bc5a-41f1-924f-64ab635dca42"
"VSORRES","float","BiomedicalConceptProperty_41","VSORRES","BiomedicalConceptProperty","True","True","754788cb-8373-4457-a13e-2eae950f1174"
"VSORRESU","","BiomedicalConceptProperty_42","VSORRESU","BiomedicalConceptProperty","True","True","5f7649c9-ef6b-4b1f-ac6d-62f2627d962f"
"VSTESTCD","","BiomedicalConceptProperty_43","VSTESTCD","BiomedicalConceptProperty","True","True","222af3c0-7de4-4b24-a8a5-d28acefd6a5b"
"VSORRES","float","BiomedicalConceptProperty_44","VSORRES","BiomedicalConceptProperty","True","True","63c809b7-e076-4d53-a348-4ac8d420d287"
"VSORRESU","","BiomedicalConceptProperty_45","VSORRESU","BiomedicalConceptProperty","True","True","e8d88f44-fbea-435d-abdf-8231672f13d7"
"LBTESTCD","","BiomedicalConceptProperty_46","LBTESTCD","BiomedicalConceptProperty","True","True","3a8b3d3b-a245-4111-9857-00ab6b71519f"
"LBORRES","float","BiomedicalConceptProperty_47","LBORRES","BiomedicalConceptProperty","True","True","ed106a26-2b4f-4210-8bd4-8e2e5d251f20"
"LBORRESU","","BiomedicalConceptProperty_48","LBORRESU","BiomedicalConceptProperty","True","True","d38fe042-bb0a-4c9c-966a-afd8ab8cd836"
"LBSPEC","","BiomedicalConceptProperty_49","LBSPEC","BiomedicalConceptProperty","True","True","a43b6f6d-9808-4cdd-a230-1c804b7734d2"
"LBFAST","","BiomedicalConceptProperty_50","LBFAST","BiomedicalConceptProperty","True","True","d9f68e7f-f695-4e5a-860b-9840436adf80"
"LBTESTCD","","BiomedicalConceptProperty_51","LBTESTCD","BiomedicalConceptProperty","True","True","fd5880f7-ca21-4594-aa4c-ae3057462d91"
"LBORRES","text","BiomedicalConceptProperty_52","LBORRES","BiomedicalConceptProperty","True","True","d451c908-cde2-4b6a-be2c-ddba5e075dc1"
"LBSPEC","","BiomedicalConceptProperty_53","LBSPEC","BiomedicalConceptProperty","True","True","2b22a015-32d0-4091-b6f6-017d7c7ad763"
"LBFAST","","BiomedicalConceptProperty_54","LBFAST","BiomedicalConceptProperty","True","True","b94580a2-b878-489a-9288-575e638c9ca6"
"LBTESTCD","","BiomedicalConceptProperty_55","LBTESTCD","BiomedicalConceptProperty","True","True","fd7d69a1-c86f-4b6e-94c0-6db2c5a842ef"
"LBORRES","float","BiomedicalConceptProperty_56","LBORRES","BiomedicalConceptProperty","True","True","9991e633-6a3e-4a2f-860d-d81421aaae5f"
"LBORRESU","","BiomedicalConceptProperty_57","LBORRESU","BiomedicalConceptProperty","True","True","0846039a-dfbb-47c5-a272-1af783da032d"
"LBSPEC","","BiomedicalConceptProperty_58","LBSPEC","BiomedicalConceptProperty","True","True","7b8aba1d-7235-4ac7-bd1c-62f4864807c3"
"LBFAST","","BiomedicalConceptProperty_59","LBFAST","BiomedicalConceptProperty","True","True","2acc7975-eb42-4dad-b222-3f6d892a5a63"
"LBTESTCD","","BiomedicalConceptProperty_60","LBTESTCD","BiomedicalConceptProperty","True","True","9d7c8ab1-4b43-4e98-bad3-87029fa38861"
"LBORRES","float","BiomedicalConceptProperty_61","LBORRES","BiomedicalConceptProperty","True","True","cc4aaa2c-c37d-4c25-a972-59161c911886"
"LBORRESU","","BiomedicalConceptProperty_62","LBORRESU","BiomedicalConceptProperty","True","True","6382580f-0897-45b2-9c47-48c73f2f1620"
"LBSPEC","","BiomedicalConceptProperty_63","LBSPEC","BiomedicalConceptProperty","True","True","4658fcef-d753-4393-8792-4e6bdebef0c8"
"LBFAST","","BiomedicalConceptProperty_64","LBFAST","BiomedicalConceptProperty","True","True","09830662-3a4c-4b16-b517-7a8571b632fa"
"LBTESTCD","","BiomedicalConceptProperty_65","LBTESTCD","BiomedicalConceptProperty","True","True","695bc9ae-029e-4146-ae95-fd3dc46a6f6c"
"LBORRES","float","BiomedicalConceptProperty_66","LBORRES","BiomedicalConceptProperty","True","True","82769e34-a275-47eb-94b3-8f486045616b"
"LBORRESU","","BiomedicalConceptProperty_67","LBORRESU","BiomedicalConceptProperty","True","True","56510afa-eb3a-4b61-aa58-6ddbe67c4a27"
"LBSPEC","","BiomedicalConceptProperty_68","LBSPEC","BiomedicalConceptProperty","True","True","772cf375-02a3-46ca-b821-7ffa65c5c86c"
"LBFAST","","BiomedicalConceptProperty_69","LBFAST","BiomedicalConceptProperty","True","True","68765d1b-1ba9-4acb-881c-f01f5c53ff6e"
"LBTESTCD","","BiomedicalConceptProperty_70","LBTESTCD","BiomedicalConceptProperty","True","True","c2671bd8-a1f5-4938-8cdb-2fb3256f590a"
"LBORRES","float","BiomedicalConceptProperty_71","LBORRES","BiomedicalConceptProperty","True","True","4020aa95-1b53-430a-b772-faadc528d148"
"LBORRESU","","BiomedicalConceptProperty_72","LBORRESU","BiomedicalConceptProperty","True","True","bab0533b-5ec4-495a-913d-b90d54f83daa"
"LBSPEC","","BiomedicalConceptProperty_73","LBSPEC","BiomedicalConceptProperty","True","True","6594e30a-92c6-4975-9012-6598ebb0cb59"
"LBFAST","","BiomedicalConceptProperty_74","LBFAST","BiomedicalConceptProperty","True","True","456332cd-38c6-42fe-8982-2bb1a2474343"
"LBTESTCD","","BiomedicalConceptProperty_75","LBTESTCD","BiomedicalConceptProperty","True","True","b8ad90e0-f4fe-40f2-bcb0-c9ac25b4b7a4"
"LBORRES","float","BiomedicalConceptProperty_76","LBORRES","BiomedicalConceptProperty","True","True","4c148628-666c-48d7-9bf8-7735dd351e4d"
"LBORRESU","","BiomedicalConceptProperty_77","LBORRESU","BiomedicalConceptProperty","True","True","da0ae038-1ca4-4e2d-98cf-9599c637905c"
"LBSPEC","","BiomedicalConceptProperty_78","LBSPEC","BiomedicalConceptProperty","True","True","b40b2279-9f96-4785-b601-7ff2fc3db9dd"
"LBFAST","","BiomedicalConceptProperty_79","LBFAST","BiomedicalConceptProperty","True","True","d9ac87bd-92e6-44f1-938d-77bca9b80452"
"VSTESTCD","","BiomedicalConceptProperty_80","VSTESTCD","BiomedicalConceptProperty","True","True","4fa144f8-b515-4b26-b5cc-9779df6cfa10"
"VSORRES","integer","BiomedicalConceptProperty_81","VSORRES","BiomedicalConceptProperty","True","True","f5013fc3-6051-4873-8b3d-0703ef83cdf6"
"VSORRESU","","BiomedicalConceptProperty_82","VSORRESU","BiomedicalConceptProperty","True","True","16430c74-b6b7-43f1-a837-b91f1157b6b8"
"VSPOS","","BiomedicalConceptProperty_83","VSPOS","BiomedicalConceptProperty","True","True","609f0184-f849-4e04-9ff2-cdce8497e6e4"
"VSLOC","","BiomedicalConceptProperty_84","VSLOC","BiomedicalConceptProperty","True","True","7339ca4f-e2f3-49b7-a951-ffb9c39c92b9"
"VSLAT","","BiomedicalConceptProperty_85","VSLAT","BiomedicalConceptProperty","True","True","56cf0779-6ab6-485a-9cd2-eaae5e9c0cd5"
"VSTESTCD","","BiomedicalConceptProperty_86","VSTESTCD","BiomedicalConceptProperty","True","True","06b2c301-19b9-463e-80b1-b50ea592cc06"
"VSORRES","integer","BiomedicalConceptProperty_87","VSORRES","BiomedicalConceptProperty","True","True","98c03e2f-387e-43d7-9592-47ac9541f15e"
"VSORRESU","","BiomedicalConceptProperty_88","VSORRESU","BiomedicalConceptProperty","True","True","11110b40-22b8-4d72-a876-2326b2391dfc"
"VSPOS","","BiomedicalConceptProperty_89","VSPOS","BiomedicalConceptProperty","True","True","e4e05138-382c-4055-a5f9-4f9289c72a8f"
"VSLOC","","BiomedicalConceptProperty_90","VSLOC","BiomedicalConceptProperty","True","True","d83b4013-7fa5-4403-9804-44ebb86a08b4"
"VSLAT","","BiomedicalConceptProperty_91","VSLAT","BiomedicalConceptProperty","True","True","bdd2d65c-bd1e-4e2b-9b15-a86608e1dc40"
"VSTESTCD","","BiomedicalConceptProperty_92","VSTESTCD","BiomedicalConceptProperty","True","True","22a1fe1d-9be3-4c9c-a7c7-3bc122c66cee"
"VSORRES","integer","BiomedicalConceptProperty_93","VSORRES","BiomedicalConceptProperty","True","True","b9e1a045-0702-4eca-88ea-150664cc3f89"
"VSORRESU","","BiomedicalConceptProperty_94","VSORRESU","BiomedicalConceptProperty","True","True","a8bf4bc7-a99c-47bc-a785-008721c77955"
"VSPOS","","BiomedicalConceptProperty_95","VSPOS","BiomedicalConceptProperty","True","True","d7fff5c0-3fc0-470f-9774-2ce3dae089f8"
"VSLOC","","BiomedicalConceptProperty_96","VSLOC","BiomedicalConceptProperty","True","True","8472700b-7488-4ac2-9531-c5ddef776e3a"
"VSLAT","","BiomedicalConceptProperty_97","VSLAT","BiomedicalConceptProperty","True","True","5cf636fd-d389-47fd-8650-711d144c3566"
"VSTESTCD","","BiomedicalConceptProperty_98","VSTESTCD","BiomedicalConceptProperty","True","True","5c107440-2926-41e9-a4ed-d6a6a1add569"
"VSORRES","integer","BiomedicalConceptProperty_99","VSORRES","BiomedicalConceptProperty","True","True","e19c5071-adff-441c-a9e7-1ac6bb60f203"
"VSORRESU","","BiomedicalConceptProperty_100","VSORRESU","BiomedicalConceptProperty","True","True","12669fe6-8e87-4ebe-a30e-d6d7f85b83ad"
"VSPOS","","BiomedicalConceptProperty_101","VSPOS","BiomedicalConceptProperty","True","True","a104b8c5-f944-41e4-b214-16d06d2722a1"
"VSLOC","","BiomedicalConceptProperty_102","VSLOC","BiomedicalConceptProperty","True","True","781d54eb-6d3f-4f6e-b024-66990b7a4dc4"
"VSLAT","","BiomedicalConceptProperty_103","VSLAT","BiomedicalConceptProperty","True","True","be882f8d-b432-4a0f-bec5-036c0328e926"
"VSTESTCD","","BiomedicalConceptProperty_104","VSTESTCD","BiomedicalConceptProperty","True","True","b96708e0-2444-4683-ad73-5493f94af00f"
"VSORRES","integer","BiomedicalConceptProperty_105","VSORRES","BiomedicalConceptProperty","True","True","344ee89d-bba9-4775-ad5a-9722691b91fe"
"VSORRESU","","BiomedicalConceptProperty_106","VSORRESU","BiomedicalConceptProperty","True","True","ee4b1380-2229-44bf-aafe-5817ef3e294f"
"VSPOS","","BiomedicalConceptProperty_107","VSPOS","BiomedicalConceptProperty","True","True","d56e3df2-907f-4fe7-a4ad-af2b4d2fca24"
"VSLOC","","BiomedicalConceptProperty_108","VSLOC","BiomedicalConceptProperty","True","True","01a6677d-05db-40df-a538-fca301360182"
"VSLAT","","BiomedicalConceptProperty_109","VSLAT","BiomedicalConceptProperty","True","True","386ed6a0-63b5-4e97-a510-fa43228d7c0c"
"VSTESTCD","","BiomedicalConceptProperty_110","VSTESTCD","BiomedicalConceptProperty","True","True","f92313c1-12ed-4bcb-ae3f-3af80b2c55ee"
"VSORRES","integer","BiomedicalConceptProperty_111","VSORRES","BiomedicalConceptProperty","True","True","7ff72df5-43ef-45ff-8c7a-a86d602ce0da"
"VSORRESU","","BiomedicalConceptProperty_112","VSORRESU","BiomedicalConceptProperty","True","True","be235812-fd23-4570-9d42-ff5c8fee025e"
"VSPOS","","BiomedicalConceptProperty_113","VSPOS","BiomedicalConceptProperty","True","True","53c1876c-b8c7-4588-aef6-0775801ec866"
"VSLOC","","BiomedicalConceptProperty_114","VSLOC","BiomedicalConceptProperty","True","True","de60d3f6-9ac3-4f0f-93c7-4c640a38e4f5"
"VSLAT","","BiomedicalConceptProperty_115","VSLAT","BiomedicalConceptProperty","True","True","02ae2ab9-c33c-4139-9138-d10181002923"
