"id:ID","codeSystem","id","code","decode","uuid","codeSystemVersion"
"18","http://www.cdisc.org","Code_22","C99904x4","New Safety Information Available","5f723fa0-956f-4281-812b-2635b640ba9a","2023-09-29"
"19","http://www.cdisc.org","Code_24","C41129","Region","35a12c58-cda4-4c1f-875b-806b6476b6cf","2023-09-29"
"20","ISO 3166 1 alpha3","Code_23","150","Europe","ec76c71a-9c5d-4924-aff2-e189dd599ab1","2020-08"
"21","http://www.cdisc.org","Code_26","C25464","Country","bf14d529-140a-4d73-90fc-07aa6eff5356","2023-09-29"
"22","ISO 3166 1 alpha3","Code_25","DNK","Denmark","2c0b0967-8bc6-4b95-969b-1fc74661a7d3","2020-08"
"23","http://www.cdisc.org","Code_20","C99904x3","IRB/IEC Feedback","2a34cfef-467f-4cc6-9874-9ca69f044c81","2023-09-29"
"24","http://www.cdisc.org","Code_21","C68846","Global","4b53aa4d-2469-40ff-8f86-462b4a1aa02c","2023-09-29"
"25","SPONSOR","Code_3","VAC","Vacines Group","a84b9450-682d-46b5-a8b7-d6a93536c77c","12"
"26","SPONSOR","Code_4","REG","Regulatory","02e34d5f-6aeb-4fd6-afb5-73e028102240","12"
"27","http://www.cdisc.org","Code_33","C93453","Study Registry","1d325b63-9e8c-46d7-bb51-e31f7fa828be","2023-09-29"
"28","ISO 3166 1 alpha3","Code_34","GBR","United Kingdom of Great Britain and Northern Ireland","d9f90907-6769-46fa-8aad-01ec8beddd13","2020-08"
"29","http://www.cdisc.org","Code_35","C70793","Clinical Study Sponsor","6927de0c-003d-49bc-9513-8943f135aba9","2023-09-29"
"30","ISO 3166 1 alpha3","Code_36","FRA","France","77e2c939-6a69-4c02-acff-735f1b3c6cd5","2020-08"
"31","http://www.cdisc.org","Code_80","C15714","Basic Research","d435edd9-6582-4a7e-8d54-7980a72c06fa","2023-09-29"
"32","http://www.cdisc.org","Code_81","C139174","Device Feasibility Study","2732c996-1941-4244-8739-c4931ed17a5e","2023-09-29"
"33","http://www.cdisc.org","Code_82","C49666","Efficacy Study","ab723214-e5a3-4b5d-aeb0-9eb6eaa11e2f","2023-09-29"
"34","SPONSOR","Code_77","T2_DIABETES","Type 2 diabetes","54249d7a-eb04-460a-8445-6f5c4478d56e","12"
"35","SNOMED","Code_78","73211009","Diabetes mellitus (disorder)","fc1b4af7-2a0f-45b8-bbea-4c02e4d9d301","January 31, 2018"
"36","http://www.cdisc.org","Code_83","C82639","Parallel Study","d41fb1b5-8189-4a4a-9fbd-a3e2e45dd85d","2023-09-29"
"37","http://www.cdisc.org","Code_39","C25716","Visit","aec5ca62-6396-40b6-929f-ac54ef0e3a65","2023-09-29"
"38","http://www.cdisc.org","Code_40","C51282","Clinic","f70d01ba-d841-4104-8149-5cc1598292e8","2023-09-29"
"39","http://www.cdisc.org","Code_41","C175574","In Person","0b412e12-a192-4c8e-9565-14acc537e7f7","2023-09-29"
"40","http://www.cdisc.org","Code_42","C25716","Visit","c8facad4-55b1-4e97-9dd9-9207719e00fb","2023-09-29"
"41","http://www.cdisc.org","Code_43","C51282","Clinic","be5587f9-e8ba-47a3-8754-636d3a025e3e","2023-09-29"
"42","http://www.cdisc.org","Code_44","C175574","In Person","f55ce147-129e-48c5-8c34-3a43b0822757","2023-09-29"
"43","http://www.cdisc.org","Code_45","C25716","Visit","5ec0cf1a-eb48-4bc3-9c31-ba81bdff9622","2023-09-29"
"44","http://www.cdisc.org","Code_46","C51282","Clinic","ece64861-945a-4bfc-833d-751ad46e46fb","2023-09-29"
"45","http://www.cdisc.org","Code_47","C175574","In Person","3359848b-cb14-4e7d-94be-c7701fc2add4","2023-09-29"
"46","http://www.cdisc.org","Code_48","C25716","Visit","930f76d8-8455-4b5f-9ad7-9163c122830a","2023-09-29"
"47","http://www.cdisc.org","Code_49","C51282","Clinic","681c07f6-81a0-4aa5-94dc-0824bc043cf4","2023-09-29"
"48","http://www.cdisc.org","Code_50","C175574","In Person","d0a37c5e-8c6f-4b09-9dea-cfbd4b912788","2023-09-29"
"49","http://www.cdisc.org","Code_51","C25716","Visit","0acdeae7-07a4-4d28-a5fa-89e73488aeef","2023-09-29"
"50","http://www.cdisc.org","Code_52","C51282","Clinic","5b61a95f-b4fc-482b-abde-37c9ec6874d5","2023-09-29"
"51","http://www.cdisc.org","Code_53","C175574","In Person","1aa828a3-f77a-48d8-aa39-8b4377138eb9","2023-09-29"
"52","http://www.cdisc.org","Code_54","C25716","Visit","54168afb-4d2c-4637-bfc3-bd7dc5180514","2023-09-29"
"53","http://www.cdisc.org","Code_55","C18002","Home","8894ef1d-b0f2-4ab1-89dd-658915d068ed","2023-09-29"
"54","http://www.cdisc.org","Code_56","C171537","Telephone Call","a40516f0-a862-4950-b3b9-288134c16deb","2023-09-29"
"55","SNOMED","Code_37","12345678","Test","a01ce7ce-921a-409b-a651-8dd29da911b2","January 31, 2018"
"56","SNOMED","Code_38","12345679","Test","5cc2bcec-6487-4b52-83fc-a954c8da5640","January 31, 2018"
"57","http://www.cdisc.org","Code_85","C20197","Male","e1a10204-bc4d-4c9e-bbba-7a6b18c14ab0","2023-09-29"
"58","http://www.cdisc.org","Code_86","C16576","Female","78c06f3c-9b1f-4f22-9028-6a4eba58cd18","2023-09-29"
"59","http://www.cdisc.org","Code_87","C17998","Unknown","733b0d17-2372-45e2-a96e-9663f43c5e72","2023-09-29"
"60","NCI Thesaurus","Code_88","C28421","Sex","49f79e32-f698-4f7e-9a81-5d11cde5ebb2",""
"61","NCI Thesaurus","Code_84","C28421","Sex","cc11714a-a96c-4da0-b978-17b8f120249f",""
"62","http://www.cdisc.org","Code_90","C17998","Unknown","e52854d5-716a-470d-9d81-75d095a52307","2023-09-29"
"63","NCI Thesaurus","Code_91","C17049","Race","f29d9d25-ae53-4072-8ee7-0d2117fc9a2e",""
"64","NCI Thesaurus","Code_89","C17049","Race","e314fb2f-5b5e-4ade-883a-5f9e39b49c90",""
"65","NCI Thesaurus","Code_93","C173522","Vital Signs Result","f2c267b2-fa77-4583-bd48-ae5e5196615f",""
"66","http://www.cdisc.org","Code_94","C28252","Kilogram","60499a62-6a8d-4c28-9d4a-c8fec8e63921","2023-09-29"
"67","http://www.cdisc.org","Code_95","C48155","Gram","bc29edb2-c0d3-4818-b26e-cc58f12d18ba","2023-09-29"
"68","http://www.cdisc.org","Code_96","C48531","Pound","be0a8f34-bfff-4e14-a43d-b5a6c6d91d21","2023-09-29"
"69","NCI Thesaurus","Code_97","C48208","Unit of Weight","0278e747-7fe0-4f45-a6d3-8561d6026622",""
"70","NCI Thesaurus","Code_92","C81328","Body Weight","6c36c124-e129-4fb0-aa29-87b4afaf02d5",""
"71","http://www.cdisc.org","Code_57","C174267","Active Comparator Arm","5ae371f2-83f0-4b0e-9478-2a3ada744d7e","2023-09-29"
"72","http://www.cdisc.org","Code_58","C188866","Data Generated Within Study","14ca282c-6a5a-4308-a385-bb59e31e9618","2023-09-29"
"73","http://www.cdisc.org","Code_59","C174268","Placebo Comparator Arm","7da30f4c-818e-46c2-ad76-0055894f9a2f","2023-09-29"
"74","http://www.cdisc.org","Code_60","C188866","Data Generated Within Study","21a705af-73d6-44c3-b0fc-ff8b6832cb39","2023-09-29"
"75","http://www.cdisc.org","Code_79","C49659","Open Label Study","11e22c58-3ed4-438a-b402-9e73683c4678","2023-09-29"
"76","http://www.cdisc.org","Code_61","C48262","Trial Screening","d8974923-b239-4689-a86f-af4ca7d81098","2023-09-29"
"77","http://www.cdisc.org","Code_62","C125938","Baseline Epoch","7f73059d-2eaa-40a6-942e-c17cc95b36ed","2023-09-29"
"78","http://www.cdisc.org","Code_63","C101526","Treatment Epoch","c024f525-393d-4ed1-bff6-bfdcd4a8a7b4","2023-09-29"
"79","http://www.cdisc.org","Code_64","C99158","Clinical Study Follow-up","89e4d3c6-f389-4d53-ac4e-4cfe451085e3","2023-09-29"
"80","SNOMED","Code_98","12345","Indication1","cac49281-417e-44a4-be8a-c655fefd6b24","January 31, 2018"
"81","SNOMED","Code_99","345678","Indication2","706371bc-17d2-4657-8be2-071edcdb3dc9","January 31, 2018"
"82","ICD-10","Code_100","X","Y","db55f08f-b917-4d7f-8a52-8460e738c642","None set"
"83","SNOMED","Code_101","A","B","836092cc-ba5f-4171-9e3b-f54e074ec102","January 31, 2018"
"84","ICD-10","Code_102","DD","CC","48bdfc60-a3b0-4d35-91fb-063c6cf52c22","None set"
"85","SNOMED","Code_103","A","B","195501d8-c751-471e-9761-e9c72103c7e6","January 31, 2018"
"86","http://www.cdisc.org","Code_108","C85826","Trial Primary Objective","43afe19e-2aca-4716-a17d-ea8382a54d06","2023-09-29"
"87","http://www.cdisc.org","Code_107","C94496","Primary Endpoint","31417fd2-fb62-47fb-845c-5e54db764600","2023-09-29"
"88","http://www.cdisc.org","Code_110","C85827","Trial Secondary Objective","232ca62a-2c16-404c-8b17-cb0e1340d267","2023-09-29"
"89","http://www.cdisc.org","Code_109","C139173","Secondary Endpoint","d5de4d87-416a-4012-a205-180f4c34067b","2023-09-29"
"90","http://www.cdisc.org","Code_111","C139173","Secondary Endpoint","4eb51b73-d437-4e46-a0b7-4709a5b1c815","2023-09-29"
"91","http://www.cdisc.org","Code_104","C49636","Both","71aef965-ab10-410e-96f3-ea58987ceae8","2023-09-29"
"92","http://www.cdisc.org","Code_105","C20197","Male","2dab0c9b-20da-46ce-9b50-a2deb2ead6b0","2023-09-29"
"93","http://www.cdisc.org","Code_106","C16576","Female","12b437e0-fd5e-46e4-bb00-215b4f01f4ef","2023-09-29"
"94","http://www.cdisc.org","Code_65","C201264","Before","fac25b43-a9cd-491a-ae4e-c1e1f4622d0e","2023-09-29"
"95","http://www.cdisc.org","Code_66","C201265","Start to Start","c555793e-4f0b-4cf1-b285-2ba3cfc8b6e2","2023-09-29"
"96","http://www.cdisc.org","Code_67","C201264","Before","df1eead4-adee-46eb-ad6c-cb00186e86de","2023-09-29"
"97","http://www.cdisc.org","Code_68","C201265","Start to Start","c6d8a77c-bad7-459c-8039-e4ed07730f27","2023-09-29"
"98","http://www.cdisc.org","Code_69","C201264","Fixed Reference","2accafbd-961d-40c5-85c0-f916c2a48b88","2023-09-29"
"99","http://www.cdisc.org","Code_70","C201265","Start to Start","fadb8daf-b1e9-415f-a3da-fbefa3390e99","2023-09-29"
"100","http://www.cdisc.org","Code_71","C201264","After","901695bc-ed6c-479d-bd1c-4c95f017a59c","2023-09-29"
"101","http://www.cdisc.org","Code_72","C201265","Start to Start","fadf2d4e-d30b-40a0-83ff-f1aedb530039","2023-09-29"
"102","http://www.cdisc.org","Code_73","C201264","After","ceb5b4e5-77a3-4156-b4ba-9bb32da129cb","2023-09-29"
"103","http://www.cdisc.org","Code_74","C201265","Start to Start","a7b62a11-c9cc-47e5-bf69-c1a243d2e2a5","2023-09-29"
"104","http://www.cdisc.org","Code_75","C201264","After","04470d7f-5dd2-4ba2-9596-efa1157ecb1d","2023-09-29"
"105","http://www.cdisc.org","Code_76","C201265","Start to Start","b9246f0a-8df4-4d52-98d6-b3b115a583de","2023-09-29"
"106","http://www.cdisc.org","Code_112","C25532","Inclusion Criteria","c31ad761-707e-4859-9629-bbcbc4d23e31","2023-09-29"
"107","http://www.cdisc.org","Code_113","C25532","Inclusion Criteria","a9a702fe-b2d3-4bab-a3f4-b5af7421eeb1","2023-09-29"
"108","http://www.cdisc.org","Code_114","C25370","Exclusion Criteria","493b5c61-30dc-438e-a42b-4ad1923d38d1","2023-09-29"
"109","http://www.cdisc.org","Code_115","C25370","Exclusion Criteria","1c432b89-dd64-4ba5-906c-004901a898ce","2023-09-29"
"110","http://www.cdisc.org","Code_5","C85255","Draft","8e3d8478-2610-4706-921b-124bebac9865","2023-09-29"
"111","http://www.cdisc.org","Code_15","C99903x1","Protocol Effective Date","35c9306f-ab25-43da-b945-1ad5d3988842","2023-09-29"
"112","http://www.cdisc.org","Code_16","C68846","Global","7246b705-2694-4898-8bbf-889cd8c2e94f","2023-09-29"
"113","http://www.cdisc.org","Code_17","C99903x1","Protocol Effective Date","41463458-ecff-42a7-94c8-cfe284f97d9c","2023-09-29"
"114","http://www.cdisc.org","Code_19","C41129","Region","5a84e403-4bb9-4116-99f6-24df1f681272","2023-09-29"
"115","ISO 3166 1 alpha3","Code_18","142","Asia","c3b97233-e43b-4360-a180-cf98e79af1f9","2020-08"
