"codeSystem","id","decode","uuid:ID","codeSystemVersion","code"
"http://www.cdisc.org","Code_73","Female","920dd83b-dc99-4d86-9501-13c3766193e3","2023-09-29","C16576"
"http://www.cdisc.org","Code_74","Unknown","6922acdc-4e76-4b6d-bc09-6d7a04f10863","2023-09-29","C17998"
"NCI Thesaurus","Code_75","Sex","aaa5112c-02de-4b97-bb59-9979fd510389","","C28421"
"NCI Thesaurus","Code_71","Sex","727f0295-0a9d-411f-a8a8-299a87968ea5","","C28421"
"http://www.cdisc.org","Code_77","Unknown","f2d5d0aa-a1e3-4af7-bb9a-b15d628c4a87","2023-09-29","C17998"
"NCI Thesaurus","Code_78","Race","4c924aab-a43e-4735-aef6-694820a93f04","","C17049"
"NCI Thesaurus","Code_76","Race","fc53d03b-bcb3-4a06-8196-78bf1eb9ccc8","","C17049"
"NCI Thesaurus","Code_80","Vital Signs Result","fcf5106e-f950-4555-b029-4214d7292a4d","","C173522"
"http://www.cdisc.org","Code_81","Kilogram","a8c402d2-53d6-4645-9acf-96eb293fc945","2023-09-29","C28252"
"http://www.cdisc.org","Code_82","Gram","7005435c-f8a6-496e-8a7c-28643c955bdb","2023-09-29","C48155"
"http://www.cdisc.org","Code_83","Pound","c02fcefd-c800-4e22-99b4-e02d9a09fc75","2023-09-29","C48531"
"NCI Thesaurus","Code_84","Unit of Weight","5075bf65-3b92-46aa-9bc5-2c232b1f2349","","C48208"
"NCI Thesaurus","Code_79","Body Weight","f6bc3932-5cfb-4f91-9fbd-5e00b80ac83f","","C81328"
"http://www.cdisc.org","Code_31","Active Comparator Arm","557c30e1-38a0-486a-a4c2-59adff649189","2023-09-29","C174267"
"http://www.cdisc.org","Code_32","Data Generated Within Study","6a3b079e-5e88-4d54-a8cb-478659af0368","2023-09-29","C188866"
"http://www.cdisc.org","Code_33","Placebo Comparator Arm","ad8d06aa-74cf-463f-b3f1-503439e1c71b","2023-09-29","C174268"
"http://www.cdisc.org","Code_34","Data Generated Within Study","cc13e15a-2a22-4d13-b266-162afe8e0d28","2023-09-29","C188866"
"http://www.cdisc.org","Code_41","Open Label Study","82fa11f2-79d0-41b4-9434-4afda1478754","2023-09-29","C49659"
"http://www.cdisc.org","Code_35","Trial Screening","a2f1909c-8843-4e85-9e14-8b936653a692","2023-09-29","C48262"
"http://www.cdisc.org","Code_36","Baseline Epoch","2cc73bfb-439a-48d0-b312-878333e2f929","2023-09-29","C125938"
"http://www.cdisc.org","Code_37","Treatment Epoch","c9fb79df-b819-4bb2-a2ba-d9756f1dd4a6","2023-09-29","C101526"
"http://www.cdisc.org","Code_38","Clinical Study Follow-up","97d329ab-40f0-46d5-880f-dd1545061d2c","2023-09-29","C99158"
"SNOMED","Code_85","Indication1","fc9776d7-23db-4298-88bb-cbd85d73c812","January 31, 2018","12345"
"SNOMED","Code_88","Indication2","b57e4292-1d48-4bd4-91e4-259d74444911","January 31, 2018","345678"
"ICD-10","Code_86","Y","93bdba1e-7d4e-496a-84f5-a52fe251be50","None set","X"
"SNOMED","Code_87","B","fc6e4d98-e8b9-4210-8226-ffbb253142be","January 31, 2018","A"
"ICD-10","Code_89","CC","33d77730-36f6-4e06-b046-48c0e98b4809","None set","DD"
"SNOMED","Code_90","B","08241c57-dd19-4e81-a631-9ef8d4fafe37","January 31, 2018","A"
"http://www.cdisc.org","Code_95","Trial Primary Objective","c932d8ab-e993-45dd-9d80-3b13431b83a1","2023-09-29","C85826"
"http://www.cdisc.org","Code_94","Primary Endpoint","40533bf0-32bd-42fa-b4c9-26866037f040","2023-09-29","C94496"
"http://www.cdisc.org","Code_97","Trial Secondary Objective","ca8dc9f0-3f7a-4f59-966a-52a01dfd37f1","2023-09-29","C85827"
"http://www.cdisc.org","Code_96","Secondary Endpoint","fa713741-f9f4-4ac6-a02d-ffd42f882636","2023-09-29","C139173"
"http://www.cdisc.org","Code_98","Secondary Endpoint","f7f5f6a9-b5a9-482b-a6e1-fbc485d8f049","2023-09-29","C139173"
"http://www.cdisc.org","Code_99","Secondary Endpoint","ea48b6d5-775b-4da0-9568-490a5e92c4d8","2023-09-29","C139173"
"http://www.cdisc.org","Code_100","Secondary Endpoint","b54b22b6-d626-4455-9c75-a6948c277786","2023-09-29","C139173"
"http://www.cdisc.org","Code_101","Secondary Endpoint","a17246e2-2e21-465e-85e1-596409e8e927","2023-09-29","C139173"
"http://www.cdisc.org","Code_102","Secondary Endpoint","31ee53b3-6839-4a59-8684-467619f03cb3","2023-09-29","C139173"
"http://www.cdisc.org","Code_103","Secondary Endpoint","ba31c9f3-74b4-4b65-9061-1f1a691ea0e1","2023-09-29","C139173"
"http://www.cdisc.org","Code_104","Secondary Endpoint","f709eaa6-94fc-4ab6-90d3-0b0c2ff2caa5","2023-09-29","C139173"
"http://www.cdisc.org","Code_105","Secondary Endpoint","af4a2ab1-e4ac-4a03-aeae-b8e45717121f","2023-09-29","C139173"
"http://www.cdisc.org","Code_106","Secondary Endpoint","953d0859-5d15-4aa8-bb5d-5730e2fc7673","2023-09-29","C139173"
"http://www.cdisc.org","Code_107","Secondary Endpoint","2fb30a26-66de-4827-98c4-5ed5a6169304","2023-09-29","C139173"
"http://www.cdisc.org","Code_91","Both","ae8dc183-e896-4cd2-8d68-74b9d98404f0","2023-09-29","C49636"
"http://www.cdisc.org","Code_92","Male","65f1fe03-4aa9-44a9-8df8-8abc00d47522","2023-09-29","C20197"
"http://www.cdisc.org","Code_93","Female","1ef82752-90bb-498f-a52f-235fbb3b323d","2023-09-29","C16576"
"http://www.cdisc.org","Code_48","Before","50a5f0a7-0013-47cf-b94d-ac2a3549af0f","2023-09-29","C201264"
"http://www.cdisc.org","Code_50","Start to Start","3201e8c1-13b8-48c5-8c3e-406483ac6a6e","2023-09-29","C201265"
"http://www.cdisc.org","Code_53","Before","4759bb09-2732-4ba5-a5ea-1d6c11a78dfc","2023-09-29","C201264"
"http://www.cdisc.org","Code_55","Start to Start","df26eab8-6d95-42d7-99ef-ae88e4349631","2023-09-29","C201265"
"http://www.cdisc.org","Code_56","Fixed Reference","41a02730-a06f-4a48-a71f-72c06950ac93","2023-09-29","C201264"
"http://www.cdisc.org","Code_60","Start to Start","e2e0d479-1f8c-4843-b80d-8ac1f4626131","2023-09-29","C201265"
"http://www.cdisc.org","Code_62","After","160424d6-054b-4ef7-84e7-09609c21b945","2023-09-29","C201264"
"http://www.cdisc.org","Code_65","Start to Start","13fcbf14-99d5-41d8-b330-8de96cc735e8","2023-09-29","C201265"
"http://www.cdisc.org","Code_67","After","a2801938-1021-46c9-8a7c-b75fc616581a","2023-09-29","C201264"
"http://www.cdisc.org","Code_70","Start to Start","0f2e56b6-05e1-4ff9-8e69-c9fb9187c398","2023-09-29","C201265"
"http://www.cdisc.org","Code_5","Draft","79eb483d-b2a4-40a0-b9db-ccba637c0bd3","2023-09-29","C85255"
"http://www.cdisc.org","Code_8","Protocol Effective Date","540b6eb4-1ac7-4a67-a3f2-e90b43fd054f","2023-09-29","C99903x1"
"http://www.cdisc.org","Code_9","Global","75502385-97db-420b-873b-80dd863280fc","2023-09-29","C68846"
