"label","datatype","id","name","isEnabled","instanceType","uuid:ID","isRequired"
"LBORRES","float","BiomedicalConceptProperty_132","LBORRES","True","BiomedicalConceptProperty","29bead45-e117-4631-b4a4-168aadc76ffc","True"
"LBORRESU","","BiomedicalConceptProperty_133","LBORRESU","True","BiomedicalConceptProperty","ff79d7a5-e694-4a62-b3a2-225e7ec1914c","True"
"LBSPEC","","BiomedicalConceptProperty_134","LBSPEC","True","BiomedicalConceptProperty","055481fe-124d-407c-b3e0-d5838c72857a","True"
"LBFAST","","BiomedicalConceptProperty_135","LBFAST","True","BiomedicalConceptProperty","5ebbb53b-c225-4814-98f5-15efc8ea8fb2","True"
"LBTESTCD","","BiomedicalConceptProperty_136","LBTESTCD","True","BiomedicalConceptProperty","e4f10e1b-e39c-44b1-bdb7-0a61b14688cd","True"
"LBORRES","text","BiomedicalConceptProperty_137","LBORRES","True","BiomedicalConceptProperty","f95be06c-2ddc-423a-8597-dbb8a1762c0c","True"
"LBSPEC","","BiomedicalConceptProperty_138","LBSPEC","True","BiomedicalConceptProperty","de580698-8eb4-4c6f-ad57-64193bff9b1b","True"
"LBFAST","","BiomedicalConceptProperty_139","LBFAST","True","BiomedicalConceptProperty","fb032e2b-a0b9-4678-818c-6531b6d6145e","True"
"LBTESTCD","","BiomedicalConceptProperty_140","LBTESTCD","True","BiomedicalConceptProperty","78dbc574-ba17-4bb1-8f8b-944469e71be8","True"
"LBORRES","float","BiomedicalConceptProperty_141","LBORRES","True","BiomedicalConceptProperty","bf27bc96-0d64-4074-87fe-52a739d13c1a","True"
"LBORRESU","","BiomedicalConceptProperty_142","LBORRESU","True","BiomedicalConceptProperty","3276a635-e491-4015-b01d-d4a54ccf55dc","True"
"LBSPEC","","BiomedicalConceptProperty_143","LBSPEC","True","BiomedicalConceptProperty","bba6fbc1-aab1-468a-8cdf-0881610c7e21","True"
"LBFAST","","BiomedicalConceptProperty_144","LBFAST","True","BiomedicalConceptProperty","ed87cfe2-b149-44b2-a0ae-489798968ba5","True"
"LBTESTCD","","BiomedicalConceptProperty_145","LBTESTCD","True","BiomedicalConceptProperty","5af6a30d-dc15-453c-b28d-08221f47bf3f","True"
"LBORRES","float","BiomedicalConceptProperty_146","LBORRES","True","BiomedicalConceptProperty","203ff138-3e03-460c-9252-8e07a8b8ec5f","True"
"LBORRESU","","BiomedicalConceptProperty_147","LBORRESU","True","BiomedicalConceptProperty","534cb16b-523f-4c4c-b7dd-98177ba06ec5","True"
"LBSPEC","","BiomedicalConceptProperty_148","LBSPEC","True","BiomedicalConceptProperty","85da7cdb-a113-4c76-8c28-941f0342b01f","True"
"LBFAST","","BiomedicalConceptProperty_149","LBFAST","True","BiomedicalConceptProperty","851df78e-00d0-42ee-a8f9-a234be594e0d","True"
"LBTESTCD","","BiomedicalConceptProperty_150","LBTESTCD","True","BiomedicalConceptProperty","896d05b8-c9b6-4d1f-9422-093cdce7e221","True"
"LBORRES","float","BiomedicalConceptProperty_151","LBORRES","True","BiomedicalConceptProperty","6c6a5452-59a0-4130-bfbe-487a42dc4efe","True"
"LBORRESU","","BiomedicalConceptProperty_152","LBORRESU","True","BiomedicalConceptProperty","90e2de42-bf25-4173-9f3a-ab1fdc63b910","True"
"LBSPEC","","BiomedicalConceptProperty_153","LBSPEC","True","BiomedicalConceptProperty","56d43453-0a48-4d84-85f2-430b00aef706","True"
"LBFAST","","BiomedicalConceptProperty_154","LBFAST","True","BiomedicalConceptProperty","97ea0bfe-4b32-47d0-a5f6-4d399866ea36","True"
"LBTESTCD","","BiomedicalConceptProperty_155","LBTESTCD","True","BiomedicalConceptProperty","140c7fde-a726-409f-af6a-c5c5cb5ca3cd","True"
"LBORRES","float","BiomedicalConceptProperty_156","LBORRES","True","BiomedicalConceptProperty","1ce0acdc-ee00-4c49-b9f5-b2a30a897d89","True"
"LBORRESU","","BiomedicalConceptProperty_157","LBORRESU","True","BiomedicalConceptProperty","db8fbd89-ea3e-43b9-bba5-71c0a8e0d3c0","True"
"LBSPEC","","BiomedicalConceptProperty_158","LBSPEC","True","BiomedicalConceptProperty","ca6fb5ec-a227-4e9f-9320-6474dc6fecd6","True"
"LBFAST","","BiomedicalConceptProperty_159","LBFAST","True","BiomedicalConceptProperty","7dacc262-88e6-4ac8-b469-011fb6ce2f9e","True"
"LBTESTCD","","BiomedicalConceptProperty_160","LBTESTCD","True","BiomedicalConceptProperty","ce9b29f6-9c45-4f2b-a6ff-3350a29cdd20","True"
"LBORRES","float","BiomedicalConceptProperty_161","LBORRES","True","BiomedicalConceptProperty","2d302e28-013c-430a-ab24-4384af674589","True"
"LBORRESU","","BiomedicalConceptProperty_162","LBORRESU","True","BiomedicalConceptProperty","4aa2a6b9-8e9b-4c46-b5a4-0136a9062034","True"
"LBSPEC","","BiomedicalConceptProperty_163","LBSPEC","True","BiomedicalConceptProperty","b27ce15e-33fa-46b1-8bb6-6389295345bb","True"
"LBFAST","","BiomedicalConceptProperty_164","LBFAST","True","BiomedicalConceptProperty","1a1d3a8a-f391-4999-8de1-0872c072f1ca","True"
"LBTESTCD","","BiomedicalConceptProperty_165","LBTESTCD","True","BiomedicalConceptProperty","9c110e34-852b-41c8-b50a-30d9db34de26","True"
"LBORRES","float","BiomedicalConceptProperty_166","LBORRES","True","BiomedicalConceptProperty","18a43b63-8964-497f-8446-d6b86af753e3","True"
"LBORRESU","","BiomedicalConceptProperty_167","LBORRESU","True","BiomedicalConceptProperty","d9c554e7-fe28-45ac-a70d-02b8f56fa500","True"
"LBSPEC","","BiomedicalConceptProperty_168","LBSPEC","True","BiomedicalConceptProperty","ee28230b-a60a-46a7-ae3d-f7d5b806c2aa","True"
"LBFAST","","BiomedicalConceptProperty_169","LBFAST","True","BiomedicalConceptProperty","2cae5b73-f460-4d0b-bffb-7e310c5c480a","True"
"AETERM","text","BiomedicalConceptProperty_1","AETERM","True","BiomedicalConceptProperty","76e62bc2-039c-4c1c-8ef7-893e3718449a","True"
"AEDECOD","text","BiomedicalConceptProperty_2","AEDECOD","True","BiomedicalConceptProperty","c0711065-1d5b-4539-a22b-5317c9ed4157","True"
"AEPRESP","text","BiomedicalConceptProperty_3","AEPRESP","True","BiomedicalConceptProperty","9c5f7731-1506-4575-aee0-8ea8051402e6","True"
"AELOC","text","BiomedicalConceptProperty_4","AELOC","True","BiomedicalConceptProperty","63b3352e-42d8-4db7-bd3e-c42fe6465a2b","True"
"AESEV","text","BiomedicalConceptProperty_5","AESEV","True","BiomedicalConceptProperty","affff860-b9c4-4968-b5bc-49092d57ebc7","True"
"AESER","text","BiomedicalConceptProperty_6","AESER","True","BiomedicalConceptProperty","2945de56-bd91-49af-9889-7bf059b29bb8","True"
"AEACN","text","BiomedicalConceptProperty_7","AEACN","True","BiomedicalConceptProperty","a5485cea-686f-4603-865f-a1d5f62a2e67","True"
"AEACNOTH","text","BiomedicalConceptProperty_8","AEACNOTH","True","BiomedicalConceptProperty","cefd7c03-166a-46d0-8ce3-598ea87a18c7","True"
"AEREL","text","BiomedicalConceptProperty_9","AEREL","True","BiomedicalConceptProperty","4a19fb6e-920d-414a-9cd8-5d10dfc58f1d","True"
"AERELNST","text","BiomedicalConceptProperty_10","AERELNST","True","BiomedicalConceptProperty","d3bf0a1a-64b8-4678-ab8e-9a212fd60ba4","True"
"AEPATT","text","BiomedicalConceptProperty_11","AEPATT","True","BiomedicalConceptProperty","daa4c7c0-d4e3-4a21-9c25-7a22f3bed257","True"
"AEOUT","text","BiomedicalConceptProperty_12","AEOUT","True","BiomedicalConceptProperty","7ba2195a-993b-48ae-96cd-4723bfbbc06b","True"
"AESCAN","text","BiomedicalConceptProperty_13","AESCAN","True","BiomedicalConceptProperty","8f433dc4-d287-47bd-85ca-d9ce89c1e9db","True"
"AESCONG","text","BiomedicalConceptProperty_14","AESCONG","True","BiomedicalConceptProperty","8cdeff94-f587-4ff2-9d3d-ae5667a4c0b2","True"
"AESDISAB","text","BiomedicalConceptProperty_15","AESDISAB","True","BiomedicalConceptProperty","d35d3bc0-89fd-44d2-b05a-6259c4300b40","True"
"AESDTH","text","BiomedicalConceptProperty_16","AESDTH","True","BiomedicalConceptProperty","3242e39e-87a8-4290-a890-74e625748a1e","True"
"AESHOSP","text","BiomedicalConceptProperty_17","AESHOSP","True","BiomedicalConceptProperty","c896d4d5-e7a3-4ab1-b3c4-3e31bb8b20fb","True"
"AESLIFE","text","BiomedicalConceptProperty_18","AESLIFE","True","BiomedicalConceptProperty","bed6d8cf-4078-45d3-a12c-7e602f352151","True"
"AESOD","text","BiomedicalConceptProperty_19","AESOD","True","BiomedicalConceptProperty","9c5e15ff-5eb9-4718-9e12-f9fde88adc2c","True"
"AESMIE","text","BiomedicalConceptProperty_20","AESMIE","True","BiomedicalConceptProperty","8581855e-5a6d-4135-8f64-ec452c1f992c","True"
"AECONTRT","text","BiomedicalConceptProperty_21","AECONTRT","True","BiomedicalConceptProperty","3acfe2f8-6bcb-4d43-8193-bc261026dd37","True"
"AESTDTC","datetime","BiomedicalConceptProperty_22","AESTDTC","True","BiomedicalConceptProperty","b08cc187-abb5-424b-974d-da97c69c2e49","True"
"AEENDTC","datetime","BiomedicalConceptProperty_23","AEENDTC","True","BiomedicalConceptProperty","6550a574-b747-4e12-87d5-cc1642b25575","True"
"VSTESTCD","","BiomedicalConceptProperty_24","VSTESTCD","True","BiomedicalConceptProperty","9d575d03-5c2d-4c4d-a3d6-a71d237a23ea","True"
"VSORRES","integer","BiomedicalConceptProperty_25","VSORRES","True","BiomedicalConceptProperty","bcbd4b3b-a5ab-4cca-9b9d-dab4300c22ef","True"
"VSORRESU","","BiomedicalConceptProperty_26","VSORRESU","True","BiomedicalConceptProperty","6dff4cef-3ef2-4296-9ae1-ba08bac16340","True"
"VSPOS","","BiomedicalConceptProperty_27","VSPOS","True","BiomedicalConceptProperty","8ae63ba4-da74-4260-bfaa-7c482ec29a1a","True"
"VSLOC","","BiomedicalConceptProperty_28","VSLOC","True","BiomedicalConceptProperty","f2be6050-20cf-4f2f-9d35-c184c02acd0e","True"
"VSLAT","","BiomedicalConceptProperty_29","VSLAT","True","BiomedicalConceptProperty","0fd2ff7b-9368-4931-9b23-ade6c5f5452c","True"
"VSTESTCD","","BiomedicalConceptProperty_30","VSTESTCD","True","BiomedicalConceptProperty","b31e0f3a-a577-4f14-80c5-bfdb25b37527","True"
"VSORRES","integer","BiomedicalConceptProperty_31","VSORRES","True","BiomedicalConceptProperty","b069d15c-5f8e-4ec1-972b-92a974fe21a1","True"
"VSORRESU","","BiomedicalConceptProperty_32","VSORRESU","True","BiomedicalConceptProperty","0ee60e97-79e3-407a-bbe1-a462d6eae2f1","True"
"VSPOS","","BiomedicalConceptProperty_33","VSPOS","True","BiomedicalConceptProperty","98b26094-188b-481b-b307-e1cf97745241","True"
"VSLOC","","BiomedicalConceptProperty_34","VSLOC","True","BiomedicalConceptProperty","910c52f3-bc59-44fc-9213-016146af8ab7","True"
"VSLAT","","BiomedicalConceptProperty_35","VSLAT","True","BiomedicalConceptProperty","93accd52-1438-4d42-b02a-6a0d9851bd53","True"
"VSTESTCD","","BiomedicalConceptProperty_36","VSTESTCD","True","BiomedicalConceptProperty","4e88d6b5-e6c2-4759-a04a-bd1c6e2c5378","True"
"VSORRES","float","BiomedicalConceptProperty_37","VSORRES","True","BiomedicalConceptProperty","3f801ffb-f5a6-47c4-8dcd-ff634672cafb","True"
"VSORRESU","","BiomedicalConceptProperty_38","VSORRESU","True","BiomedicalConceptProperty","92e08e1e-fa9e-41bf-a5e3-7e10e6eb4f30","True"
"VSLOC","","BiomedicalConceptProperty_39","VSLOC","True","BiomedicalConceptProperty","e8d02f1d-ff1d-44bb-94d2-3fb223e157dd","True"
"VSTESTCD","","BiomedicalConceptProperty_40","VSTESTCD","True","BiomedicalConceptProperty","2bb62c9d-f20b-49e1-96fc-bfc825162990","True"
"VSORRES","float","BiomedicalConceptProperty_41","VSORRES","True","BiomedicalConceptProperty","54c16dad-f93b-4105-9b13-7d8eb8c79d6b","True"
"VSORRESU","","BiomedicalConceptProperty_42","VSORRESU","True","BiomedicalConceptProperty","51ade92e-1b04-4710-825a-013d732e2feb","True"
"VSTESTCD","","BiomedicalConceptProperty_43","VSTESTCD","True","BiomedicalConceptProperty","6d133f60-2de1-483c-84b5-366397df28f0","True"
"VSORRES","float","BiomedicalConceptProperty_44","VSORRES","True","BiomedicalConceptProperty","7c0b48ca-5f72-4c4c-8439-c89954cea003","True"
"VSORRESU","","BiomedicalConceptProperty_45","VSORRESU","True","BiomedicalConceptProperty","26b57b0d-f0ce-4092-bdac-1ab81ff032b7","True"
"LBTESTCD","","BiomedicalConceptProperty_46","LBTESTCD","True","BiomedicalConceptProperty","e3128fa6-35bf-4763-9361-96196e04f2d7","True"
"LBORRES","float","BiomedicalConceptProperty_47","LBORRES","True","BiomedicalConceptProperty","e4ea4085-0171-4952-b4c6-0cb979a29711","True"
"LBORRESU","","BiomedicalConceptProperty_48","LBORRESU","True","BiomedicalConceptProperty","61e3476a-d92e-470e-a9a0-cc0e79d2f747","True"
"LBSPEC","","BiomedicalConceptProperty_49","LBSPEC","True","BiomedicalConceptProperty","36acf243-ece4-4322-bb67-95bdefd2fe81","True"
"LBFAST","","BiomedicalConceptProperty_50","LBFAST","True","BiomedicalConceptProperty","879ae7e7-c196-4ce8-942e-dddce0548494","True"
"LBTESTCD","","BiomedicalConceptProperty_51","LBTESTCD","True","BiomedicalConceptProperty","ee061635-5dd2-4276-b059-5de3fa37a794","True"
"LBORRES","text","BiomedicalConceptProperty_52","LBORRES","True","BiomedicalConceptProperty","8c262140-bf9f-4d1f-bedb-92dcc4f46350","True"
"LBSPEC","","BiomedicalConceptProperty_53","LBSPEC","True","BiomedicalConceptProperty","ac34cb80-ef72-446b-a778-a94457b62fa0","True"
"LBFAST","","BiomedicalConceptProperty_54","LBFAST","True","BiomedicalConceptProperty","41c682ac-a6b9-4f70-a42a-2934b0a08aa8","True"
"LBTESTCD","","BiomedicalConceptProperty_55","LBTESTCD","True","BiomedicalConceptProperty","526d3eba-a08d-4b85-8626-8b23a9595e09","True"
"LBORRES","float","BiomedicalConceptProperty_56","LBORRES","True","BiomedicalConceptProperty","2bc39a85-de50-4e1f-80df-77a42987c646","True"
"LBORRESU","","BiomedicalConceptProperty_57","LBORRESU","True","BiomedicalConceptProperty","111be4e5-7dcd-42b2-901c-37a1b121b335","True"
"LBSPEC","","BiomedicalConceptProperty_58","LBSPEC","True","BiomedicalConceptProperty","945a1d07-60df-4f52-8167-c8acb6aef126","True"
"LBFAST","","BiomedicalConceptProperty_59","LBFAST","True","BiomedicalConceptProperty","cdf91986-2d33-4e3c-a475-f9eb4a32be8a","True"
"LBTESTCD","","BiomedicalConceptProperty_60","LBTESTCD","True","BiomedicalConceptProperty","b3713970-88e6-4d67-ba67-d6570283d63b","True"
"LBORRES","float","BiomedicalConceptProperty_61","LBORRES","True","BiomedicalConceptProperty","338c198a-8fa1-4961-875c-a9cee13003e5","True"
"LBORRESU","","BiomedicalConceptProperty_62","LBORRESU","True","BiomedicalConceptProperty","4c1de6b8-56bc-4526-bd44-36bf7a3cac4c","True"
"LBSPEC","","BiomedicalConceptProperty_63","LBSPEC","True","BiomedicalConceptProperty","05ed0c90-84b0-4457-a547-3296c8c60bbd","True"
"LBFAST","","BiomedicalConceptProperty_64","LBFAST","True","BiomedicalConceptProperty","f0d5b05e-9e2f-4335-b2a4-b0c3d704c6c1","True"
"LBTESTCD","","BiomedicalConceptProperty_65","LBTESTCD","True","BiomedicalConceptProperty","534fa31b-3e39-4e6a-b1c7-1bf49f8b49f2","True"
"LBORRES","float","BiomedicalConceptProperty_66","LBORRES","True","BiomedicalConceptProperty","ed083d23-0990-41e8-b9b6-24126fb4bbef","True"
"LBORRESU","","BiomedicalConceptProperty_67","LBORRESU","True","BiomedicalConceptProperty","de920de0-f83d-4cc4-a51d-98d323552265","True"
"LBSPEC","","BiomedicalConceptProperty_68","LBSPEC","True","BiomedicalConceptProperty","54f549b3-ee42-41d4-9045-b92f56fcd1c6","True"
"LBFAST","","BiomedicalConceptProperty_69","LBFAST","True","BiomedicalConceptProperty","40a4f37f-94df-42ea-a32f-bbd8fb8d2fe2","True"
"LBTESTCD","","BiomedicalConceptProperty_70","LBTESTCD","True","BiomedicalConceptProperty","02eebfae-6988-41a6-80b4-041f5cb31940","True"
"LBORRES","float","BiomedicalConceptProperty_71","LBORRES","True","BiomedicalConceptProperty","b2a7b6c5-33fe-45ea-a7de-b3cbec45deef","True"
"LBORRESU","","BiomedicalConceptProperty_72","LBORRESU","True","BiomedicalConceptProperty","935453e3-853b-4eee-a6d3-84ce4626cb27","True"
"LBSPEC","","BiomedicalConceptProperty_73","LBSPEC","True","BiomedicalConceptProperty","11250d7d-4100-4330-a3d1-453597aa2af7","True"
"LBFAST","","BiomedicalConceptProperty_74","LBFAST","True","BiomedicalConceptProperty","7a607fa2-aa12-4b99-8214-cb1f7d89c088","True"
"LBTESTCD","","BiomedicalConceptProperty_75","LBTESTCD","True","BiomedicalConceptProperty","2ae746bb-be48-4e57-91c1-d535685410cd","True"
"LBORRES","float","BiomedicalConceptProperty_76","LBORRES","True","BiomedicalConceptProperty","b0c0b413-7c6f-460e-bd83-238ef52c4503","True"
"LBORRESU","","BiomedicalConceptProperty_77","LBORRESU","True","BiomedicalConceptProperty","2dabcd9b-95a8-4036-ac2b-b33361b5cf6a","True"
"LBSPEC","","BiomedicalConceptProperty_78","LBSPEC","True","BiomedicalConceptProperty","fbd11ae3-415c-4fe8-94d5-2d93ec71425b","True"
"LBFAST","","BiomedicalConceptProperty_79","LBFAST","True","BiomedicalConceptProperty","dd7adb43-2463-495d-b633-e0e9d107dd16","True"
"VSTESTCD","","BiomedicalConceptProperty_80","VSTESTCD","True","BiomedicalConceptProperty","b16d3528-edea-4589-a4fb-9c8d1e508bed","True"
"VSORRES","integer","BiomedicalConceptProperty_81","VSORRES","True","BiomedicalConceptProperty","81f6994e-bfe2-4d27-8c4c-121f8bd240d9","True"
"VSORRESU","","BiomedicalConceptProperty_82","VSORRESU","True","BiomedicalConceptProperty","cca26d58-6d83-42af-ad9f-cc1a67bc6cb5","True"
"VSPOS","","BiomedicalConceptProperty_83","VSPOS","True","BiomedicalConceptProperty","f7268436-7506-42fe-9161-dadfedb950fc","True"
"VSLOC","","BiomedicalConceptProperty_84","VSLOC","True","BiomedicalConceptProperty","e84fc292-0aa2-4ed1-a48c-dde870dd4990","True"
"VSLAT","","BiomedicalConceptProperty_85","VSLAT","True","BiomedicalConceptProperty","285c0ec9-897f-4a61-a27a-18423be6a24d","True"
"VSTESTCD","","BiomedicalConceptProperty_86","VSTESTCD","True","BiomedicalConceptProperty","8935c271-cb15-4118-99a8-e38b9bb83a1e","True"
"VSORRES","integer","BiomedicalConceptProperty_87","VSORRES","True","BiomedicalConceptProperty","8b95dfcd-488e-4a01-8c51-24864ec43ea0","True"
"VSORRESU","","BiomedicalConceptProperty_88","VSORRESU","True","BiomedicalConceptProperty","da4590a9-a0fb-43cb-acb5-f6eb9d5e8778","True"
"VSPOS","","BiomedicalConceptProperty_89","VSPOS","True","BiomedicalConceptProperty","4debc5ff-5731-4a1f-8ece-8c4ab0cbfc6e","True"
"VSLOC","","BiomedicalConceptProperty_90","VSLOC","True","BiomedicalConceptProperty","ea8459b6-faf9-409c-8a46-ec9c47d4eaf0","True"
"VSLAT","","BiomedicalConceptProperty_91","VSLAT","True","BiomedicalConceptProperty","e17ce14f-70d8-42b3-b399-ae1c069bffe4","True"
"VSTESTCD","","BiomedicalConceptProperty_92","VSTESTCD","True","BiomedicalConceptProperty","0642cbd9-c6e7-4a13-8c17-157419730d42","True"
"VSORRES","integer","BiomedicalConceptProperty_93","VSORRES","True","BiomedicalConceptProperty","258c1be4-5bb0-4a02-a26e-f2a4b3999494","True"
"VSORRESU","","BiomedicalConceptProperty_94","VSORRESU","True","BiomedicalConceptProperty","00131161-eca8-40a9-bd3e-5224bebf2ebb","True"
"VSPOS","","BiomedicalConceptProperty_95","VSPOS","True","BiomedicalConceptProperty","e8ea341e-1c23-4a10-bb30-4d10da0773a3","True"
"VSLOC","","BiomedicalConceptProperty_96","VSLOC","True","BiomedicalConceptProperty","1ea06a34-9f2b-48d2-b059-dc420704edd7","True"
"VSLAT","","BiomedicalConceptProperty_97","VSLAT","True","BiomedicalConceptProperty","5aee37c6-6a0e-44a6-b27c-680a889225b5","True"
"VSTESTCD","","BiomedicalConceptProperty_98","VSTESTCD","True","BiomedicalConceptProperty","dd8578b2-fcba-4349-8b0e-53c3c806c9f0","True"
"VSORRES","integer","BiomedicalConceptProperty_99","VSORRES","True","BiomedicalConceptProperty","3ec1fa5b-641d-4fa3-aa94-5a9a8d56e242","True"
"VSORRESU","","BiomedicalConceptProperty_100","VSORRESU","True","BiomedicalConceptProperty","29fe3572-677f-45d5-8561-5a34319dce8e","True"
"VSPOS","","BiomedicalConceptProperty_101","VSPOS","True","BiomedicalConceptProperty","9388fff9-e4d9-481b-aafd-e37dc6030312","True"
"VSLOC","","BiomedicalConceptProperty_102","VSLOC","True","BiomedicalConceptProperty","0f06a28b-2d5b-417a-b6c6-48c6332066f5","True"
"VSLAT","","BiomedicalConceptProperty_103","VSLAT","True","BiomedicalConceptProperty","b076f3e3-432f-4adf-8ec4-80791390071d","True"
"VSTESTCD","","BiomedicalConceptProperty_104","VSTESTCD","True","BiomedicalConceptProperty","fd9f3681-0ba4-41a7-9922-c1d6e7a4d12d","True"
"VSORRES","integer","BiomedicalConceptProperty_105","VSORRES","True","BiomedicalConceptProperty","eb49dff0-3bfc-4c8c-9790-7d7d569bb300","True"
"VSORRESU","","BiomedicalConceptProperty_106","VSORRESU","True","BiomedicalConceptProperty","53835ab6-5000-4755-9c87-a965a1376c65","True"
"VSPOS","","BiomedicalConceptProperty_107","VSPOS","True","BiomedicalConceptProperty","9adb1fde-fe65-4e0c-a3ed-2cba099a6d70","True"
"VSLOC","","BiomedicalConceptProperty_108","VSLOC","True","BiomedicalConceptProperty","855b4bb8-30fe-4b35-84c1-5f405c6281e7","True"
"VSLAT","","BiomedicalConceptProperty_109","VSLAT","True","BiomedicalConceptProperty","ddd66eff-f51c-4f1d-a8d5-5c62f06c9f7c","True"
"VSTESTCD","","BiomedicalConceptProperty_110","VSTESTCD","True","BiomedicalConceptProperty","7296add4-a764-406a-8e74-df1448b258b3","True"
"VSORRES","integer","BiomedicalConceptProperty_111","VSORRES","True","BiomedicalConceptProperty","c17b2824-2e8c-4a3e-ad62-1bfc61fa6a7a","True"
"VSORRESU","","BiomedicalConceptProperty_112","VSORRESU","True","BiomedicalConceptProperty","69de4b53-18b7-435f-bacd-f5552be8953f","True"
"VSPOS","","BiomedicalConceptProperty_113","VSPOS","True","BiomedicalConceptProperty","490d346f-6424-4b81-bec2-7922a3cdc863","True"
"VSLOC","","BiomedicalConceptProperty_114","VSLOC","True","BiomedicalConceptProperty","6cc14d8b-3a01-4ac3-a393-e72577e01e15","True"
"VSLAT","","BiomedicalConceptProperty_115","VSLAT","True","BiomedicalConceptProperty","40e09620-8e76-4e6f-9ad5-b80edb3432e3","True"
