"label","id","instanceType","isRequired","isEnabled","uuid:ID","name","datatype"
"LBSPEC","BiomedicalConceptProperty_131","BiomedicalConceptProperty","True","True","d5acec18-cf69-4373-a7e0-39e34237a873","LBSPEC",""
"LBFAST","BiomedicalConceptProperty_132","BiomedicalConceptProperty","True","True","49415c04-8a2e-4282-8920-96dcc7695a81","LBFAST",""
"LBTESTCD","BiomedicalConceptProperty_133","BiomedicalConceptProperty","True","True","322d066c-b200-4444-881d-5e30d514e8ef","LBTESTCD",""
"LBORRES","BiomedicalConceptProperty_134","BiomedicalConceptProperty","True","True","1e67d890-c921-4f19-81db-3dd7f23bba38","LBORRES","text"
"LBSPEC","BiomedicalConceptProperty_135","BiomedicalConceptProperty","True","True","356315b9-9326-4718-822d-2eaf3920cd51","LBSPEC",""
"LBFAST","BiomedicalConceptProperty_136","BiomedicalConceptProperty","True","True","906acd0f-a03c-45e8-a803-d2790139896d","LBFAST",""
"LBTESTCD","BiomedicalConceptProperty_137","BiomedicalConceptProperty","True","True","f5e1f156-6474-4513-9642-8c1c0ab378d3","LBTESTCD",""
"LBORRES","BiomedicalConceptProperty_138","BiomedicalConceptProperty","True","True","fe4251ca-7cce-4474-b8e3-c1c33cc2b7d4","LBORRES","float"
"LBORRESU","BiomedicalConceptProperty_139","BiomedicalConceptProperty","True","True","15d048fa-ec92-4a16-9fbb-af765af1fbce","LBORRESU",""
"LBSPEC","BiomedicalConceptProperty_140","BiomedicalConceptProperty","True","True","6cbcd764-a941-4293-b543-65af70bede14","LBSPEC",""
"LBFAST","BiomedicalConceptProperty_141","BiomedicalConceptProperty","True","True","75df90d0-4c47-4a5b-8c24-be64bc7368a0","LBFAST",""
"LBTESTCD","BiomedicalConceptProperty_142","BiomedicalConceptProperty","True","True","2a9f8287-feb3-4d5d-ba5d-35f01a1e4e7a","LBTESTCD",""
"LBORRES","BiomedicalConceptProperty_143","BiomedicalConceptProperty","True","True","62929988-6891-4eaa-a6f8-95626e89987b","LBORRES","float"
"LBORRESU","BiomedicalConceptProperty_144","BiomedicalConceptProperty","True","True","0c99fe69-1d35-44b0-a388-fcb27e255a32","LBORRESU",""
"LBSPEC","BiomedicalConceptProperty_145","BiomedicalConceptProperty","True","True","231943c0-6386-404c-be72-93d91835b5c3","LBSPEC",""
"LBFAST","BiomedicalConceptProperty_146","BiomedicalConceptProperty","True","True","9f5218ae-f8af-4466-8459-50e4e5e1f574","LBFAST",""
"LBTESTCD","BiomedicalConceptProperty_147","BiomedicalConceptProperty","True","True","5c4e4c4c-837f-4902-a876-25bc92b415b2","LBTESTCD",""
"LBORRES","BiomedicalConceptProperty_148","BiomedicalConceptProperty","True","True","065059b9-7c1d-48cb-8b7e-a9ba51fbd32d","LBORRES","float"
"LBORRESU","BiomedicalConceptProperty_149","BiomedicalConceptProperty","True","True","4d2eae37-4046-4391-b0a6-e10d472d10af","LBORRESU",""
"LBSPEC","BiomedicalConceptProperty_150","BiomedicalConceptProperty","True","True","4ecb7a50-eabe-4d7d-8836-106ae234022a","LBSPEC",""
"LBFAST","BiomedicalConceptProperty_151","BiomedicalConceptProperty","True","True","58e744a2-6bba-4023-8c2b-6c6e2d33b9c7","LBFAST",""
"LBTESTCD","BiomedicalConceptProperty_152","BiomedicalConceptProperty","True","True","17768784-e538-413d-996d-1529aa443be1","LBTESTCD",""
"LBORRES","BiomedicalConceptProperty_153","BiomedicalConceptProperty","True","True","1e8a22ad-d4b1-4945-99cc-bb6cca8bfadf","LBORRES","float"
"LBORRESU","BiomedicalConceptProperty_154","BiomedicalConceptProperty","True","True","683238f3-99c2-4cfd-9db7-2da313e92fe7","LBORRESU",""
"LBSPEC","BiomedicalConceptProperty_155","BiomedicalConceptProperty","True","True","7a2318de-77e5-42a5-a3b1-10955b529fae","LBSPEC",""
"LBFAST","BiomedicalConceptProperty_156","BiomedicalConceptProperty","True","True","15914923-2a62-4a58-8344-0acd67993728","LBFAST",""
"LBTESTCD","BiomedicalConceptProperty_157","BiomedicalConceptProperty","True","True","0bc7c5c3-e543-44b7-abb5-e023322436aa","LBTESTCD",""
"LBORRES","BiomedicalConceptProperty_158","BiomedicalConceptProperty","True","True","552e6dd5-0371-4298-adb0-90c9823e40fc","LBORRES","float"
"LBORRESU","BiomedicalConceptProperty_159","BiomedicalConceptProperty","True","True","980ea0ea-0aad-4535-85af-5c6f87c82b10","LBORRESU",""
"LBSPEC","BiomedicalConceptProperty_160","BiomedicalConceptProperty","True","True","34ce8f7c-ee75-4c6e-b369-92e21a1e406f","LBSPEC",""
"LBFAST","BiomedicalConceptProperty_161","BiomedicalConceptProperty","True","True","c17da5eb-df2a-4a08-b521-99ac9b8c1d92","LBFAST",""
"LBTESTCD","BiomedicalConceptProperty_162","BiomedicalConceptProperty","True","True","02b6efba-aac2-42f3-bb65-2d176ba42f7f","LBTESTCD",""
"LBORRES","BiomedicalConceptProperty_163","BiomedicalConceptProperty","True","True","786f5237-96b5-4588-8a13-8a70e4c4c5d5","LBORRES","float"
"LBORRESU","BiomedicalConceptProperty_164","BiomedicalConceptProperty","True","True","6eaee6bf-909e-4c71-9491-c5ed9a3397ed","LBORRESU",""
"LBSPEC","BiomedicalConceptProperty_165","BiomedicalConceptProperty","True","True","85097662-b8ce-4be0-881c-f8737281ce5f","LBSPEC",""
"LBFAST","BiomedicalConceptProperty_166","BiomedicalConceptProperty","True","True","3db4b94a-b88a-486c-bd9b-beab4ffeead1","LBFAST",""
"AETERM","BiomedicalConceptProperty_1","BiomedicalConceptProperty","True","True","031d6e9b-194c-414a-aa9a-0439e6a3155d","AETERM","text"
"AEDECOD","BiomedicalConceptProperty_2","BiomedicalConceptProperty","True","True","562c4f01-71da-44a9-84d1-aee35d341b46","AEDECOD","text"
"AEPRESP","BiomedicalConceptProperty_3","BiomedicalConceptProperty","True","True","59af09db-9fd0-4c54-981a-eb71bc4b42f0","AEPRESP","text"
"AELOC","BiomedicalConceptProperty_4","BiomedicalConceptProperty","True","True","9cbe9f76-d32f-413a-83c8-bc056ce4ee5a","AELOC","text"
"AESEV","BiomedicalConceptProperty_5","BiomedicalConceptProperty","True","True","0de80b07-9138-416b-aae5-0a247af8bea2","AESEV","text"
"AESER","BiomedicalConceptProperty_6","BiomedicalConceptProperty","True","True","20a70b32-475e-4171-920d-4ff155a178fb","AESER","text"
"AEACN","BiomedicalConceptProperty_7","BiomedicalConceptProperty","True","True","688a49b2-0d0e-476e-85c3-16055d8cd2af","AEACN","text"
"AEACNOTH","BiomedicalConceptProperty_8","BiomedicalConceptProperty","True","True","9a738ea7-f1f4-438a-a45d-4cdcf79c8293","AEACNOTH","text"
"AEREL","BiomedicalConceptProperty_9","BiomedicalConceptProperty","True","True","df1371c0-d915-40e7-8217-39414cb5c4c6","AEREL","text"
"AERELNST","BiomedicalConceptProperty_10","BiomedicalConceptProperty","True","True","c3496090-412c-41cb-a4a3-55069837f19d","AERELNST","text"
"AEPATT","BiomedicalConceptProperty_11","BiomedicalConceptProperty","True","True","e4ef292f-db40-45e6-8060-6ff72284c792","AEPATT","text"
"AEOUT","BiomedicalConceptProperty_12","BiomedicalConceptProperty","True","True","2315ae14-bd70-410b-86da-6c0c53407bff","AEOUT","text"
"AESCAN","BiomedicalConceptProperty_13","BiomedicalConceptProperty","True","True","e1f49aaa-829f-4d26-b074-f7b03194dd9f","AESCAN","text"
"AESCONG","BiomedicalConceptProperty_14","BiomedicalConceptProperty","True","True","f6fb5614-e488-4ff2-bdcd-fe0889f9f0c0","AESCONG","text"
"AESDISAB","BiomedicalConceptProperty_15","BiomedicalConceptProperty","True","True","3559c61b-bc65-4d05-a3ab-cf85ceb810dd","AESDISAB","text"
"AESDTH","BiomedicalConceptProperty_16","BiomedicalConceptProperty","True","True","dda8da15-c13e-4c1f-b370-57b5249633ee","AESDTH","text"
"AESHOSP","BiomedicalConceptProperty_17","BiomedicalConceptProperty","True","True","a5958e26-ac30-4389-8595-f015929db057","AESHOSP","text"
"AESLIFE","BiomedicalConceptProperty_18","BiomedicalConceptProperty","True","True","e6f0b212-14e6-4805-bf54-0fbf10c3ac2a","AESLIFE","text"
"AESOD","BiomedicalConceptProperty_19","BiomedicalConceptProperty","True","True","490bf473-7687-4deb-87af-2ccf3bac8b57","AESOD","text"
"AESMIE","BiomedicalConceptProperty_20","BiomedicalConceptProperty","True","True","5d8f389d-c6cd-48d7-8271-854cba70a6a4","AESMIE","text"
"AECONTRT","BiomedicalConceptProperty_21","BiomedicalConceptProperty","True","True","eb7eeab4-c770-4525-8c62-814c79e2db7a","AECONTRT","text"
"AESTDTC","BiomedicalConceptProperty_22","BiomedicalConceptProperty","True","True","93ea57cd-65a1-483e-bd87-b0709cff881f","AESTDTC","datetime"
"AEENDTC","BiomedicalConceptProperty_23","BiomedicalConceptProperty","True","True","fc529ca1-97f6-4810-85ae-6ce75190c6a4","AEENDTC","datetime"
"VSTESTCD","BiomedicalConceptProperty_24","BiomedicalConceptProperty","True","True","8f10f414-1d97-463c-a7af-d8b6ee9a4683","VSTESTCD",""
"VSORRES","BiomedicalConceptProperty_25","BiomedicalConceptProperty","True","True","070caffa-daa0-4382-b867-6160b3638b85","VSORRES","integer"
"VSORRESU","BiomedicalConceptProperty_26","BiomedicalConceptProperty","True","True","ec59b70b-c668-469e-ab1b-76a4a21a4d05","VSORRESU",""
"VSPOS","BiomedicalConceptProperty_27","BiomedicalConceptProperty","True","True","ba12a302-89a0-4f1c-8744-d55d3c46112c","VSPOS",""
"VSLOC","BiomedicalConceptProperty_28","BiomedicalConceptProperty","True","True","0e693c1a-b8de-4824-a8e1-5ec7bbc0bc33","VSLOC",""
"VSLAT","BiomedicalConceptProperty_29","BiomedicalConceptProperty","True","True","69b315ce-4703-4617-9942-6831db7548ae","VSLAT",""
"VSTESTCD","BiomedicalConceptProperty_30","BiomedicalConceptProperty","True","True","98ec2475-472d-473c-ae58-078a8881f519","VSTESTCD",""
"VSORRES","BiomedicalConceptProperty_31","BiomedicalConceptProperty","True","True","8911c757-24d2-49f3-bb06-17c15e6b1413","VSORRES","integer"
"VSORRESU","BiomedicalConceptProperty_32","BiomedicalConceptProperty","True","True","ce291672-ba1a-4d90-bb36-b9b82a19d855","VSORRESU",""
"VSPOS","BiomedicalConceptProperty_33","BiomedicalConceptProperty","True","True","caac7c1b-38de-47fb-b276-3dcb0a80de13","VSPOS",""
"VSLOC","BiomedicalConceptProperty_34","BiomedicalConceptProperty","True","True","682bafee-fd2c-42cd-9bf3-ec19244747ac","VSLOC",""
"VSLAT","BiomedicalConceptProperty_35","BiomedicalConceptProperty","True","True","02d2baea-1051-4e67-9d70-aeba3d6a17fc","VSLAT",""
"VSTESTCD","BiomedicalConceptProperty_36","BiomedicalConceptProperty","True","True","13d40e49-d833-4d3c-846d-1757b0226068","VSTESTCD",""
"VSORRES","BiomedicalConceptProperty_37","BiomedicalConceptProperty","True","True","d36fa72e-bdd5-483a-9aff-f5e2c153565c","VSORRES","float"
"VSORRESU","BiomedicalConceptProperty_38","BiomedicalConceptProperty","True","True","568f738b-423c-476d-9fb5-66e967de5220","VSORRESU",""
"VSLOC","BiomedicalConceptProperty_39","BiomedicalConceptProperty","True","True","568d1f3c-6b9f-45a3-9b5d-91ab3571924d","VSLOC",""
"VSTESTCD","BiomedicalConceptProperty_40","BiomedicalConceptProperty","True","True","6aa7a2bd-6b8f-4cfc-b3af-3442486fdefe","VSTESTCD",""
"VSORRES","BiomedicalConceptProperty_41","BiomedicalConceptProperty","True","True","1c0ad71d-6add-48b3-8335-c7cd0ed96ac8","VSORRES","float"
"VSORRESU","BiomedicalConceptProperty_42","BiomedicalConceptProperty","True","True","a4572648-e0bb-49da-aef1-86c39466ee86","VSORRESU",""
"VSTESTCD","BiomedicalConceptProperty_43","BiomedicalConceptProperty","True","True","555521f0-e7c7-4bab-8fef-8c1e7901d0f0","VSTESTCD",""
"VSORRES","BiomedicalConceptProperty_44","BiomedicalConceptProperty","True","True","d811f8ab-1c9e-4100-af29-f79c917623a1","VSORRES","float"
"VSORRESU","BiomedicalConceptProperty_45","BiomedicalConceptProperty","True","True","690ce105-ed59-4bb1-bd2b-e3dabde94b88","VSORRESU",""
"LBTESTCD","BiomedicalConceptProperty_46","BiomedicalConceptProperty","True","True","1b019af5-e5d8-4509-a7f1-10406b00258a","LBTESTCD",""
"LBORRES","BiomedicalConceptProperty_47","BiomedicalConceptProperty","True","True","e3b8f4bb-f6bf-4ff2-800d-12f5211ee97d","LBORRES","float"
"LBORRESU","BiomedicalConceptProperty_48","BiomedicalConceptProperty","True","True","dfd6d74d-eadc-4343-a148-e516f3608cea","LBORRESU",""
"LBSPEC","BiomedicalConceptProperty_49","BiomedicalConceptProperty","True","True","07ad3a29-cde4-4125-8932-ee32f6d95545","LBSPEC",""
"LBFAST","BiomedicalConceptProperty_50","BiomedicalConceptProperty","True","True","9b1e2175-46b9-4c8e-940a-960b46b4a485","LBFAST",""
"LBTESTCD","BiomedicalConceptProperty_51","BiomedicalConceptProperty","True","True","41ac9fb7-9e69-4709-8b3d-1db999d89cd3","LBTESTCD",""
"LBORRES","BiomedicalConceptProperty_52","BiomedicalConceptProperty","True","True","e8379fa1-4af9-4ffe-a5f3-252b8300c6f1","LBORRES","text"
"LBSPEC","BiomedicalConceptProperty_53","BiomedicalConceptProperty","True","True","968b22b6-b80e-49ce-9d7b-d4d981d62eaf","LBSPEC",""
"LBFAST","BiomedicalConceptProperty_54","BiomedicalConceptProperty","True","True","6b22cbc3-5ead-4bbc-841f-ce15469ee833","LBFAST",""
"LBTESTCD","BiomedicalConceptProperty_55","BiomedicalConceptProperty","True","True","2c126b61-f236-42a9-b0cc-008d8c823d4c","LBTESTCD",""
"LBORRES","BiomedicalConceptProperty_56","BiomedicalConceptProperty","True","True","82096009-fda5-41e6-a9f4-eeb168f42911","LBORRES","float"
"LBORRESU","BiomedicalConceptProperty_57","BiomedicalConceptProperty","True","True","43f1170a-ac51-464a-b3da-cd9af0444eec","LBORRESU",""
"LBSPEC","BiomedicalConceptProperty_58","BiomedicalConceptProperty","True","True","50cf35dd-7a78-469c-a614-808984dd9689","LBSPEC",""
"LBFAST","BiomedicalConceptProperty_59","BiomedicalConceptProperty","True","True","52d7515c-650c-4462-8852-deb7f1156343","LBFAST",""
"LBTESTCD","BiomedicalConceptProperty_60","BiomedicalConceptProperty","True","True","44ab9bd2-b876-4db1-af4d-0afe62e69c96","LBTESTCD",""
"LBORRES","BiomedicalConceptProperty_61","BiomedicalConceptProperty","True","True","7b9f3879-1640-4a20-9917-0176007dc9fd","LBORRES","float"
"LBORRESU","BiomedicalConceptProperty_62","BiomedicalConceptProperty","True","True","2415f888-9b84-449b-ad6f-ee3f5f7f07bd","LBORRESU",""
"LBSPEC","BiomedicalConceptProperty_63","BiomedicalConceptProperty","True","True","3792647b-6515-4d85-8f29-46adf0320daa","LBSPEC",""
"LBFAST","BiomedicalConceptProperty_64","BiomedicalConceptProperty","True","True","f51d9a7d-5df2-4e0e-be8e-ac27f0e22d6a","LBFAST",""
"LBTESTCD","BiomedicalConceptProperty_65","BiomedicalConceptProperty","True","True","4c8c0de8-3145-4c7c-a493-9295c5e154d8","LBTESTCD",""
"LBORRES","BiomedicalConceptProperty_66","BiomedicalConceptProperty","True","True","22d62bcb-f646-46c1-8dc0-8cabeb2e5dfc","LBORRES","float"
"LBORRESU","BiomedicalConceptProperty_67","BiomedicalConceptProperty","True","True","a1852c0f-b107-4ebc-a953-c163a1d99be7","LBORRESU",""
"LBSPEC","BiomedicalConceptProperty_68","BiomedicalConceptProperty","True","True","f117e894-35c7-4e11-813b-e130115f0bce","LBSPEC",""
"LBFAST","BiomedicalConceptProperty_69","BiomedicalConceptProperty","True","True","08008603-78ca-4dd7-a2f2-edb6844c4dbc","LBFAST",""
"LBTESTCD","BiomedicalConceptProperty_70","BiomedicalConceptProperty","True","True","58577980-ff9b-447d-b58e-83a8b0cb92f2","LBTESTCD",""
"LBORRES","BiomedicalConceptProperty_71","BiomedicalConceptProperty","True","True","0a033d76-ed29-4ed4-9fe6-e4474b694aaa","LBORRES","float"
"LBORRESU","BiomedicalConceptProperty_72","BiomedicalConceptProperty","True","True","3e5f4ee4-e90f-4cfb-8fb8-b36df386ad73","LBORRESU",""
"LBSPEC","BiomedicalConceptProperty_73","BiomedicalConceptProperty","True","True","826c5bb6-1c99-4c97-96a8-edbadc4f0b20","LBSPEC",""
"LBFAST","BiomedicalConceptProperty_74","BiomedicalConceptProperty","True","True","0ba22ce8-6340-44a0-ac71-4c2b39baa9d6","LBFAST",""
"LBTESTCD","BiomedicalConceptProperty_75","BiomedicalConceptProperty","True","True","53e2a270-30ac-45da-882b-6623443c7def","LBTESTCD",""
"LBORRES","BiomedicalConceptProperty_76","BiomedicalConceptProperty","True","True","8eb84cb4-0627-4c6c-8b00-96ef30b45414","LBORRES","float"
"LBORRESU","BiomedicalConceptProperty_77","BiomedicalConceptProperty","True","True","79c47838-a43b-4faa-a532-3302bb5053dc","LBORRESU",""
"LBSPEC","BiomedicalConceptProperty_78","BiomedicalConceptProperty","True","True","843bc8f5-9b1a-4749-a5e6-b91dac143852","LBSPEC",""
"LBFAST","BiomedicalConceptProperty_79","BiomedicalConceptProperty","True","True","74ff368a-8d64-4e89-b0c6-965408745109","LBFAST",""
"VSTESTCD","BiomedicalConceptProperty_80","BiomedicalConceptProperty","True","True","339bbdd3-e8e9-4eb5-b713-010360613733","VSTESTCD",""
"VSORRES","BiomedicalConceptProperty_81","BiomedicalConceptProperty","True","True","f6870bf5-b6a3-4119-a823-b6ed3f169a47","VSORRES","integer"
"VSORRESU","BiomedicalConceptProperty_82","BiomedicalConceptProperty","True","True","e8ba08af-e5ea-4eb6-8a85-70cbfdb05b28","VSORRESU",""
"VSPOS","BiomedicalConceptProperty_83","BiomedicalConceptProperty","True","True","f70a1f4d-e6f1-4385-9840-a3c5ca82e13e","VSPOS",""
"VSLOC","BiomedicalConceptProperty_84","BiomedicalConceptProperty","True","True","063418e9-10d4-4d6c-ab27-9ec8ffadb44f","VSLOC",""
"VSLAT","BiomedicalConceptProperty_85","BiomedicalConceptProperty","True","True","63da012b-09b4-4431-aebe-f4e958e9ddac","VSLAT",""
"VSTESTCD","BiomedicalConceptProperty_86","BiomedicalConceptProperty","True","True","5e818e83-fede-4f4a-ab6d-d373abb0329f","VSTESTCD",""
"VSORRES","BiomedicalConceptProperty_87","BiomedicalConceptProperty","True","True","fcbcc2ba-ebaf-42a4-a69f-9d5a00495335","VSORRES","integer"
"VSORRESU","BiomedicalConceptProperty_88","BiomedicalConceptProperty","True","True","a541bb85-ddda-4b2b-b611-2e8d28510ada","VSORRESU",""
"VSPOS","BiomedicalConceptProperty_89","BiomedicalConceptProperty","True","True","9860cab9-43f2-4368-9bc7-28d552d067ca","VSPOS",""
"VSLOC","BiomedicalConceptProperty_90","BiomedicalConceptProperty","True","True","8e34b731-2293-4186-8f23-753f6ad19618","VSLOC",""
"VSLAT","BiomedicalConceptProperty_91","BiomedicalConceptProperty","True","True","98f8cd67-1755-4e44-9b30-deadd3cea848","VSLAT",""
"VSTESTCD","BiomedicalConceptProperty_92","BiomedicalConceptProperty","True","True","7e6c7656-96ff-43bd-937c-45cd48d091af","VSTESTCD",""
"VSORRES","BiomedicalConceptProperty_93","BiomedicalConceptProperty","True","True","16e233b6-61d5-499f-95e6-3b7941bbcc2f","VSORRES","integer"
"VSORRESU","BiomedicalConceptProperty_94","BiomedicalConceptProperty","True","True","a1badd96-5c87-49f3-ac2a-058b41596e00","VSORRESU",""
"VSPOS","BiomedicalConceptProperty_95","BiomedicalConceptProperty","True","True","4e7cbe6b-3c06-4594-9399-5fa1215e1ee8","VSPOS",""
"VSLOC","BiomedicalConceptProperty_96","BiomedicalConceptProperty","True","True","a9a5b5cd-4881-48f9-84f0-6dce67c73098","VSLOC",""
"VSLAT","BiomedicalConceptProperty_97","BiomedicalConceptProperty","True","True","e2842cad-2d00-4ce7-867a-6c9cae597e3d","VSLAT",""
"VSTESTCD","BiomedicalConceptProperty_98","BiomedicalConceptProperty","True","True","eb04519a-c9ea-4123-8fa2-f2c79dcda940","VSTESTCD",""
"VSORRES","BiomedicalConceptProperty_99","BiomedicalConceptProperty","True","True","1108c9c2-79c5-40ac-94a0-54be25efaa88","VSORRES","integer"
"VSORRESU","BiomedicalConceptProperty_100","BiomedicalConceptProperty","True","True","405af8e5-1034-4119-a2c1-f2f47dc67a5c","VSORRESU",""
"VSPOS","BiomedicalConceptProperty_101","BiomedicalConceptProperty","True","True","0d75e291-421e-42ce-86bb-229196fc0902","VSPOS",""
"VSLOC","BiomedicalConceptProperty_102","BiomedicalConceptProperty","True","True","7d3051f7-8ffb-4191-ba69-ac54923ef807","VSLOC",""
"VSLAT","BiomedicalConceptProperty_103","BiomedicalConceptProperty","True","True","7d89c29a-c93f-476f-b845-e608e5c542ed","VSLAT",""
"VSTESTCD","BiomedicalConceptProperty_104","BiomedicalConceptProperty","True","True","42fe9f45-ffe6-4436-880f-8d58ce1c6e5f","VSTESTCD",""
"VSORRES","BiomedicalConceptProperty_105","BiomedicalConceptProperty","True","True","18ad0bd8-cc8b-4254-b4f8-ce0cd55b19cf","VSORRES","integer"
"VSORRESU","BiomedicalConceptProperty_106","BiomedicalConceptProperty","True","True","76337597-d23e-4323-8ed7-e03d698dc46d","VSORRESU",""
"VSPOS","BiomedicalConceptProperty_107","BiomedicalConceptProperty","True","True","87b698e2-31a9-4b53-acae-7cbb3df50d40","VSPOS",""
"VSLOC","BiomedicalConceptProperty_108","BiomedicalConceptProperty","True","True","1ee9ee0d-e5b8-462c-b85e-3027347fb960","VSLOC",""
"VSLAT","BiomedicalConceptProperty_109","BiomedicalConceptProperty","True","True","c87f374c-4c39-41eb-9568-b460ce54b804","VSLAT",""
"VSTESTCD","BiomedicalConceptProperty_110","BiomedicalConceptProperty","True","True","0f83ee6e-d451-45ef-b2c2-6bf327c5845c","VSTESTCD",""
"VSORRES","BiomedicalConceptProperty_111","BiomedicalConceptProperty","True","True","8f2d5290-bef9-4f5b-a580-85addd4b8629","VSORRES","integer"
"VSORRESU","BiomedicalConceptProperty_112","BiomedicalConceptProperty","True","True","7dd274e6-45d8-49db-a209-e2dd785097af","VSORRESU",""
"VSPOS","BiomedicalConceptProperty_113","BiomedicalConceptProperty","True","True","0eab933a-d87c-4522-a679-df8346d5eb80","VSPOS",""
"VSLOC","BiomedicalConceptProperty_114","BiomedicalConceptProperty","True","True","9462ee88-301a-4b10-83d4-78a6f6a2f6f2","VSLOC",""
"VSLAT","BiomedicalConceptProperty_115","BiomedicalConceptProperty","True","True","5bdd85d0-f07b-46b9-ba74-27bd304a0d08","VSLAT",""
