"uuid:ID","decode","id","codeSystem","code","codeSystemVersion"
"cc437614-bc27-4576-9436-e79969e3ade6","Kilogram","Code_81","http://www.cdisc.org","C28252","2023-09-29"
"4e44784c-9e31-4e7d-9284-8764a63f6e86","Gram","Code_82","http://www.cdisc.org","C48155","2023-09-29"
"6ef62e70-9e48-4a70-8182-ea0b60285cd9","Pound","Code_83","http://www.cdisc.org","C48531","2023-09-29"
"b28c0696-34e0-4d46-9f6b-a31d06e4b6a9","Unit of Weight","Code_84","NCI Thesaurus","C48208",""
"011ef07b-d04a-42cf-827a-8c04a3dd63a6","Body Weight","Code_79","NCI Thesaurus","C81328",""
"282e1a0a-930a-4e00-b41a-f11e46c7d069","Active Comparator Arm","Code_31","http://www.cdisc.org","C174267","2023-09-29"
"3c6a5efe-fff9-43c0-b2a8-b9648fbc43c7","Data Generated Within Study","Code_32","http://www.cdisc.org","C188866","2023-09-29"
"59fffff9-9bbe-4c73-9d7a-e9d57595a7c4","Placebo Comparator Arm","Code_33","http://www.cdisc.org","C174268","2023-09-29"
"36828c83-0acb-4aa4-a85a-89912ed7cc1c","Data Generated Within Study","Code_34","http://www.cdisc.org","C188866","2023-09-29"
"7c883f9d-bbb6-4289-903f-6b09b6152ed4","Open Label Study","Code_41","http://www.cdisc.org","C49659","2023-09-29"
"0b426a34-0d45-4e77-a945-cf3df67e68dd","Trial Screening","Code_35","http://www.cdisc.org","C48262","2023-09-29"
"c1ba4363-1769-4812-b348-ba41bc3374fd","Baseline Epoch","Code_36","http://www.cdisc.org","C125938","2023-09-29"
"822654e4-6162-4fe2-a10b-73a6d0268ab5","Treatment Epoch","Code_37","http://www.cdisc.org","C101526","2023-09-29"
"130698d7-2cc0-44e5-a159-526db53b6058","Clinical Study Follow-up","Code_38","http://www.cdisc.org","C99158","2023-09-29"
"6f72e072-6804-42f0-9f8d-e88cb2569e20","Indication1","Code_85","SNOMED","12345","January 31, 2018"
"d7673e11-9c41-4521-80e2-fbfd4b20e621","Indication2","Code_88","SNOMED","345678","January 31, 2018"
"f3014022-797f-409d-b603-5b2290c0a1c5","Y","Code_86","ICD-10","X","None set"
"39895659-f4d4-4a3a-b802-647e02608255","B","Code_87","SNOMED","A","January 31, 2018"
"c41f02e3-54a9-4b7f-bfb8-8ef3a0be4462","CC","Code_89","ICD-10","DD","None set"
"cd86301d-464b-47cd-a78c-4bcab9875ceb","B","Code_90","SNOMED","A","January 31, 2018"
"7f0ceaa1-16fd-4efb-b987-d348b93786d8","Trial Primary Objective","Code_95","http://www.cdisc.org","C85826","2023-09-29"
"b622e32f-ded1-4275-b381-e0363f6c9642","Primary Endpoint","Code_94","http://www.cdisc.org","C94496","2023-09-29"
"2bb88777-e794-4a70-b52c-8275eb3ad5da","Trial Secondary Objective","Code_97","http://www.cdisc.org","C85827","2023-09-29"
"5ffa4b76-6fca-4cbb-ad17-6a4f85e3231e","Secondary Endpoint","Code_96","http://www.cdisc.org","C139173","2023-09-29"
"afe0f31a-9b7f-4b8d-8d3b-838ca5bce5c0","Secondary Endpoint","Code_98","http://www.cdisc.org","C139173","2023-09-29"
"761ecd62-135c-49f1-bf83-ed878beb94fd","Secondary Endpoint","Code_99","http://www.cdisc.org","C139173","2023-09-29"
"b4416636-0974-459f-aae3-390e4f9b70e2","Secondary Endpoint","Code_100","http://www.cdisc.org","C139173","2023-09-29"
"97ae542a-b109-4ace-8fef-588cd0094e28","Secondary Endpoint","Code_101","http://www.cdisc.org","C139173","2023-09-29"
"e7d6c47c-a4a4-4cd9-a5c6-caf79ba02e60","Secondary Endpoint","Code_102","http://www.cdisc.org","C139173","2023-09-29"
"03c5b932-79fa-478c-9cb3-e09a7a7b2dcc","Secondary Endpoint","Code_103","http://www.cdisc.org","C139173","2023-09-29"
"bb858eb7-b90f-40f9-94ea-8189aef874da","Secondary Endpoint","Code_104","http://www.cdisc.org","C139173","2023-09-29"
"682406d6-72d8-4d1d-9e46-7778a3cc6233","Secondary Endpoint","Code_105","http://www.cdisc.org","C139173","2023-09-29"
"43947cb9-6f01-4474-8783-d32084c36a8c","Secondary Endpoint","Code_106","http://www.cdisc.org","C139173","2023-09-29"
"f549acca-9b0c-42e4-9838-15b297d77ced","Secondary Endpoint","Code_107","http://www.cdisc.org","C139173","2023-09-29"
"32bdb1c4-73d9-4424-8226-f2bbf5b537a9","Both","Code_91","http://www.cdisc.org","C49636","2023-09-29"
"fffdb711-5f73-423f-b3c0-f4655cdd8f99","Male","Code_92","http://www.cdisc.org","C20197","2023-09-29"
"d2342271-2a5b-4a5d-a3b9-f2398a5b9c27","Female","Code_93","http://www.cdisc.org","C16576","2023-09-29"
"2d0ef19b-0e1c-456e-aca0-f56cc2c43b49","Before","Code_48","http://www.cdisc.org","C201264","2023-09-29"
"835996bd-54c4-4a15-841c-5af55f18d5eb","Start to Start","Code_50","http://www.cdisc.org","C201265","2023-09-29"
"24fed671-46c1-4a49-aa80-5099c7a8c8e1","Before","Code_53","http://www.cdisc.org","C201264","2023-09-29"
"800c8f9c-8e91-45aa-9cbe-270fc274782a","Start to Start","Code_55","http://www.cdisc.org","C201265","2023-09-29"
"a19043e5-de9a-47d9-8721-67e5988e556a","Fixed Reference","Code_56","http://www.cdisc.org","C201264","2023-09-29"
"bc249f14-9e04-4ec5-9508-7003990b4463","Start to Start","Code_60","http://www.cdisc.org","C201265","2023-09-29"
"25bc46e4-8d45-4ceb-bc52-a3b2b6388cd7","After","Code_62","http://www.cdisc.org","C201264","2023-09-29"
"73147e1a-6b5e-4b37-a5e9-a8b38bd68d84","Start to Start","Code_65","http://www.cdisc.org","C201265","2023-09-29"
"f1bcb023-a2c1-45b0-b0fe-d3ced6237afe","After","Code_67","http://www.cdisc.org","C201264","2023-09-29"
"5dadc5d4-8421-4412-9413-c2e17b6505f9","Start to Start","Code_70","http://www.cdisc.org","C201265","2023-09-29"
"6d1e7570-1b9e-41d9-aca2-e020fd0f4a8d","Draft","Code_5","http://www.cdisc.org","C85255","2023-09-29"
"3bfc1f14-4e41-4c04-9bd4-3ccd1d054928","Protocol Effective Date","Code_8","http://www.cdisc.org","C99903x1","2023-09-29"
"113f1ca5-01cf-4aa5-a75c-0f1d6540b5f1","Global","Code_9","http://www.cdisc.org","C68846","2023-09-29"
