"label","isEnabled","uuid:ID","id","isRequired","name","instanceType","datatype"
"LBTESTCD","True","82d54221-6d19-4333-a507-f3a4cc3d18b8","BiomedicalConceptProperty_145","True","LBTESTCD","BiomedicalConceptProperty",""
"LBORRES","True","bb375408-3de0-4ef2-90fb-19c84ae95a05","BiomedicalConceptProperty_146","True","LBORRES","BiomedicalConceptProperty","float"
"LBORRESU","True","2dd6b2a9-b864-4d8e-b3ed-03ad9748c419","BiomedicalConceptProperty_147","True","LBORRESU","BiomedicalConceptProperty",""
"LBSPEC","True","ecd8a8ce-d80f-4e8a-a6bf-931d81bbd7bb","BiomedicalConceptProperty_148","True","LBSPEC","BiomedicalConceptProperty",""
"LBFAST","True","0e7ea72f-2ec8-49f9-ae0c-fbe510002147","BiomedicalConceptProperty_149","True","LBFAST","BiomedicalConceptProperty",""
"LBTESTCD","True","123e5d49-348c-4529-8674-48b325f8e570","BiomedicalConceptProperty_150","True","LBTESTCD","BiomedicalConceptProperty",""
"LBORRES","True","065d5760-a326-40c7-b66e-ea98cfb0d016","BiomedicalConceptProperty_151","True","LBORRES","BiomedicalConceptProperty","float"
"LBORRESU","True","05e13257-4d73-4a0c-a133-5ce6d7bcebdf","BiomedicalConceptProperty_152","True","LBORRESU","BiomedicalConceptProperty",""
"LBSPEC","True","553dddb1-75e7-46a1-ba06-0218e104283e","BiomedicalConceptProperty_153","True","LBSPEC","BiomedicalConceptProperty",""
"LBFAST","True","0ced38f7-4939-4dc2-80d5-16709e2cdc68","BiomedicalConceptProperty_154","True","LBFAST","BiomedicalConceptProperty",""
"LBTESTCD","True","d49cc57a-79d4-4a9b-b4ed-0983643d5080","BiomedicalConceptProperty_155","True","LBTESTCD","BiomedicalConceptProperty",""
"LBORRES","True","7a247016-70f9-4727-a348-345246f7097a","BiomedicalConceptProperty_156","True","LBORRES","BiomedicalConceptProperty","float"
"LBORRESU","True","c9031fef-bf8e-487d-a518-db5bf343ffb8","BiomedicalConceptProperty_157","True","LBORRESU","BiomedicalConceptProperty",""
"LBSPEC","True","0e0d8506-4ff8-4281-a421-2c5751ff2e02","BiomedicalConceptProperty_158","True","LBSPEC","BiomedicalConceptProperty",""
"LBFAST","True","f5d40d97-058a-4951-9fe5-7be1ffaff2d5","BiomedicalConceptProperty_159","True","LBFAST","BiomedicalConceptProperty",""
"LBTESTCD","True","305b8f73-0e9d-442e-aac9-f2f968331514","BiomedicalConceptProperty_160","True","LBTESTCD","BiomedicalConceptProperty",""
"LBORRES","True","cd56193d-e811-4388-b2a9-5d896c9c616f","BiomedicalConceptProperty_161","True","LBORRES","BiomedicalConceptProperty","float"
"LBORRESU","True","77458f5e-0a83-423c-92f2-ad34c77df4b9","BiomedicalConceptProperty_162","True","LBORRESU","BiomedicalConceptProperty",""
"LBSPEC","True","48a2b4a5-e0ef-4f6c-a104-98a9399115d4","BiomedicalConceptProperty_163","True","LBSPEC","BiomedicalConceptProperty",""
"LBFAST","True","7dfdb377-81ce-4abf-a41b-511ff7dd239f","BiomedicalConceptProperty_164","True","LBFAST","BiomedicalConceptProperty",""
"LBTESTCD","True","ef50e5b4-df31-4b9a-a485-88eb74ea494d","BiomedicalConceptProperty_165","True","LBTESTCD","BiomedicalConceptProperty",""
"LBORRES","True","277eb6f3-e40b-4e7f-bcc0-3834fa57a2e4","BiomedicalConceptProperty_166","True","LBORRES","BiomedicalConceptProperty","float"
"LBORRESU","True","a05d0ff8-4563-496d-afe2-0fbfaa145fe5","BiomedicalConceptProperty_167","True","LBORRESU","BiomedicalConceptProperty",""
"LBSPEC","True","c5903854-b8f8-40b1-8a09-bac1fcd69970","BiomedicalConceptProperty_168","True","LBSPEC","BiomedicalConceptProperty",""
"LBFAST","True","ba995135-b249-4850-bd80-e66f59520dcc","BiomedicalConceptProperty_169","True","LBFAST","BiomedicalConceptProperty",""
"AETERM","True","7f569b23-e858-4373-9c73-f0f76e7bb69e","BiomedicalConceptProperty_1","True","AETERM","BiomedicalConceptProperty","text"
"AEDECOD","True","5dcfb779-4f95-430a-b729-a3b70e96820d","BiomedicalConceptProperty_2","True","AEDECOD","BiomedicalConceptProperty","text"
"AEPRESP","True","cb24ea42-71a7-4824-a53e-3c32efb0b3b0","BiomedicalConceptProperty_3","True","AEPRESP","BiomedicalConceptProperty","text"
"AELOC","True","916b52a5-3d91-4a2f-bda0-c752d99bec85","BiomedicalConceptProperty_4","True","AELOC","BiomedicalConceptProperty","text"
"AESEV","True","a3362894-84e3-4dc5-9954-8099f1f411de","BiomedicalConceptProperty_5","True","AESEV","BiomedicalConceptProperty","text"
"AESER","True","7a516b74-cf4d-45ee-ba71-41e28fd3a37b","BiomedicalConceptProperty_6","True","AESER","BiomedicalConceptProperty","text"
"AEACN","True","523359ef-b2ba-402c-a91d-ae3d6495b5c3","BiomedicalConceptProperty_7","True","AEACN","BiomedicalConceptProperty","text"
"AEACNOTH","True","d0910e1d-7157-434d-a028-7d0c5b911bf8","BiomedicalConceptProperty_8","True","AEACNOTH","BiomedicalConceptProperty","text"
"AEREL","True","fbbf470c-a63e-4510-9c9f-5d74048d9bc5","BiomedicalConceptProperty_9","True","AEREL","BiomedicalConceptProperty","text"
"AERELNST","True","b1057747-974c-4994-8956-0fece10607ef","BiomedicalConceptProperty_10","True","AERELNST","BiomedicalConceptProperty","text"
"AEPATT","True","3deb5777-593b-4609-a23a-133bfbedc7f5","BiomedicalConceptProperty_11","True","AEPATT","BiomedicalConceptProperty","text"
"AEOUT","True","88f97d9a-965d-444c-b0fa-8fd3e24a4e5d","BiomedicalConceptProperty_12","True","AEOUT","BiomedicalConceptProperty","text"
"AESCAN","True","661285b0-fb38-4654-9a3e-351ea1444039","BiomedicalConceptProperty_13","True","AESCAN","BiomedicalConceptProperty","text"
"AESCONG","True","172f058b-2cc7-45f8-a676-471546e325bd","BiomedicalConceptProperty_14","True","AESCONG","BiomedicalConceptProperty","text"
"AESDISAB","True","5a3ddad1-cf55-4cfb-b53c-8280adccc7f2","BiomedicalConceptProperty_15","True","AESDISAB","BiomedicalConceptProperty","text"
"AESDTH","True","9fcd9571-9ff5-4ca4-819c-0eb0b4522b8e","BiomedicalConceptProperty_16","True","AESDTH","BiomedicalConceptProperty","text"
"AESHOSP","True","039426c2-6007-4ff3-9f9c-ee6dc4ae2133","BiomedicalConceptProperty_17","True","AESHOSP","BiomedicalConceptProperty","text"
"AESLIFE","True","09100374-ebed-439f-9d96-d6e9800186b8","BiomedicalConceptProperty_18","True","AESLIFE","BiomedicalConceptProperty","text"
"AESOD","True","bb496ba3-ec0a-404c-9ac1-e2319fc89ed5","BiomedicalConceptProperty_19","True","AESOD","BiomedicalConceptProperty","text"
"AESMIE","True","ab6dcf6d-f327-4265-832e-ce8a76b49096","BiomedicalConceptProperty_20","True","AESMIE","BiomedicalConceptProperty","text"
"AECONTRT","True","ab3af280-4f1e-424c-85ce-c5afc8e2b58f","BiomedicalConceptProperty_21","True","AECONTRT","BiomedicalConceptProperty","text"
"AESTDTC","True","c6d480e0-bc7c-4d69-a9c5-e804671cdeb2","BiomedicalConceptProperty_22","True","AESTDTC","BiomedicalConceptProperty","datetime"
"AEENDTC","True","4b8bc69a-cc28-4ee5-9213-01a9d5fc2f26","BiomedicalConceptProperty_23","True","AEENDTC","BiomedicalConceptProperty","datetime"
"VSTESTCD","True","12b33dfb-f593-4d5f-81f1-ac3da6180c29","BiomedicalConceptProperty_24","True","VSTESTCD","BiomedicalConceptProperty",""
"VSORRES","True","7a792780-1cd5-4778-8e36-5bea2628ec78","BiomedicalConceptProperty_25","True","VSORRES","BiomedicalConceptProperty","integer"
"VSORRESU","True","b606e192-ed5e-4dad-b881-b0c2a304fdcf","BiomedicalConceptProperty_26","True","VSORRESU","BiomedicalConceptProperty",""
"VSPOS","True","4606009e-11fb-474d-9033-212540607da9","BiomedicalConceptProperty_27","True","VSPOS","BiomedicalConceptProperty",""
"VSLOC","True","126e77af-e879-4d59-8945-4d7bc2ae4316","BiomedicalConceptProperty_28","True","VSLOC","BiomedicalConceptProperty",""
"VSLAT","True","a1fb5272-e503-4e37-9b3d-d736859f2315","BiomedicalConceptProperty_29","True","VSLAT","BiomedicalConceptProperty",""
"VSTESTCD","True","bb24ddb4-d510-4260-b64f-7ad801a8b693","BiomedicalConceptProperty_30","True","VSTESTCD","BiomedicalConceptProperty",""
"VSORRES","True","2936b386-29b1-4f84-a64a-24367568e58b","BiomedicalConceptProperty_31","True","VSORRES","BiomedicalConceptProperty","integer"
"VSORRESU","True","8a9c2e70-5c88-45b8-9f43-5b4b410a7fea","BiomedicalConceptProperty_32","True","VSORRESU","BiomedicalConceptProperty",""
"VSPOS","True","405aeda2-7f67-43cb-8c0c-c06021960d11","BiomedicalConceptProperty_33","True","VSPOS","BiomedicalConceptProperty",""
"VSLOC","True","71ccecf6-bb94-4896-a2d9-4b2a1c732e58","BiomedicalConceptProperty_34","True","VSLOC","BiomedicalConceptProperty",""
"VSLAT","True","6cc279ce-c74f-4746-974a-cf252a8cb300","BiomedicalConceptProperty_35","True","VSLAT","BiomedicalConceptProperty",""
"VSTESTCD","True","00534fed-76d6-4515-937f-c2b1acea3dcf","BiomedicalConceptProperty_36","True","VSTESTCD","BiomedicalConceptProperty",""
"VSORRES","True","7a04a6e2-5347-4c68-97c3-41bc31d1f9da","BiomedicalConceptProperty_37","True","VSORRES","BiomedicalConceptProperty","float"
"VSORRESU","True","bba26028-e09f-4bb2-b28b-851d14f86137","BiomedicalConceptProperty_38","True","VSORRESU","BiomedicalConceptProperty",""
"VSLOC","True","58558720-cffe-4250-a142-4d393f0440c2","BiomedicalConceptProperty_39","True","VSLOC","BiomedicalConceptProperty",""
"VSTESTCD","True","5267ac15-5e66-4bda-ab8a-6cbf6369d08f","BiomedicalConceptProperty_40","True","VSTESTCD","BiomedicalConceptProperty",""
"VSORRES","True","6fde91ac-1ca5-4c75-bc03-4f762be87de9","BiomedicalConceptProperty_41","True","VSORRES","BiomedicalConceptProperty","float"
"VSORRESU","True","aece8428-06cc-468b-835f-a47721f92468","BiomedicalConceptProperty_42","True","VSORRESU","BiomedicalConceptProperty",""
"VSTESTCD","True","f959b516-ef07-4169-a64a-957cbdbd03a5","BiomedicalConceptProperty_43","True","VSTESTCD","BiomedicalConceptProperty",""
"VSORRES","True","1d7d866f-df37-4c8d-96b1-7a25682d3fc1","BiomedicalConceptProperty_44","True","VSORRES","BiomedicalConceptProperty","float"
"VSORRESU","True","3bf122ad-5d6b-4c61-a54b-3535e2ae61ae","BiomedicalConceptProperty_45","True","VSORRESU","BiomedicalConceptProperty",""
"LBTESTCD","True","18ed374e-2f19-4903-95e0-96e961dc8a21","BiomedicalConceptProperty_46","True","LBTESTCD","BiomedicalConceptProperty",""
"LBORRES","True","28c82659-3738-47de-8aaa-e9d709be4e38","BiomedicalConceptProperty_47","True","LBORRES","BiomedicalConceptProperty","float"
"LBORRESU","True","07267cd5-78ba-4092-b739-c357cc6f380f","BiomedicalConceptProperty_48","True","LBORRESU","BiomedicalConceptProperty",""
"LBSPEC","True","0cd53cb1-0f5e-4530-9298-e3ccb3a41875","BiomedicalConceptProperty_49","True","LBSPEC","BiomedicalConceptProperty",""
"LBFAST","True","be5b3e7f-ef75-479c-8c32-6f7b95c32635","BiomedicalConceptProperty_50","True","LBFAST","BiomedicalConceptProperty",""
"LBTESTCD","True","5690e64a-37f0-45ef-8f30-0e11c128eac9","BiomedicalConceptProperty_51","True","LBTESTCD","BiomedicalConceptProperty",""
"LBORRES","True","29f1ccc6-26d5-4797-83bf-f50da559f21d","BiomedicalConceptProperty_52","True","LBORRES","BiomedicalConceptProperty","text"
"LBSPEC","True","1e677d2f-7c5c-452f-93bb-1b9776447118","BiomedicalConceptProperty_53","True","LBSPEC","BiomedicalConceptProperty",""
"LBFAST","True","efbb7638-8965-49ce-8a9a-b0ad84cf2e7c","BiomedicalConceptProperty_54","True","LBFAST","BiomedicalConceptProperty",""
"LBTESTCD","True","7541f422-c365-4754-8021-beb8fffc08d8","BiomedicalConceptProperty_55","True","LBTESTCD","BiomedicalConceptProperty",""
"LBORRES","True","6c119663-0df8-48a5-ba30-2651e9628613","BiomedicalConceptProperty_56","True","LBORRES","BiomedicalConceptProperty","float"
"LBORRESU","True","fa795997-faf3-4b2e-a967-d66b015efac8","BiomedicalConceptProperty_57","True","LBORRESU","BiomedicalConceptProperty",""
"LBSPEC","True","bb8ae87e-65b3-4550-9fbe-ec466a358fc5","BiomedicalConceptProperty_58","True","LBSPEC","BiomedicalConceptProperty",""
"LBFAST","True","59575930-259b-4ad0-b285-83811a43437d","BiomedicalConceptProperty_59","True","LBFAST","BiomedicalConceptProperty",""
"LBTESTCD","True","d4668d49-cc44-4b01-88f2-bb0312106c3d","BiomedicalConceptProperty_60","True","LBTESTCD","BiomedicalConceptProperty",""
"LBORRES","True","0c5fc5f9-bdbc-438a-83df-761b05936e94","BiomedicalConceptProperty_61","True","LBORRES","BiomedicalConceptProperty","float"
"LBORRESU","True","7e2ba458-6f00-47ad-8121-4811688164f1","BiomedicalConceptProperty_62","True","LBORRESU","BiomedicalConceptProperty",""
"LBSPEC","True","2d2c04b9-f9ea-4730-b150-3c89994c60a0","BiomedicalConceptProperty_63","True","LBSPEC","BiomedicalConceptProperty",""
"LBFAST","True","3291a408-c5f4-45e9-b45c-49772e666126","BiomedicalConceptProperty_64","True","LBFAST","BiomedicalConceptProperty",""
"LBTESTCD","True","d87ee468-7db7-4806-b4e7-109a95d7a5c3","BiomedicalConceptProperty_65","True","LBTESTCD","BiomedicalConceptProperty",""
"LBORRES","True","e60b52aa-c562-486d-ab5b-8ecb807dbbb4","BiomedicalConceptProperty_66","True","LBORRES","BiomedicalConceptProperty","float"
"LBORRESU","True","fce79513-ca00-46a1-aec1-33c7d376aa74","BiomedicalConceptProperty_67","True","LBORRESU","BiomedicalConceptProperty",""
"LBSPEC","True","eef364a1-daa9-4b49-a4d7-3b1a4e4e08fa","BiomedicalConceptProperty_68","True","LBSPEC","BiomedicalConceptProperty",""
"LBFAST","True","c169d631-40fc-45a4-b702-f168d8176eb9","BiomedicalConceptProperty_69","True","LBFAST","BiomedicalConceptProperty",""
"LBTESTCD","True","d6d9f849-d349-4a46-a1bc-f895d189edee","BiomedicalConceptProperty_70","True","LBTESTCD","BiomedicalConceptProperty",""
"LBORRES","True","3d87539a-d260-4291-a444-1a2b00d765cd","BiomedicalConceptProperty_71","True","LBORRES","BiomedicalConceptProperty","float"
"LBORRESU","True","8a98dd6e-c1bd-44ad-892d-87246f7eda64","BiomedicalConceptProperty_72","True","LBORRESU","BiomedicalConceptProperty",""
"LBSPEC","True","9a40d0f7-b135-4bf9-920c-369e257bc8b9","BiomedicalConceptProperty_73","True","LBSPEC","BiomedicalConceptProperty",""
"LBFAST","True","5f836ac7-7450-4769-9da6-6e61ff0758aa","BiomedicalConceptProperty_74","True","LBFAST","BiomedicalConceptProperty",""
"LBTESTCD","True","5f8d6fb9-a2bc-483d-abf7-22baa7d6eeac","BiomedicalConceptProperty_75","True","LBTESTCD","BiomedicalConceptProperty",""
"LBORRES","True","f04c2bdc-89b2-4e1b-8ac9-72630fc7352e","BiomedicalConceptProperty_76","True","LBORRES","BiomedicalConceptProperty","float"
"LBORRESU","True","2ecc1382-f0e1-4005-a139-d65838620307","BiomedicalConceptProperty_77","True","LBORRESU","BiomedicalConceptProperty",""
"LBSPEC","True","197506d7-81fb-443d-8412-e8d10bed3565","BiomedicalConceptProperty_78","True","LBSPEC","BiomedicalConceptProperty",""
"LBFAST","True","43bd9cc9-cf94-4179-a746-0e48e7dfa02c","BiomedicalConceptProperty_79","True","LBFAST","BiomedicalConceptProperty",""
"VSTESTCD","True","a75ae14e-2f68-4d80-8fb6-10104ba52405","BiomedicalConceptProperty_80","True","VSTESTCD","BiomedicalConceptProperty",""
"VSORRES","True","b7b10e03-fe23-4ee1-b0de-b79b75efaf5b","BiomedicalConceptProperty_81","True","VSORRES","BiomedicalConceptProperty","integer"
"VSORRESU","True","891d7b8f-10a9-4a0a-98c0-49aaeab6e51e","BiomedicalConceptProperty_82","True","VSORRESU","BiomedicalConceptProperty",""
"VSPOS","True","60f41d14-24e2-46c6-b2e4-5fdfe2b3544e","BiomedicalConceptProperty_83","True","VSPOS","BiomedicalConceptProperty",""
"VSLOC","True","5662028a-c9d5-4ecd-9804-5f2bff5b164c","BiomedicalConceptProperty_84","True","VSLOC","BiomedicalConceptProperty",""
"VSLAT","True","0c1b38e1-ceaa-4b3d-9540-3e4056505a11","BiomedicalConceptProperty_85","True","VSLAT","BiomedicalConceptProperty",""
"VSTESTCD","True","e084e47f-744d-4564-b08f-5831320c38d9","BiomedicalConceptProperty_86","True","VSTESTCD","BiomedicalConceptProperty",""
"VSORRES","True","c48dd4cb-f41f-460d-a028-308ac672f5ff","BiomedicalConceptProperty_87","True","VSORRES","BiomedicalConceptProperty","integer"
"VSORRESU","True","3889d36b-751d-48b5-9f51-d4bd00180702","BiomedicalConceptProperty_88","True","VSORRESU","BiomedicalConceptProperty",""
"VSPOS","True","8cfea636-1b12-48f7-9fe1-48cc8f1f1fe6","BiomedicalConceptProperty_89","True","VSPOS","BiomedicalConceptProperty",""
"VSLOC","True","38b090b2-6eb9-4c17-ae0f-5952f5848d4c","BiomedicalConceptProperty_90","True","VSLOC","BiomedicalConceptProperty",""
"VSLAT","True","8c7a5110-8356-4773-af21-81a8c6301716","BiomedicalConceptProperty_91","True","VSLAT","BiomedicalConceptProperty",""
"VSTESTCD","True","cb32c10e-dae3-4d7f-bfa9-b549bcb70720","BiomedicalConceptProperty_92","True","VSTESTCD","BiomedicalConceptProperty",""
"VSORRES","True","515b14d7-2994-4eaf-8c9d-40315e24dfa2","BiomedicalConceptProperty_93","True","VSORRES","BiomedicalConceptProperty","integer"
"VSORRESU","True","495d45d3-021e-44c1-9c7e-551d0422e093","BiomedicalConceptProperty_94","True","VSORRESU","BiomedicalConceptProperty",""
"VSPOS","True","2e4c532d-d4f7-46b5-9f33-1d4ee3e9ab5f","BiomedicalConceptProperty_95","True","VSPOS","BiomedicalConceptProperty",""
"VSLOC","True","12f3cb40-1133-4628-9de4-140497c6be73","BiomedicalConceptProperty_96","True","VSLOC","BiomedicalConceptProperty",""
"VSLAT","True","9d0a0e33-8d89-43ea-b13a-7e6b6f00b2bc","BiomedicalConceptProperty_97","True","VSLAT","BiomedicalConceptProperty",""
"VSTESTCD","True","8c941f69-f78a-4f8f-9326-f91e816116a9","BiomedicalConceptProperty_98","True","VSTESTCD","BiomedicalConceptProperty",""
"VSORRES","True","fbe43a07-4cb2-43ea-9808-fd327465fa12","BiomedicalConceptProperty_99","True","VSORRES","BiomedicalConceptProperty","integer"
"VSORRESU","True","e0a41b13-0175-46aa-bc4a-a731a65dd111","BiomedicalConceptProperty_100","True","VSORRESU","BiomedicalConceptProperty",""
"VSPOS","True","a14159b7-c23a-4b16-8ff3-32d48facab23","BiomedicalConceptProperty_101","True","VSPOS","BiomedicalConceptProperty",""
"VSLOC","True","6545b02e-bd62-4f47-b865-5749a49304f5","BiomedicalConceptProperty_102","True","VSLOC","BiomedicalConceptProperty",""
"VSLAT","True","ee0c2a73-4054-45cc-9fb9-1cd9099650a0","BiomedicalConceptProperty_103","True","VSLAT","BiomedicalConceptProperty",""
"VSTESTCD","True","aaccd192-045c-4d83-8043-f0fa316fa9c0","BiomedicalConceptProperty_104","True","VSTESTCD","BiomedicalConceptProperty",""
"VSORRES","True","94fcfdd2-7442-434c-af29-cf59070082f3","BiomedicalConceptProperty_105","True","VSORRES","BiomedicalConceptProperty","integer"
"VSORRESU","True","a167f509-80b6-44ed-b5d8-a0137e663ea8","BiomedicalConceptProperty_106","True","VSORRESU","BiomedicalConceptProperty",""
"VSPOS","True","085cbaf6-7d24-4099-b280-2074cf7e432e","BiomedicalConceptProperty_107","True","VSPOS","BiomedicalConceptProperty",""
"VSLOC","True","7c728c2e-0537-43aa-859b-d2bc7314e09f","BiomedicalConceptProperty_108","True","VSLOC","BiomedicalConceptProperty",""
"VSLAT","True","92057e21-c8da-4f4d-8507-4bce231e77ee","BiomedicalConceptProperty_109","True","VSLAT","BiomedicalConceptProperty",""
"VSTESTCD","True","35bf8cd7-4d2f-47b4-be57-ea1e64876d6f","BiomedicalConceptProperty_110","True","VSTESTCD","BiomedicalConceptProperty",""
"VSORRES","True","51ea83a7-f3ba-4f01-a0d7-26cf877ea329","BiomedicalConceptProperty_111","True","VSORRES","BiomedicalConceptProperty","integer"
"VSORRESU","True","6d121cd0-014b-426c-9fac-3dfd81887b3b","BiomedicalConceptProperty_112","True","VSORRESU","BiomedicalConceptProperty",""
"VSPOS","True","a7f04c04-27a2-4214-b5aa-a804e2f5cfa6","BiomedicalConceptProperty_113","True","VSPOS","BiomedicalConceptProperty",""
"VSLOC","True","11d3776c-faf0-4a7b-96c3-078490bbf36d","BiomedicalConceptProperty_114","True","VSLOC","BiomedicalConceptProperty",""
"VSLAT","True","441b76ab-87bc-434c-ac46-b291d3460210","BiomedicalConceptProperty_115","True","VSLAT","BiomedicalConceptProperty",""
