"codeSystem","decode","codeSystemVersion","uuid:ID","id","code"
"http://www.cdisc.org","Open Label Study","2023-09-29","8e8e94f2-3c24-4a58-985a-38744e595200","Code_41","C49659"
"http://www.cdisc.org","Trial Screening","2023-09-29","52e43e15-9bc0-4ecf-8299-394a49bf00c2","Code_35","C48262"
"http://www.cdisc.org","Baseline Epoch","2023-09-29","952cc8ba-be1d-4828-bc6e-ad9dbfbee79b","Code_36","C125938"
"http://www.cdisc.org","Treatment Epoch","2023-09-29","1431c971-6085-4d3e-a91b-5868d9eddb9d","Code_37","C101526"
"http://www.cdisc.org","Clinical Study Follow-up","2023-09-29","38a046ea-6b77-491a-9b16-446a9f5286b0","Code_38","C99158"
"SNOMED","Indication1","January 31, 2018","59ab8bee-c927-4029-b7a6-89b9baaab466","Code_83","12345"
"SNOMED","Indication2","January 31, 2018","30b4d65d-6917-4b85-8de3-5255f221a912","Code_84","345678"
"M11","role1","None set","d04728b4-1b78-4e55-9e08-bb087f07e126","Code_90","role1"
"http://www.cdisc.org","Pharmacologic Substance","2023-09-29","aec102d5-7feb-4abc-9f75-950f4fd58011","Code_91","C1909"
"http://www.cdisc.org","Day","2023-09-29","9f3d7577-f557-45d8-8a66-a2a4d6a7d67f","Code_94","C25301"
"SPONSOR","B","12","673c465e-077e-48f3-ac59-471009f5460c","Code_89","A"
"http://www.cdisc.org","Percentage","2023-09-29","ec69c788-fea8-4a76-89db-f39f46194cf9","Code_85","C25613"
"http://www.cdisc.org","Milligram","2023-09-29","9e141f6c-7f97-4321-8506-242641c26304","Code_87","C28253"
"http://www.cdisc.org","Dental Route of Administration","2023-09-29","2e35c1f4-a8b8-49df-8d74-40ea54cdfe80","Code_86","C38197"
"http://www.cdisc.org","Ten Days Per Month","2023-09-29","f5a7f1df-afad-4cf1-b97d-36af8618abea","Code_88","C139179"
"M11","desig_1","None set","6bbf797f-3101-42eb-be58-0c7772b3b1a1","Code_93","desig1"
"FDA","B","None set","b8a6375b-f6b0-401a-a514-77d6c46be83f","Code_92","A"
"M11","role2","None set","7a1e3117-b718-46d2-b5e4-944482a23f33","Code_100","role2"
"http://www.cdisc.org","Pharmacologic Substance","2023-09-29","62486c3e-0b11-4b2a-b2c7-e44f5f6726ef","Code_101","C1909"
"http://www.cdisc.org","Day","2023-09-29","190db069-097b-4a22-891c-b7d5cdd62caf","Code_104","C25301"
"SPONSOR","B","12","40fcbaad-a868-4132-b4fb-1a1f7dc8c538","Code_99","A"
"http://www.cdisc.org","Percentage","2023-09-29","8c842962-523d-45c3-87c7-55ccf662c601","Code_95","C25613"
"http://www.cdisc.org","Milligram","2023-09-29","732a9142-5bda-4168-9049-d4348fb7d53b","Code_97","C28253"
"http://www.cdisc.org","Dental Route of Administration","2023-09-29","27f8973f-e19d-4653-98a8-8cdaa43a68d3","Code_96","C38197"
"http://www.cdisc.org","Ten Days Per Month","2023-09-29","094869b1-cd03-48b3-87d9-0c3aac1e182c","Code_98","C139179"
"M11","desig_2","None set","762cb806-dca9-49f9-8c4e-d077b29e5eab","Code_103","desig2"
"FDA","B","None set","83c6671c-edcf-4fed-b0b9-cee6119af167","Code_102","A"
"http://www.cdisc.org","Trial Primary Objective","2023-09-29","791c12c9-2d29-48f4-9013-746975fb3cd2","Code_111","C85826"
"http://www.cdisc.org","Primary Endpoint","2023-09-29","284758bb-e092-4083-81a5-9fe84a69ddb7","Code_110","C94496"
"http://www.cdisc.org","Trial Secondary Objective","2023-09-29","8f216b01-46cf-4387-a7d1-7ee22c09f181","Code_113","C85827"
"http://www.cdisc.org","Secondary Endpoint","2023-09-29","6e84dc5b-0d59-44c5-b7ff-e3576d2cd62d","Code_112","C139173"
"http://www.cdisc.org","Secondary Endpoint","2023-09-29","81488297-77a7-44d4-9548-70d86b50d659","Code_114","C139173"
"http://www.cdisc.org","Secondary Endpoint","2023-09-29","135d6b83-fbea-40a0-ad1b-199c426ef0af","Code_115","C139173"
"http://www.cdisc.org","Secondary Endpoint","2023-09-29","636af3f2-0c95-457d-a996-fb614b38ede1","Code_116","C139173"
"http://www.cdisc.org","Secondary Endpoint","2023-09-29","9d4d70ac-98e2-424a-ac40-b3e42ac941c2","Code_117","C139173"
"http://www.cdisc.org","Secondary Endpoint","2023-09-29","13244394-6533-41b7-a1b0-3b3cde808c0c","Code_118","C139173"
"http://www.cdisc.org","Secondary Endpoint","2023-09-29","f0473d58-8b21-4175-91a3-0f3e76446719","Code_119","C139173"
"http://www.cdisc.org","Secondary Endpoint","2023-09-29","f987cb2b-4835-4183-8e4b-33c96645077d","Code_120","C139173"
"http://www.cdisc.org","Secondary Endpoint","2023-09-29","770f99cf-83aa-4041-963f-203c98072a2c","Code_121","C139173"
"http://www.cdisc.org","Secondary Endpoint","2023-09-29","5bdfa6f2-53d8-45fc-8e83-2a76c2ce493f","Code_122","C139173"
"http://www.cdisc.org","Secondary Endpoint","2023-09-29","e293b067-d80c-4595-933b-1068d5056ec1","Code_123","C139173"
"http://www.cdisc.org","Before","2023-09-29","c88a886b-cc43-4f99-9bae-d138b6bef544","Code_48","C201264"
"http://www.cdisc.org","Start to Start","2023-09-29","ce3a1fb6-be12-4871-98b6-ebeaa031e45f","Code_50","C201265"
"http://www.cdisc.org","Before","2023-09-29","1b30cc9a-51d3-4e54-8fea-c56d940f58d6","Code_53","C201264"
"http://www.cdisc.org","Start to Start","2023-09-29","0caee7c4-dbfe-4575-9d9b-64c82c8fe963","Code_55","C201265"
"http://www.cdisc.org","Fixed Reference","2023-09-29","6761b752-e106-41b9-bafa-5c9ea49268cf","Code_56","C201264"
"http://www.cdisc.org","Start to Start","2023-09-29","05b31ee3-76b5-44ee-b9ab-9189a8a0f25a","Code_60","C201265"
"http://www.cdisc.org","After","2023-09-29","eff7d60b-0d37-46ab-94f0-35ea8ad33b42","Code_62","C201264"
"http://www.cdisc.org","Start to Start","2023-09-29","c1c1c483-a25c-4ed6-8114-f33b01e24f65","Code_65","C201265"
"http://www.cdisc.org","After","2023-09-29","a500c89e-48f3-468a-8f41-532e3dd47a1a","Code_67","C201264"
"http://www.cdisc.org","Start to Start","2023-09-29","66b9a83c-051d-40d9-baa0-d55e17672785","Code_70","C201265"
"http://www.cdisc.org","Draft","2023-09-29","10d5d797-a829-4871-9e02-69ce6372bfca","Code_5","C85255"
"http://www.cdisc.org","Protocol Effective Date","2023-09-29","e83a7f7d-a842-4c36-bc73-68461da6b158","Code_8","C99903x1"
"http://www.cdisc.org","Global","2023-09-29","dd2b5858-d2c0-4d9b-9916-57ec7ad283a6","Code_9","C68846"
