"id","name","uuid:ID","isRequired","datatype","isEnabled","instanceType","label"
"BiomedicalConceptProperty_50","LBFAST","fd9aa45d-22b6-4b4d-a6ba-f60097a8bbc3","True","","True","BiomedicalConceptProperty","LBFAST"
"BiomedicalConceptProperty_51","LBTESTCD","b3fd9639-9ba7-4be7-ab6b-a3c1f51b05c8","True","","True","BiomedicalConceptProperty","LBTESTCD"
"BiomedicalConceptProperty_52","LBORRES","a1dee82a-49ef-46d9-a5f4-059cbedfefe3","True","text","True","BiomedicalConceptProperty","LBORRES"
"BiomedicalConceptProperty_53","LBSPEC","2fd9e3bf-80be-4e4e-9b52-a6b20e764eda","True","","True","BiomedicalConceptProperty","LBSPEC"
"BiomedicalConceptProperty_54","LBFAST","0d2531a5-1613-421b-aa80-38a5fa6e4903","True","","True","BiomedicalConceptProperty","LBFAST"
"BiomedicalConceptProperty_55","LBTESTCD","4f64f17d-d61c-48cd-a24e-97a38a214da9","True","","True","BiomedicalConceptProperty","LBTESTCD"
"BiomedicalConceptProperty_56","LBORRES","74c15e12-f393-4bee-a34b-835d9699c03b","True","float","True","BiomedicalConceptProperty","LBORRES"
"BiomedicalConceptProperty_57","LBORRESU","196ec8de-d1ad-4278-bd17-93f8a8567668","True","","True","BiomedicalConceptProperty","LBORRESU"
"BiomedicalConceptProperty_58","LBSPEC","70a2e14b-e03d-4d4c-96a6-e49422affdfe","True","","True","BiomedicalConceptProperty","LBSPEC"
"BiomedicalConceptProperty_59","LBFAST","db1c9aeb-a19f-4b20-bf95-9b9512b0e0e5","True","","True","BiomedicalConceptProperty","LBFAST"
"BiomedicalConceptProperty_60","LBTESTCD","21db0799-5a98-405f-99b8-95635ebe8403","True","","True","BiomedicalConceptProperty","LBTESTCD"
"BiomedicalConceptProperty_61","LBORRES","995a3eb8-096c-4cf1-8848-f3ee88029836","True","float","True","BiomedicalConceptProperty","LBORRES"
"BiomedicalConceptProperty_62","LBORRESU","1f1a8e1c-1da4-41b4-bb4b-6e0abf1b3ca3","True","","True","BiomedicalConceptProperty","LBORRESU"
"BiomedicalConceptProperty_63","LBSPEC","43c5184d-653e-4b05-9fec-b2b46e1656ea","True","","True","BiomedicalConceptProperty","LBSPEC"
"BiomedicalConceptProperty_64","LBFAST","99ef26b6-6b28-4e2c-a623-9edcb309a11f","True","","True","BiomedicalConceptProperty","LBFAST"
"BiomedicalConceptProperty_65","LBTESTCD","3afba74b-7861-4f89-8f2a-6db33ace2d9b","True","","True","BiomedicalConceptProperty","LBTESTCD"
"BiomedicalConceptProperty_66","LBORRES","b71a149e-d8fa-4681-826f-7ee5d46117f4","True","float","True","BiomedicalConceptProperty","LBORRES"
"BiomedicalConceptProperty_67","LBORRESU","310f768e-009d-4303-a7ac-0a38b0c82f35","True","","True","BiomedicalConceptProperty","LBORRESU"
"BiomedicalConceptProperty_68","LBSPEC","0f675ee7-28ca-460f-a4e0-ab59a4c36c4c","True","","True","BiomedicalConceptProperty","LBSPEC"
"BiomedicalConceptProperty_69","LBFAST","fe6a777b-9766-4715-92c7-542ed041873c","True","","True","BiomedicalConceptProperty","LBFAST"
"BiomedicalConceptProperty_70","LBTESTCD","8a5c10e6-531d-45c2-a52d-445c072a913a","True","","True","BiomedicalConceptProperty","LBTESTCD"
"BiomedicalConceptProperty_71","LBORRES","9c7f7bc9-d268-4d04-80a5-b8baf4682506","True","float","True","BiomedicalConceptProperty","LBORRES"
"BiomedicalConceptProperty_72","LBORRESU","bc247d38-4b5e-4921-8cb4-6c7881602d25","True","","True","BiomedicalConceptProperty","LBORRESU"
"BiomedicalConceptProperty_73","LBSPEC","ab2ea861-02f3-444c-991d-8199a88d53e2","True","","True","BiomedicalConceptProperty","LBSPEC"
"BiomedicalConceptProperty_74","LBFAST","40765dc8-3e6d-46c5-b00d-f96b05d2e96f","True","","True","BiomedicalConceptProperty","LBFAST"
"BiomedicalConceptProperty_75","LBTESTCD","59fe9244-3ad0-4447-b3ce-928b174a7400","True","","True","BiomedicalConceptProperty","LBTESTCD"
"BiomedicalConceptProperty_76","LBORRES","b5594a20-3d5e-4dd3-a5d4-75de601271c0","True","float","True","BiomedicalConceptProperty","LBORRES"
"BiomedicalConceptProperty_77","LBORRESU","eb3803e1-5a79-47cd-81a8-59dfa69c369f","True","","True","BiomedicalConceptProperty","LBORRESU"
"BiomedicalConceptProperty_78","LBSPEC","3a73e0eb-761c-40de-94f7-9dad93452ee2","True","","True","BiomedicalConceptProperty","LBSPEC"
"BiomedicalConceptProperty_79","LBFAST","f577b0b0-eea8-4921-8603-8951775b3e93","True","","True","BiomedicalConceptProperty","LBFAST"
"BiomedicalConceptProperty_80","VSTESTCD","6bd5e5fd-bae9-4fe4-b33c-7b50b153cd07","True","","True","BiomedicalConceptProperty","VSTESTCD"
"BiomedicalConceptProperty_81","VSORRES","f04d60dc-091f-4e96-bda3-25204437c1a2","True","integer","True","BiomedicalConceptProperty","VSORRES"
"BiomedicalConceptProperty_82","VSORRESU","fb1ac38a-685c-4ad8-b2f1-e5edef312b44","True","","True","BiomedicalConceptProperty","VSORRESU"
"BiomedicalConceptProperty_83","VSPOS","2bae089d-0979-4a02-ae5a-fa98546ecee9","True","","True","BiomedicalConceptProperty","VSPOS"
"BiomedicalConceptProperty_84","VSLOC","01838caa-511c-43ae-bd6c-dab9e5ea697a","True","","True","BiomedicalConceptProperty","VSLOC"
"BiomedicalConceptProperty_85","VSLAT","16c293a8-6871-469c-84ea-3b882b0c5593","True","","True","BiomedicalConceptProperty","VSLAT"
"BiomedicalConceptProperty_86","VSTESTCD","6d48da2d-e139-4f81-9271-de25a169d9f9","True","","True","BiomedicalConceptProperty","VSTESTCD"
"BiomedicalConceptProperty_87","VSORRES","57c57e17-0694-4352-adae-3b6c986a01fd","True","integer","True","BiomedicalConceptProperty","VSORRES"
"BiomedicalConceptProperty_88","VSORRESU","9d4b2242-6bc4-48f3-8f08-4235ae98a082","True","","True","BiomedicalConceptProperty","VSORRESU"
"BiomedicalConceptProperty_89","VSPOS","08ed9f9c-3566-43d2-b545-15c6a04636df","True","","True","BiomedicalConceptProperty","VSPOS"
"BiomedicalConceptProperty_90","VSLOC","5bd83aaa-fd8b-4af1-8bf9-6b788cb91697","True","","True","BiomedicalConceptProperty","VSLOC"
"BiomedicalConceptProperty_91","VSLAT","986245e8-92fd-4450-b6f6-03e6b9650a03","True","","True","BiomedicalConceptProperty","VSLAT"
"BiomedicalConceptProperty_92","VSTESTCD","b3eb2576-1862-479b-b76c-141c698c9200","True","","True","BiomedicalConceptProperty","VSTESTCD"
"BiomedicalConceptProperty_93","VSORRES","ef2f252d-9ddd-4f47-a6a8-94d4c3d91ba3","True","integer","True","BiomedicalConceptProperty","VSORRES"
"BiomedicalConceptProperty_94","VSORRESU","3262d05a-0d5f-4251-99b6-c1bcdbed0307","True","","True","BiomedicalConceptProperty","VSORRESU"
"BiomedicalConceptProperty_95","VSPOS","c15d8878-4458-4e43-a5e7-27b560406253","True","","True","BiomedicalConceptProperty","VSPOS"
"BiomedicalConceptProperty_96","VSLOC","cec094c2-69cc-481c-bb71-f3db05258f81","True","","True","BiomedicalConceptProperty","VSLOC"
"BiomedicalConceptProperty_97","VSLAT","12a91fbe-c347-4ad3-a8d5-8d8e5c080d1e","True","","True","BiomedicalConceptProperty","VSLAT"
"BiomedicalConceptProperty_98","VSTESTCD","a351c5a5-a284-41a4-a42c-a0d00382c077","True","","True","BiomedicalConceptProperty","VSTESTCD"
"BiomedicalConceptProperty_99","VSORRES","90eeac1a-24df-4b6d-aa2a-d1959bbf282a","True","integer","True","BiomedicalConceptProperty","VSORRES"
"BiomedicalConceptProperty_100","VSORRESU","9e49dbd9-1eea-4cdc-ba01-2d6cc31eb0cf","True","","True","BiomedicalConceptProperty","VSORRESU"
"BiomedicalConceptProperty_101","VSPOS","f93e10da-7049-4f0d-8861-21d0313129a3","True","","True","BiomedicalConceptProperty","VSPOS"
