"name","label","isEnabled","datatype","id","instanceType","isRequired","uuid:ID"
"LBORRES","LBORRES","True","float","BiomedicalConceptProperty_151","BiomedicalConceptProperty","True","6766f4b2-fbe6-4446-9b1c-c6cf9f3fe06f"
"LBORRESU","LBORRESU","True","","BiomedicalConceptProperty_152","BiomedicalConceptProperty","True","578687ed-43ee-41ab-af11-027af15365b1"
"LBSPEC","LBSPEC","True","","BiomedicalConceptProperty_153","BiomedicalConceptProperty","True","5eb3ddcc-9c09-442b-98b4-0a50f0ed9bf4"
"LBFAST","LBFAST","True","","BiomedicalConceptProperty_154","BiomedicalConceptProperty","True","c922b305-3feb-4dbc-82fd-7a3e97c691d4"
"LBTESTCD","LBTESTCD","True","","BiomedicalConceptProperty_155","BiomedicalConceptProperty","True","e36d7754-3a09-4fe4-a2a1-a0703c4afb64"
"LBORRES","LBORRES","True","float","BiomedicalConceptProperty_156","BiomedicalConceptProperty","True","472daeff-e3fb-41ad-8924-ce42cc15274d"
"LBORRESU","LBORRESU","True","","BiomedicalConceptProperty_157","BiomedicalConceptProperty","True","ee680d9d-4725-4466-888b-05395e88628d"
"LBSPEC","LBSPEC","True","","BiomedicalConceptProperty_158","BiomedicalConceptProperty","True","f0431115-39e7-4cc4-aa2d-f53bc5c95465"
"LBFAST","LBFAST","True","","BiomedicalConceptProperty_159","BiomedicalConceptProperty","True","d894ed64-5e44-4cfd-ae6b-8357d87e9311"
"LBTESTCD","LBTESTCD","True","","BiomedicalConceptProperty_160","BiomedicalConceptProperty","True","92786146-c127-43db-a8aa-a0d960bffde8"
"LBORRES","LBORRES","True","float","BiomedicalConceptProperty_161","BiomedicalConceptProperty","True","5c59399b-aba4-4283-a17f-eb83d3ba87b4"
"LBORRESU","LBORRESU","True","","BiomedicalConceptProperty_162","BiomedicalConceptProperty","True","009d84cd-1660-4c65-b308-e26afe6c2a63"
"LBSPEC","LBSPEC","True","","BiomedicalConceptProperty_163","BiomedicalConceptProperty","True","4d2a1908-5fb7-4544-afbd-bdf7dc46cd99"
"LBFAST","LBFAST","True","","BiomedicalConceptProperty_164","BiomedicalConceptProperty","True","87a620b4-1745-4793-b6fd-43fabefb294c"
"LBTESTCD","LBTESTCD","True","","BiomedicalConceptProperty_165","BiomedicalConceptProperty","True","6d307360-3afd-4cde-ba36-be21f917c119"
"LBORRES","LBORRES","True","float","BiomedicalConceptProperty_166","BiomedicalConceptProperty","True","22c002b4-7df2-4394-b129-865df91d602c"
"LBORRESU","LBORRESU","True","","BiomedicalConceptProperty_167","BiomedicalConceptProperty","True","25e8e649-5dec-4511-901a-5f05a4242566"
"LBSPEC","LBSPEC","True","","BiomedicalConceptProperty_168","BiomedicalConceptProperty","True","e4c0fe89-43fa-4b73-bf75-30b5188da68b"
"LBFAST","LBFAST","True","","BiomedicalConceptProperty_169","BiomedicalConceptProperty","True","dbefe70d-65e2-4442-b6c8-4c1eefa2d549"
"AETERM","AETERM","True","text","BiomedicalConceptProperty_1","BiomedicalConceptProperty","True","c79c71be-4d2d-41c8-a531-1b811542fa73"
"AEDECOD","AEDECOD","True","text","BiomedicalConceptProperty_2","BiomedicalConceptProperty","True","bbbf42c9-21a3-4f3f-bc0c-7ba4f3cb3b1e"
"AEPRESP","AEPRESP","True","text","BiomedicalConceptProperty_3","BiomedicalConceptProperty","True","348bdd71-de14-421c-9f5c-6f9580967b5e"
"AELOC","AELOC","True","text","BiomedicalConceptProperty_4","BiomedicalConceptProperty","True","78565678-cfe3-4395-8b32-be93b9b781e1"
"AESEV","AESEV","True","text","BiomedicalConceptProperty_5","BiomedicalConceptProperty","True","4daf53de-f2ff-43c7-b7a8-83be0b50b475"
"AESER","AESER","True","text","BiomedicalConceptProperty_6","BiomedicalConceptProperty","True","21e37c65-9d5e-4bee-b214-320d773d452a"
"AEACN","AEACN","True","text","BiomedicalConceptProperty_7","BiomedicalConceptProperty","True","ef508c4f-10d9-4ac5-a825-cde1a14065b7"
"AEACNOTH","AEACNOTH","True","text","BiomedicalConceptProperty_8","BiomedicalConceptProperty","True","d2559e0d-6d53-414c-841c-e8e570014d07"
"AEREL","AEREL","True","text","BiomedicalConceptProperty_9","BiomedicalConceptProperty","True","3aa8c689-16fb-49aa-a813-6048b6a43692"
"AERELNST","AERELNST","True","text","BiomedicalConceptProperty_10","BiomedicalConceptProperty","True","294c0732-c6b2-47ba-941f-6acfaca78e10"
"AEPATT","AEPATT","True","text","BiomedicalConceptProperty_11","BiomedicalConceptProperty","True","acad4487-22da-4def-9a81-4ba0ff902984"
"AEOUT","AEOUT","True","text","BiomedicalConceptProperty_12","BiomedicalConceptProperty","True","cb763d39-4a31-4057-9cb9-4726213da39e"
"AESCAN","AESCAN","True","text","BiomedicalConceptProperty_13","BiomedicalConceptProperty","True","b405a043-dedf-4960-bd79-bcb13c2709c9"
"AESCONG","AESCONG","True","text","BiomedicalConceptProperty_14","BiomedicalConceptProperty","True","7ea4a63f-d6c8-4192-bbe9-fab39f4a69d6"
"AESDISAB","AESDISAB","True","text","BiomedicalConceptProperty_15","BiomedicalConceptProperty","True","93345e09-80ee-474e-9121-75ef69ac63b1"
"AESDTH","AESDTH","True","text","BiomedicalConceptProperty_16","BiomedicalConceptProperty","True","361d595c-55f6-4713-973a-267343a8915b"
"AESHOSP","AESHOSP","True","text","BiomedicalConceptProperty_17","BiomedicalConceptProperty","True","ec876280-1850-4c35-991c-ab7133ca9e87"
"AESLIFE","AESLIFE","True","text","BiomedicalConceptProperty_18","BiomedicalConceptProperty","True","69aca5ea-316d-4590-a0e6-c5b385918fb4"
"AESOD","AESOD","True","text","BiomedicalConceptProperty_19","BiomedicalConceptProperty","True","2acdda51-00c2-4447-99b1-5cd90f3d93dd"
"AESMIE","AESMIE","True","text","BiomedicalConceptProperty_20","BiomedicalConceptProperty","True","96c3c1f3-d58b-4887-a7f8-6757020fd608"
"AECONTRT","AECONTRT","True","text","BiomedicalConceptProperty_21","BiomedicalConceptProperty","True","2792b295-b22f-4911-8d43-511d308b6d15"
"AESTDTC","AESTDTC","True","datetime","BiomedicalConceptProperty_22","BiomedicalConceptProperty","True","c511b475-ba42-4bc0-a904-627cc708193b"
"AEENDTC","AEENDTC","True","datetime","BiomedicalConceptProperty_23","BiomedicalConceptProperty","True","41ef0bc3-649b-4c4b-a01b-56dcdf732882"
"VSTESTCD","VSTESTCD","True","","BiomedicalConceptProperty_24","BiomedicalConceptProperty","True","93d2ffcf-bb64-45db-9008-e1b23c590c0d"
"VSORRES","VSORRES","True","integer","BiomedicalConceptProperty_25","BiomedicalConceptProperty","True","a88c5482-50aa-44ee-aa32-a1dab70ddfb6"
"VSORRESU","VSORRESU","True","","BiomedicalConceptProperty_26","BiomedicalConceptProperty","True","21a899c2-346b-4204-a314-f68e1e0e7788"
"VSPOS","VSPOS","True","","BiomedicalConceptProperty_27","BiomedicalConceptProperty","True","af337f67-79af-401a-8193-d48c7281385b"
"VSLOC","VSLOC","True","","BiomedicalConceptProperty_28","BiomedicalConceptProperty","True","8ce77084-b185-40fe-8fa7-f9fbe6eb4d55"
"VSLAT","VSLAT","True","","BiomedicalConceptProperty_29","BiomedicalConceptProperty","True","0c4c59e9-3792-4391-acd1-55cb4853552e"
"VSTESTCD","VSTESTCD","True","","BiomedicalConceptProperty_30","BiomedicalConceptProperty","True","eea21f67-4f5e-440d-9a4f-a3bad98f574f"
"VSORRES","VSORRES","True","integer","BiomedicalConceptProperty_31","BiomedicalConceptProperty","True","85661a3d-0789-464c-829f-1ad9661c4000"
"VSORRESU","VSORRESU","True","","BiomedicalConceptProperty_32","BiomedicalConceptProperty","True","3c060a5c-2b52-4921-b22a-15a560193c1f"
"VSPOS","VSPOS","True","","BiomedicalConceptProperty_33","BiomedicalConceptProperty","True","d58df8c5-34ad-4167-90a1-170ffe1d6dfb"
"VSLOC","VSLOC","True","","BiomedicalConceptProperty_34","BiomedicalConceptProperty","True","bfc03099-cc29-43cc-b7c8-53274937fa6e"
"VSLAT","VSLAT","True","","BiomedicalConceptProperty_35","BiomedicalConceptProperty","True","fc5f6bea-1373-4f29-a10a-adbfd4c9fe11"
"VSTESTCD","VSTESTCD","True","","BiomedicalConceptProperty_36","BiomedicalConceptProperty","True","76923f7d-7d26-446a-850a-3e9e582195da"
"VSORRES","VSORRES","True","float","BiomedicalConceptProperty_37","BiomedicalConceptProperty","True","f0300a6a-9697-4d43-ac86-92a04bfef264"
"VSORRESU","VSORRESU","True","","BiomedicalConceptProperty_38","BiomedicalConceptProperty","True","ff011140-93d8-49a4-a0cf-538fa7b42c27"
"VSLOC","VSLOC","True","","BiomedicalConceptProperty_39","BiomedicalConceptProperty","True","570941b3-4685-47b6-9afd-30f67a6ede80"
"VSTESTCD","VSTESTCD","True","","BiomedicalConceptProperty_40","BiomedicalConceptProperty","True","ec8b9c2d-3006-4c91-90c6-ff4199835646"
"VSORRES","VSORRES","True","float","BiomedicalConceptProperty_41","BiomedicalConceptProperty","True","e2de0035-8e23-49a7-a77e-120db67ed564"
"VSORRESU","VSORRESU","True","","BiomedicalConceptProperty_42","BiomedicalConceptProperty","True","1f02963a-cba1-487b-aeb9-d92fcf426603"
"VSTESTCD","VSTESTCD","True","","BiomedicalConceptProperty_43","BiomedicalConceptProperty","True","f9d66f20-69ce-4125-ba6b-0d175f1ca701"
"VSORRES","VSORRES","True","float","BiomedicalConceptProperty_44","BiomedicalConceptProperty","True","164efa68-e5aa-4edd-83e9-13df53750070"
"VSORRESU","VSORRESU","True","","BiomedicalConceptProperty_45","BiomedicalConceptProperty","True","e5e4deb0-3bde-47c2-ae49-8d1c53c1623d"
"LBTESTCD","LBTESTCD","True","","BiomedicalConceptProperty_46","BiomedicalConceptProperty","True","7519ebf6-8e34-4462-a690-e86945849b61"
"LBORRES","LBORRES","True","float","BiomedicalConceptProperty_47","BiomedicalConceptProperty","True","4abe8379-1ac0-42ad-b0c8-a5a45d9834a6"
"LBORRESU","LBORRESU","True","","BiomedicalConceptProperty_48","BiomedicalConceptProperty","True","36a7ffcb-802a-4266-8dd4-43ecbefbb44c"
"LBSPEC","LBSPEC","True","","BiomedicalConceptProperty_49","BiomedicalConceptProperty","True","81229442-2451-45f9-89f9-831d4a3fc42b"
"LBFAST","LBFAST","True","","BiomedicalConceptProperty_50","BiomedicalConceptProperty","True","2d66480d-f422-4d3e-8f04-1790bfd88fcf"
"LBTESTCD","LBTESTCD","True","","BiomedicalConceptProperty_51","BiomedicalConceptProperty","True","498a767c-a7a7-485f-bf47-b52475f2e43e"
"LBORRES","LBORRES","True","text","BiomedicalConceptProperty_52","BiomedicalConceptProperty","True","fbe88d5b-7690-4210-bbad-106a405dfac1"
"LBSPEC","LBSPEC","True","","BiomedicalConceptProperty_53","BiomedicalConceptProperty","True","71353bee-3a50-4d5d-bcb4-658c6adcaadd"
"LBFAST","LBFAST","True","","BiomedicalConceptProperty_54","BiomedicalConceptProperty","True","f2b74309-3b28-4aaa-a0aa-97e44f6777a8"
"LBTESTCD","LBTESTCD","True","","BiomedicalConceptProperty_55","BiomedicalConceptProperty","True","6bbf829b-66b5-4afd-8609-0d5971c22a5e"
"LBORRES","LBORRES","True","float","BiomedicalConceptProperty_56","BiomedicalConceptProperty","True","a8cc21b6-870b-4364-8d8c-07066735f066"
"LBORRESU","LBORRESU","True","","BiomedicalConceptProperty_57","BiomedicalConceptProperty","True","f0c79844-5f13-4211-9a11-a8cfed8d1ee0"
"LBSPEC","LBSPEC","True","","BiomedicalConceptProperty_58","BiomedicalConceptProperty","True","f7b2cf2c-949c-4bd5-993a-e18af0637b9d"
"LBFAST","LBFAST","True","","BiomedicalConceptProperty_59","BiomedicalConceptProperty","True","16eb618b-e434-455d-8a4b-040494b982e0"
"LBTESTCD","LBTESTCD","True","","BiomedicalConceptProperty_60","BiomedicalConceptProperty","True","18fa83f6-72bc-4b1a-ae4c-c0e3bb72a791"
"LBORRES","LBORRES","True","float","BiomedicalConceptProperty_61","BiomedicalConceptProperty","True","5d60f925-78ed-4d63-b950-c275ec6bf111"
"LBORRESU","LBORRESU","True","","BiomedicalConceptProperty_62","BiomedicalConceptProperty","True","412d2236-64d3-433d-8e74-e80709cdab04"
"LBSPEC","LBSPEC","True","","BiomedicalConceptProperty_63","BiomedicalConceptProperty","True","ebc5db6f-8e44-4b8b-9946-0c2dd3c1d6f1"
"LBFAST","LBFAST","True","","BiomedicalConceptProperty_64","BiomedicalConceptProperty","True","51393548-4ae2-43c9-9d72-1d2326fe7f71"
"LBTESTCD","LBTESTCD","True","","BiomedicalConceptProperty_65","BiomedicalConceptProperty","True","a431e672-3919-451a-a894-ad9a7beaa1d7"
"LBORRES","LBORRES","True","float","BiomedicalConceptProperty_66","BiomedicalConceptProperty","True","fefee88e-0b06-41c1-b40a-a9c134d0b845"
"LBORRESU","LBORRESU","True","","BiomedicalConceptProperty_67","BiomedicalConceptProperty","True","73f1998e-3152-4448-ad6d-7e5e9b55e1da"
"LBSPEC","LBSPEC","True","","BiomedicalConceptProperty_68","BiomedicalConceptProperty","True","f769588a-c27f-498d-be96-14b018a47888"
"LBFAST","LBFAST","True","","BiomedicalConceptProperty_69","BiomedicalConceptProperty","True","024526b5-b6c5-4d4c-8af7-cce4e7180246"
"LBTESTCD","LBTESTCD","True","","BiomedicalConceptProperty_70","BiomedicalConceptProperty","True","69ba64c0-01fc-4a62-b9a2-4990dbe71f2f"
"LBORRES","LBORRES","True","float","BiomedicalConceptProperty_71","BiomedicalConceptProperty","True","fd2664c2-0072-4969-bb57-8d8c236961c7"
"LBORRESU","LBORRESU","True","","BiomedicalConceptProperty_72","BiomedicalConceptProperty","True","513fc4c7-2391-40d4-86c7-74ee52cf0687"
"LBSPEC","LBSPEC","True","","BiomedicalConceptProperty_73","BiomedicalConceptProperty","True","87e3647f-79ce-4c0b-84b0-c5283065d2cc"
"LBFAST","LBFAST","True","","BiomedicalConceptProperty_74","BiomedicalConceptProperty","True","f7afb24a-25a4-4b13-835a-f74f3f5723a0"
"LBTESTCD","LBTESTCD","True","","BiomedicalConceptProperty_75","BiomedicalConceptProperty","True","e5a80e99-c2f0-4f08-ae2f-90fee8a5c1b0"
"LBORRES","LBORRES","True","float","BiomedicalConceptProperty_76","BiomedicalConceptProperty","True","5655bb22-470d-46e2-8810-c7c690da8b16"
"LBORRESU","LBORRESU","True","","BiomedicalConceptProperty_77","BiomedicalConceptProperty","True","e8e85c38-c6ea-4c4d-8f67-62d5fbf6a215"
"LBSPEC","LBSPEC","True","","BiomedicalConceptProperty_78","BiomedicalConceptProperty","True","c80a2d39-f9d2-4e9e-91f7-c5c4eba03ee6"
"LBFAST","LBFAST","True","","BiomedicalConceptProperty_79","BiomedicalConceptProperty","True","54243095-b1e2-4f4b-8414-6dc5d7db82ee"
"VSTESTCD","VSTESTCD","True","","BiomedicalConceptProperty_80","BiomedicalConceptProperty","True","e7663470-9245-4681-81d5-16b910092910"
"VSORRES","VSORRES","True","integer","BiomedicalConceptProperty_81","BiomedicalConceptProperty","True","675c593f-9695-41de-8204-f8bb1e6b1d83"
"VSORRESU","VSORRESU","True","","BiomedicalConceptProperty_82","BiomedicalConceptProperty","True","52f1eea0-4ddb-41ee-ae3e-f36dc8e1e075"
"VSPOS","VSPOS","True","","BiomedicalConceptProperty_83","BiomedicalConceptProperty","True","1397e9c4-9a32-48b4-b965-45218fdc05a1"
"VSLOC","VSLOC","True","","BiomedicalConceptProperty_84","BiomedicalConceptProperty","True","6583e4e6-2863-49b6-853c-919d0a9b79b0"
"VSLAT","VSLAT","True","","BiomedicalConceptProperty_85","BiomedicalConceptProperty","True","d8bfdca1-2753-4ede-8ab9-a154bb7c2392"
"VSTESTCD","VSTESTCD","True","","BiomedicalConceptProperty_86","BiomedicalConceptProperty","True","fd464e79-6464-4c5e-8ddf-6b383bc7bc96"
"VSORRES","VSORRES","True","integer","BiomedicalConceptProperty_87","BiomedicalConceptProperty","True","19c3f7d2-eb4b-4654-bbba-c7b5527838e0"
"VSORRESU","VSORRESU","True","","BiomedicalConceptProperty_88","BiomedicalConceptProperty","True","9573f1d8-d225-4ac7-bf1d-9771090c98bb"
"VSPOS","VSPOS","True","","BiomedicalConceptProperty_89","BiomedicalConceptProperty","True","e63a36ce-5bb4-48f6-a539-109b2d96c9d8"
"VSLOC","VSLOC","True","","BiomedicalConceptProperty_90","BiomedicalConceptProperty","True","31aaae85-1a2e-4001-8efb-1902c0ac1116"
"VSLAT","VSLAT","True","","BiomedicalConceptProperty_91","BiomedicalConceptProperty","True","bc540314-8a96-4aa0-9bd9-04e366706e24"
"VSTESTCD","VSTESTCD","True","","BiomedicalConceptProperty_92","BiomedicalConceptProperty","True","86bf7e97-2dca-4096-8d0a-82970c347d74"
"VSORRES","VSORRES","True","integer","BiomedicalConceptProperty_93","BiomedicalConceptProperty","True","fcd86d70-a099-40b7-a24c-6e7f37c34d57"
"VSORRESU","VSORRESU","True","","BiomedicalConceptProperty_94","BiomedicalConceptProperty","True","8d01970e-b126-46d5-b99f-4bf5e1f53f01"
"VSPOS","VSPOS","True","","BiomedicalConceptProperty_95","BiomedicalConceptProperty","True","8d01cacf-d795-438c-b8e9-95c5d751763a"
"VSLOC","VSLOC","True","","BiomedicalConceptProperty_96","BiomedicalConceptProperty","True","a0b41442-9a3f-481d-b81e-374a4d2e02cb"
"VSLAT","VSLAT","True","","BiomedicalConceptProperty_97","BiomedicalConceptProperty","True","e3994fc4-55d1-4dbc-993f-cf1ed92c5a4a"
"VSTESTCD","VSTESTCD","True","","BiomedicalConceptProperty_98","BiomedicalConceptProperty","True","191d79cf-a1b7-4a83-aba8-585dbd9834ba"
"VSORRES","VSORRES","True","integer","BiomedicalConceptProperty_99","BiomedicalConceptProperty","True","08f33eca-41c9-4316-85ca-5c3e8211376e"
"VSORRESU","VSORRESU","True","","BiomedicalConceptProperty_100","BiomedicalConceptProperty","True","8cfc4e15-9597-4432-85b0-70ff6debeda1"
"VSPOS","VSPOS","True","","BiomedicalConceptProperty_101","BiomedicalConceptProperty","True","02cb27f7-2015-4637-b2d5-58c9b5d5376e"
"VSLOC","VSLOC","True","","BiomedicalConceptProperty_102","BiomedicalConceptProperty","True","13a3b7b1-ac94-4fa5-83e1-c55d327b7538"
"VSLAT","VSLAT","True","","BiomedicalConceptProperty_103","BiomedicalConceptProperty","True","f46bc104-742d-43a7-a876-3b0692791743"
"VSTESTCD","VSTESTCD","True","","BiomedicalConceptProperty_104","BiomedicalConceptProperty","True","e66a73d9-fe66-4be1-a113-db88c18ecef4"
"VSORRES","VSORRES","True","integer","BiomedicalConceptProperty_105","BiomedicalConceptProperty","True","c7507b94-f3fd-4e3a-80d6-40dcf2518033"
"VSORRESU","VSORRESU","True","","BiomedicalConceptProperty_106","BiomedicalConceptProperty","True","bceaff3e-9f7a-4a6f-b12b-ca16b880c82b"
"VSPOS","VSPOS","True","","BiomedicalConceptProperty_107","BiomedicalConceptProperty","True","660c09c3-1837-4975-a52a-c60eae8b26c3"
"VSLOC","VSLOC","True","","BiomedicalConceptProperty_108","BiomedicalConceptProperty","True","10440c20-882a-4a79-a8bf-6743ec162225"
"VSLAT","VSLAT","True","","BiomedicalConceptProperty_109","BiomedicalConceptProperty","True","b0c389c5-cc9c-47b6-a5e7-8579462a6f27"
"VSTESTCD","VSTESTCD","True","","BiomedicalConceptProperty_110","BiomedicalConceptProperty","True","31602dc8-f7f4-4eac-9a7d-b0806d6d8ccb"
"VSORRES","VSORRES","True","integer","BiomedicalConceptProperty_111","BiomedicalConceptProperty","True","9662af3b-1c39-4714-b231-d56661820e59"
"VSORRESU","VSORRESU","True","","BiomedicalConceptProperty_112","BiomedicalConceptProperty","True","42e4ebf9-3254-410b-9acb-044c9f30332d"
"VSPOS","VSPOS","True","","BiomedicalConceptProperty_113","BiomedicalConceptProperty","True","28fac4e9-3461-4822-bc1b-3feac28036ff"
"VSLOC","VSLOC","True","","BiomedicalConceptProperty_114","BiomedicalConceptProperty","True","7e1224d7-c33d-48d5-af57-9adbaf26a3db"
"VSLAT","VSLAT","True","","BiomedicalConceptProperty_115","BiomedicalConceptProperty","True","2a241623-2508-4151-b083-29e0064177f5"
