"id","code","decode","codeSystemVersion","uuid:ID","codeSystem"
"Code_77","C17998","Unknown","2023-09-29","0060b44c-024c-41e3-8f86-1ede1a144f47","http://www.cdisc.org"
"Code_78","C17049","Race","","4bbdd11e-6968-41f7-adc6-8409dca7c411","NCI Thesaurus"
"Code_76","C17049","Race","","59904f2c-305c-4e13-a2fb-365440f0071e","NCI Thesaurus"
"Code_80","C173522","Vital Signs Result","","84341259-f1eb-4ca5-97ae-0d6b31b9fb97","NCI Thesaurus"
"Code_81","C28252","Kilogram","2023-09-29","17f0e8be-faa8-449b-ae2f-2f4b5d36abec","http://www.cdisc.org"
"Code_82","C48155","Gram","2023-09-29","1a9d7b9d-8c08-4508-b098-645e6b3a611f","http://www.cdisc.org"
"Code_83","C48531","Pound","2023-09-29","4bf89a00-e915-4016-a2c9-fb9521e35bf5","http://www.cdisc.org"
"Code_84","C48208","Unit of Weight","","4f2cbd47-23bd-4ab4-b3ba-7422a58d79aa","NCI Thesaurus"
"Code_79","C81328","Body Weight","","9a9c7ed8-9c90-4f6d-a5e1-684bd6db2e2d","NCI Thesaurus"
"Code_31","C174267","Active Comparator Arm","2023-09-29","85918545-a285-4eda-9791-2f62f26b6384","http://www.cdisc.org"
"Code_32","C188866","Data Generated Within Study","2023-09-29","ddf5e4bd-8af8-41bf-8cd4-b0d28bfd79c0","http://www.cdisc.org"
"Code_33","C174268","Placebo Comparator Arm","2023-09-29","42eb8388-16f9-40d1-a6f9-86aa1546b4ba","http://www.cdisc.org"
"Code_34","C188866","Data Generated Within Study","2023-09-29","762896e2-1a80-4308-91f8-bfabd3730811","http://www.cdisc.org"
"Code_41","C49659","Open Label Study","2023-09-29","3aa67f24-de1b-45e5-ac01-dd3b416e2b40","http://www.cdisc.org"
"Code_35","C48262","Trial Screening","2023-09-29","4153fdde-d9dc-4cfe-8dee-06fe7731ff6c","http://www.cdisc.org"
"Code_36","C125938","Baseline Epoch","2023-09-29","b5bd152d-d4e3-40aa-b96c-486967141c49","http://www.cdisc.org"
"Code_37","C101526","Treatment Epoch","2023-09-29","e816ac50-7853-4916-8bcb-c55b4b24b1eb","http://www.cdisc.org"
"Code_38","C99158","Clinical Study Follow-up","2023-09-29","c2f518ab-cac6-4dfe-939e-a46f589f0cfb","http://www.cdisc.org"
"Code_85","12345","Indication1","January 31, 2018","f1613875-6bed-41f1-8d20-09d2ede92ff6","SNOMED"
"Code_88","345678","Indication2","January 31, 2018","08c2da4b-4408-4210-b93a-563a661aa340","SNOMED"
"Code_86","X","Y","None set","26c5ad1d-5902-4eba-bbdc-d3c1e971fc49","ICD-10"
"Code_87","A","B","January 31, 2018","399d0373-ed5f-4838-a5e6-82c2969d104e","SNOMED"
"Code_89","DD","CC","None set","7af81826-271b-4c92-aaf0-fe6f7f9f94df","ICD-10"
"Code_90","A","B","January 31, 2018","6dc12968-bfd1-4ac0-ab96-f833d385e769","SNOMED"
"Code_95","C85826","Trial Primary Objective","2023-09-29","d2cbaf6e-cfd6-46a9-9103-9737a2b25edd","http://www.cdisc.org"
"Code_94","C94496","Primary Endpoint","2023-09-29","6f268d4d-abe2-4553-8084-0759c016d2e3","http://www.cdisc.org"
"Code_97","C85827","Trial Secondary Objective","2023-09-29","1efd30f0-d451-4956-b379-d8c25f31f427","http://www.cdisc.org"
"Code_96","C139173","Secondary Endpoint","2023-09-29","007cda68-0f4e-4b6f-aa4f-6afec1164c16","http://www.cdisc.org"
"Code_98","C139173","Secondary Endpoint","2023-09-29","e4ae9d32-3401-4485-8611-7c9159942ae1","http://www.cdisc.org"
"Code_99","C139173","Secondary Endpoint","2023-09-29","efb1e140-b4dd-402f-acfe-4e7ed61d7c99","http://www.cdisc.org"
"Code_100","C139173","Secondary Endpoint","2023-09-29","410ce707-294e-4390-a1cd-30f3d1183b35","http://www.cdisc.org"
"Code_101","C139173","Secondary Endpoint","2023-09-29","5ec74856-d9e5-484e-a10b-9e78ff6293ba","http://www.cdisc.org"
"Code_102","C139173","Secondary Endpoint","2023-09-29","892b6dc4-da24-4625-a48e-d4de8920c7d8","http://www.cdisc.org"
"Code_103","C139173","Secondary Endpoint","2023-09-29","50ec7692-6c41-436d-9bdc-8389d4eb491a","http://www.cdisc.org"
"Code_104","C139173","Secondary Endpoint","2023-09-29","6fbb648c-1797-44c4-bf64-030d68d5713c","http://www.cdisc.org"
"Code_105","C139173","Secondary Endpoint","2023-09-29","027220d7-d0c2-4ce3-8348-336264eb38cd","http://www.cdisc.org"
"Code_106","C139173","Secondary Endpoint","2023-09-29","3f4184bb-c748-4540-a677-184020cf1645","http://www.cdisc.org"
"Code_107","C139173","Secondary Endpoint","2023-09-29","d017ef68-3385-46ba-b3bc-99a527c04e04","http://www.cdisc.org"
"Code_91","C49636","Both","2023-09-29","4cf4f72e-a636-41b5-8bc0-9dc07ea14353","http://www.cdisc.org"
"Code_92","C20197","Male","2023-09-29","b6fc55ba-da43-412b-86b1-565e4e5a9d3e","http://www.cdisc.org"
"Code_93","C16576","Female","2023-09-29","91417fca-3364-4606-8ace-33f630bcb4d8","http://www.cdisc.org"
"Code_48","C201264","Before","2023-09-29","1aad2fc9-a289-4bc7-8cb5-84cab6fe424e","http://www.cdisc.org"
"Code_50","C201265","Start to Start","2023-09-29","d138b60c-8255-4e20-bbab-575ab9eaaa31","http://www.cdisc.org"
"Code_53","C201264","Before","2023-09-29","8c520901-7319-4851-b983-b563c7a5f7a1","http://www.cdisc.org"
"Code_55","C201265","Start to Start","2023-09-29","aa0662c3-ea2f-4706-916d-f1b690ec64fd","http://www.cdisc.org"
"Code_56","C201264","Fixed Reference","2023-09-29","02cb18e5-93b6-48f3-9264-7253ce30cb45","http://www.cdisc.org"
"Code_60","C201265","Start to Start","2023-09-29","86ccc430-96a6-4261-b871-2ec62897e9b6","http://www.cdisc.org"
"Code_62","C201264","After","2023-09-29","d0f9df7d-25a2-4281-a53c-ad0a547899fd","http://www.cdisc.org"
"Code_65","C201265","Start to Start","2023-09-29","7914e192-e350-4c38-8564-3cfc499feef4","http://www.cdisc.org"
"Code_67","C201264","After","2023-09-29","a2a17f9d-a749-42aa-ad77-555181b382fa","http://www.cdisc.org"
"Code_70","C201265","Start to Start","2023-09-29","7966158d-ea20-4f84-8753-9971a32ac2ab","http://www.cdisc.org"
"Code_5","C85255","Draft","2023-09-29","6460c42e-76af-4319-9071-b362be31fe0e","http://www.cdisc.org"
"Code_8","C99903x1","Protocol Effective Date","2023-09-29","5a3c5c48-6f4c-4710-af29-0fe46c8ece70","http://www.cdisc.org"
"Code_9","C68846","Global","2023-09-29","42273820-64ed-4cd7-b295-911195c3ea8e","http://www.cdisc.org"
