"codeSystem","decode","uuid:ID","codeSystemVersion","id","code"
"http://www.cdisc.org","Secondary Endpoint","aaed3a10-bdc2-4d4c-a872-d538bd0af6de","2023-09-29","Code_114","C139173"
"http://www.cdisc.org","Secondary Endpoint","ccc5e1af-2373-41bd-827a-cbd188f3679e","2023-09-29","Code_115","C139173"
"http://www.cdisc.org","Secondary Endpoint","b33b5241-d0d7-427a-a17a-50f4f1c5ffbb","2023-09-29","Code_116","C139173"
"http://www.cdisc.org","Secondary Endpoint","90ba6f46-56a6-4321-81e7-b5b0a8281651","2023-09-29","Code_117","C139173"
"http://www.cdisc.org","Secondary Endpoint","b8c8eaa8-cc1b-4f25-907e-2a026a1539d4","2023-09-29","Code_118","C139173"
"http://www.cdisc.org","Secondary Endpoint","6f000784-23e0-492c-ab07-6ed5cdc727ff","2023-09-29","Code_119","C139173"
"http://www.cdisc.org","Secondary Endpoint","96f70031-722f-43bf-992e-21d69fc748c2","2023-09-29","Code_120","C139173"
"http://www.cdisc.org","Secondary Endpoint","623e2805-c637-4a90-bfd8-e1f178766ba5","2023-09-29","Code_121","C139173"
"http://www.cdisc.org","Secondary Endpoint","f1b5bf0a-4864-4674-be2f-1fbabfcc6487","2023-09-29","Code_122","C139173"
"http://www.cdisc.org","Secondary Endpoint","0e0e9167-03c9-416a-8b2f-057513d6f719","2023-09-29","Code_123","C139173"
"http://www.cdisc.org","Before","049a1cff-6e21-4c92-a1d5-ab50117072db","2023-09-29","Code_48","C201264"
"http://www.cdisc.org","Start to Start","1f249367-5e6e-45bc-a7eb-33bd13e9d3c7","2023-09-29","Code_50","C201265"
"http://www.cdisc.org","Before","41d345b0-9338-4611-ba9e-fc325a19ebab","2023-09-29","Code_53","C201264"
"http://www.cdisc.org","Start to Start","97d187aa-c401-471b-ab89-4e36c3df6273","2023-09-29","Code_55","C201265"
"http://www.cdisc.org","Fixed Reference","547656f9-d47a-489e-9a85-54b144a0be48","2023-09-29","Code_56","C201264"
"http://www.cdisc.org","Start to Start","a43927e5-d09e-4d35-a0bc-0f98f442020c","2023-09-29","Code_60","C201265"
"http://www.cdisc.org","After","37f5b453-e2a1-488d-8139-6a4b78bf40e3","2023-09-29","Code_62","C201264"
"http://www.cdisc.org","Start to Start","5c1400d7-d82e-4704-ac2d-d58184029d50","2023-09-29","Code_65","C201265"
"http://www.cdisc.org","After","464cdb93-95f0-40e3-967f-840004ed4f08","2023-09-29","Code_67","C201264"
"http://www.cdisc.org","Start to Start","9a5df91c-82cb-4e95-b34f-890982264b36","2023-09-29","Code_70","C201265"
"http://www.cdisc.org","Draft","a6ddf2fe-36f9-4d35-ab34-1b0a4d72b6bb","2023-09-29","Code_5","C85255"
"http://www.cdisc.org","Protocol Effective Date","638f8824-e74f-4cd6-9f01-326d49e35d8a","2023-09-29","Code_8","C99903x1"
"http://www.cdisc.org","Global","d62e1c92-b59c-4e23-9764-c9551e5201aa","2023-09-29","Code_9","C68846"
