"codeSystem","code","uuid:ID","codeSystemVersion","id","decode"
"NCI Thesaurus","C81328","e28b905c-5b33-45e3-8ed3-0c29a65c4a28","","Code_79","Body Weight"
"http://www.cdisc.org","C174267","e3f65ffb-07d4-47ed-ba39-40b15e645d55","2023-09-29","Code_31","Active Comparator Arm"
"http://www.cdisc.org","C188866","3b87f602-526d-4bde-b689-4bfbd9f67339","2023-09-29","Code_32","Data Generated Within Study"
"http://www.cdisc.org","C174268","6e930b60-8796-4a8b-b1c8-1968d72e4e2c","2023-09-29","Code_33","Placebo Comparator Arm"
"http://www.cdisc.org","C188866","1fe68a8a-6a9d-43c9-992f-e040554d0fd1","2023-09-29","Code_34","Data Generated Within Study"
"http://www.cdisc.org","C49659","58e9080f-8bc2-4137-86ff-c1d3c99ed844","2023-09-29","Code_41","Open Label Study"
"http://www.cdisc.org","C48262","dc460669-f7ff-430c-a54f-3e638836e670","2023-09-29","Code_35","Trial Screening"
"http://www.cdisc.org","C125938","efb587c2-1ca0-4980-b56f-ea9492a70ee2","2023-09-29","Code_36","Baseline Epoch"
"http://www.cdisc.org","C101526","6d9b4fdf-7ed6-4726-8737-3f6c4d3fe331","2023-09-29","Code_37","Treatment Epoch"
"http://www.cdisc.org","C99158","c3b5d766-85d6-4d7c-b58f-c6e128278ecd","2023-09-29","Code_38","Clinical Study Follow-up"
"SNOMED","12345","dd498cfb-ff99-4893-b9e7-db1348b28bb7","January 31, 2018","Code_85","Indication1"
"SNOMED","345678","4509d660-6f6f-48ec-a6b0-f7bc1594177b","January 31, 2018","Code_88","Indication2"
"ICD-10","X","9d3e5a03-08d4-45a5-b50d-7348f87b822a","None set","Code_86","Y"
"SNOMED","A","3c124a43-1f5e-40f9-af1b-40b065dad6b2","January 31, 2018","Code_87","B"
"ICD-10","DD","da6c2289-6cf1-4e86-adfa-8386c5c4b1d6","None set","Code_89","CC"
"SNOMED","A","b9687f8b-11cb-4be9-9330-540703a83be8","January 31, 2018","Code_90","B"
"http://www.cdisc.org","C85826","6579ee6e-acde-49ca-b51a-4ddc2bc7f798","2023-09-29","Code_95","Trial Primary Objective"
"http://www.cdisc.org","C94496","e60677e3-5aa9-4b77-b50c-14920e8a7a2a","2023-09-29","Code_94","Primary Endpoint"
"http://www.cdisc.org","C85827","386aef59-e153-4a91-9abb-55d53baba0fa","2023-09-29","Code_97","Trial Secondary Objective"
"http://www.cdisc.org","C139173","1c1a9ffb-f29a-4a2a-96f3-f7d5004b3bc4","2023-09-29","Code_96","Secondary Endpoint"
"http://www.cdisc.org","C139173","abc92b39-b480-4b55-a6b6-90d2a7c93d86","2023-09-29","Code_98","Secondary Endpoint"
"http://www.cdisc.org","C139173","a17f7b3d-ba15-4210-8798-6f6a94545f06","2023-09-29","Code_99","Secondary Endpoint"
"http://www.cdisc.org","C139173","47bf65ee-b63c-4fa2-b803-d67464b99b0c","2023-09-29","Code_100","Secondary Endpoint"
"http://www.cdisc.org","C139173","d41b1cd3-a00f-40f3-912b-3e0497296362","2023-09-29","Code_101","Secondary Endpoint"
"http://www.cdisc.org","C139173","6a1b844d-897e-49a5-9fc8-df698329f4d1","2023-09-29","Code_102","Secondary Endpoint"
"http://www.cdisc.org","C139173","00c87fbf-e192-4dd8-94f1-d3a8a9b44dd8","2023-09-29","Code_103","Secondary Endpoint"
"http://www.cdisc.org","C139173","ecfd9b1c-63ef-4afd-9663-fe3cde12bf88","2023-09-29","Code_104","Secondary Endpoint"
"http://www.cdisc.org","C139173","8bc59e60-480a-45e4-bea5-0bc1d38dd64c","2023-09-29","Code_105","Secondary Endpoint"
"http://www.cdisc.org","C139173","838fa728-b0b2-442f-9d5b-d890327d0606","2023-09-29","Code_106","Secondary Endpoint"
"http://www.cdisc.org","C139173","0b20a547-220e-4815-a966-7e8f5805a0fd","2023-09-29","Code_107","Secondary Endpoint"
"http://www.cdisc.org","C49636","9bfee4ff-d730-4115-ac7b-a51adcacee92","2023-09-29","Code_91","Both"
"http://www.cdisc.org","C20197","632a3369-3868-435d-83ab-723a39b420d0","2023-09-29","Code_92","Male"
"http://www.cdisc.org","C16576","c52a6b93-a2bf-42ef-954d-e11aa01e877f","2023-09-29","Code_93","Female"
"http://www.cdisc.org","C201264","fe8136f5-ab85-4ba2-91ad-202b4e4ca618","2023-09-29","Code_48","Before"
"http://www.cdisc.org","C201265","63211e58-9eec-4189-8bd9-f745aa6470cc","2023-09-29","Code_50","Start to Start"
"http://www.cdisc.org","C201264","864ce9e8-5f0f-4cb8-bc0c-b0bdceaa50ef","2023-09-29","Code_53","Before"
"http://www.cdisc.org","C201265","e85ed64d-5fbd-4900-915b-d560477a941c","2023-09-29","Code_55","Start to Start"
"http://www.cdisc.org","C201264","ba24e3d4-4168-4f89-8d33-42bdbddb2b45","2023-09-29","Code_56","Fixed Reference"
"http://www.cdisc.org","C201265","81787353-6589-419a-a457-90f76e3e0a24","2023-09-29","Code_60","Start to Start"
"http://www.cdisc.org","C201264","2f5032ae-aa75-41cd-8c3a-1b24bb3569a7","2023-09-29","Code_62","After"
"http://www.cdisc.org","C201265","854d56d7-7f24-4e59-864b-12c1eec39431","2023-09-29","Code_65","Start to Start"
"http://www.cdisc.org","C201264","fe04ab64-7adc-4b11-9d1f-beee04f14a56","2023-09-29","Code_67","After"
"http://www.cdisc.org","C201265","6eeaec92-8f14-4db3-841b-c7cf35719f92","2023-09-29","Code_70","Start to Start"
"http://www.cdisc.org","C85255","93ec835a-d56f-41f3-843c-0ce7ca81c5cc","2023-09-29","Code_5","Draft"
"http://www.cdisc.org","C99903x1","b7d0d2e7-e0a6-4d90-a51b-b927aae2141b","2023-09-29","Code_8","Protocol Effective Date"
"http://www.cdisc.org","C68846","c8aec7a6-a00c-4954-b2dc-12914e69d29a","2023-09-29","Code_9","Global"
