"label","uuid:ID","datatype","name","id","isRequired","instanceType","isEnabled"
"LBSPEC","3d411b69-7249-44c5-a29b-aa8eb6cfc896","","LBSPEC","BiomedicalConceptProperty_134","True","BiomedicalConceptProperty","True"
"LBFAST","ce138715-b25b-4f92-80de-c5cabd90b265","","LBFAST","BiomedicalConceptProperty_135","True","BiomedicalConceptProperty","True"
"LBTESTCD","82ac1393-5068-436c-b80b-97d5b301e7f5","","LBTESTCD","BiomedicalConceptProperty_136","True","BiomedicalConceptProperty","True"
"LBORRES","4f10e41d-feb1-4bc9-add6-ddf02c2b2064","text","LBORRES","BiomedicalConceptProperty_137","True","BiomedicalConceptProperty","True"
"LBSPEC","baf74f1d-9778-46f6-81ef-4d195f95f5e4","","LBSPEC","BiomedicalConceptProperty_138","True","BiomedicalConceptProperty","True"
"LBFAST","a445e989-6b3d-451a-8e07-216e67927e77","","LBFAST","BiomedicalConceptProperty_139","True","BiomedicalConceptProperty","True"
"LBTESTCD","21c3cb2d-521d-49e9-a4fa-6b8c3c3912f7","","LBTESTCD","BiomedicalConceptProperty_140","True","BiomedicalConceptProperty","True"
"LBORRES","b08ba962-d5fe-432d-9bb2-de1bd49e517d","float","LBORRES","BiomedicalConceptProperty_141","True","BiomedicalConceptProperty","True"
"LBORRESU","da228db4-5349-45d7-8839-a3a922f3c6f5","","LBORRESU","BiomedicalConceptProperty_142","True","BiomedicalConceptProperty","True"
"LBSPEC","168dc7a8-59cd-431a-8441-ce00e9f4f732","","LBSPEC","BiomedicalConceptProperty_143","True","BiomedicalConceptProperty","True"
"LBFAST","66552eaf-dda4-4f80-88d6-e836a008a9fa","","LBFAST","BiomedicalConceptProperty_144","True","BiomedicalConceptProperty","True"
"LBTESTCD","454a4219-ff3f-490f-ab41-48412204c3ba","","LBTESTCD","BiomedicalConceptProperty_145","True","BiomedicalConceptProperty","True"
"LBORRES","d71c9f5a-319e-43c2-9d4b-6cba7a7ebef9","float","LBORRES","BiomedicalConceptProperty_146","True","BiomedicalConceptProperty","True"
"LBORRESU","9ce3a3ee-3018-442a-8a46-67ffa5999093","","LBORRESU","BiomedicalConceptProperty_147","True","BiomedicalConceptProperty","True"
"LBSPEC","e529bab4-22dd-4920-a6fe-95a1b8feb823","","LBSPEC","BiomedicalConceptProperty_148","True","BiomedicalConceptProperty","True"
"LBFAST","18c8a290-c9af-476a-a914-4981ed722182","","LBFAST","BiomedicalConceptProperty_149","True","BiomedicalConceptProperty","True"
"LBTESTCD","ac2e57e0-d0d0-40c3-a159-ae0a8b9307e9","","LBTESTCD","BiomedicalConceptProperty_150","True","BiomedicalConceptProperty","True"
"LBORRES","887c6f3b-6516-4d8f-a4a9-680f2f1964f9","float","LBORRES","BiomedicalConceptProperty_151","True","BiomedicalConceptProperty","True"
"LBORRESU","3f40046f-8ffb-4882-ab63-0e2748e1d9d6","","LBORRESU","BiomedicalConceptProperty_152","True","BiomedicalConceptProperty","True"
"LBSPEC","9c201cb4-5405-41b6-9ad7-8316c873fe5f","","LBSPEC","BiomedicalConceptProperty_153","True","BiomedicalConceptProperty","True"
"LBFAST","d3e8603f-efc5-4210-af7a-2fd3e09930f2","","LBFAST","BiomedicalConceptProperty_154","True","BiomedicalConceptProperty","True"
"LBTESTCD","5946b9ae-6e91-4852-a7d2-7105fa0d99bb","","LBTESTCD","BiomedicalConceptProperty_155","True","BiomedicalConceptProperty","True"
"LBORRES","48cc1d5e-6107-4eed-9361-fedc49136a00","float","LBORRES","BiomedicalConceptProperty_156","True","BiomedicalConceptProperty","True"
"LBORRESU","5af86f22-8b92-4148-a78f-4d687a82c109","","LBORRESU","BiomedicalConceptProperty_157","True","BiomedicalConceptProperty","True"
"LBSPEC","4b83c997-8700-4037-a9ef-4055660f3d2d","","LBSPEC","BiomedicalConceptProperty_158","True","BiomedicalConceptProperty","True"
"LBFAST","9b7c5a43-75a8-4af7-9815-4f0481f09607","","LBFAST","BiomedicalConceptProperty_159","True","BiomedicalConceptProperty","True"
"LBTESTCD","e9d474ae-0258-4cd2-af01-173d300723ad","","LBTESTCD","BiomedicalConceptProperty_160","True","BiomedicalConceptProperty","True"
"LBORRES","13728ca1-87ca-4cb4-83b1-0f438756c8c8","float","LBORRES","BiomedicalConceptProperty_161","True","BiomedicalConceptProperty","True"
"LBORRESU","d4a918f9-59fe-4f95-819d-e21b416567ce","","LBORRESU","BiomedicalConceptProperty_162","True","BiomedicalConceptProperty","True"
"LBSPEC","1f57d6de-69fb-48f0-8e32-b54b369eea8c","","LBSPEC","BiomedicalConceptProperty_163","True","BiomedicalConceptProperty","True"
"LBFAST","e94ef6dd-51f8-4e12-ad38-228074260e75","","LBFAST","BiomedicalConceptProperty_164","True","BiomedicalConceptProperty","True"
"LBTESTCD","de9cb0d9-9e03-42ba-be80-3dd01a3fccb0","","LBTESTCD","BiomedicalConceptProperty_165","True","BiomedicalConceptProperty","True"
"LBORRES","7912abf1-930d-40f2-81b9-6b9b3df3292d","float","LBORRES","BiomedicalConceptProperty_166","True","BiomedicalConceptProperty","True"
"LBORRESU","1c6e29c7-a0a5-4984-9d4b-7c427546dfd6","","LBORRESU","BiomedicalConceptProperty_167","True","BiomedicalConceptProperty","True"
"LBSPEC","27f3d240-6aef-49ff-b125-5de29232ec73","","LBSPEC","BiomedicalConceptProperty_168","True","BiomedicalConceptProperty","True"
"LBFAST","d0404120-eda8-46d9-a0e5-f5124065cbb5","","LBFAST","BiomedicalConceptProperty_169","True","BiomedicalConceptProperty","True"
"AETERM","d768480b-7aa4-4193-93d3-98e2e2197c34","text","AETERM","BiomedicalConceptProperty_1","True","BiomedicalConceptProperty","True"
"AEDECOD","da8480e4-bf66-4248-a658-6085a3f5776e","text","AEDECOD","BiomedicalConceptProperty_2","True","BiomedicalConceptProperty","True"
"AEPRESP","684774ab-0f68-4ac7-b434-6fc1f5452a00","text","AEPRESP","BiomedicalConceptProperty_3","True","BiomedicalConceptProperty","True"
"AELOC","f834591e-ffcf-4ae7-9f27-2569d167aaac","text","AELOC","BiomedicalConceptProperty_4","True","BiomedicalConceptProperty","True"
"AESEV","af19c5b0-9ada-428f-94cb-e05d489e4445","text","AESEV","BiomedicalConceptProperty_5","True","BiomedicalConceptProperty","True"
"AESER","fd51ffd0-df0a-419a-b2c6-d5ce1bd238f0","text","AESER","BiomedicalConceptProperty_6","True","BiomedicalConceptProperty","True"
"AEACN","1427b346-d4b7-4d3e-a22f-cfdbca010ab8","text","AEACN","BiomedicalConceptProperty_7","True","BiomedicalConceptProperty","True"
"AEACNOTH","60e9cbb2-6fc4-4af8-ae00-a1566710a4c8","text","AEACNOTH","BiomedicalConceptProperty_8","True","BiomedicalConceptProperty","True"
"AEREL","53077e31-b6df-4526-b7cc-634ec0cc0196","text","AEREL","BiomedicalConceptProperty_9","True","BiomedicalConceptProperty","True"
"AERELNST","8050f966-6fe6-484e-89d6-d04a8b64e78c","text","AERELNST","BiomedicalConceptProperty_10","True","BiomedicalConceptProperty","True"
"AEPATT","a4ba776e-ec21-4d95-bdaa-b6871d13c067","text","AEPATT","BiomedicalConceptProperty_11","True","BiomedicalConceptProperty","True"
"AEOUT","43852127-839a-4d82-a912-7884d7642cd0","text","AEOUT","BiomedicalConceptProperty_12","True","BiomedicalConceptProperty","True"
"AESCAN","dca4a303-4670-4197-b838-3db58a4c3629","text","AESCAN","BiomedicalConceptProperty_13","True","BiomedicalConceptProperty","True"
"AESCONG","13454c90-a332-41e6-82da-90bb1c4d5768","text","AESCONG","BiomedicalConceptProperty_14","True","BiomedicalConceptProperty","True"
"AESDISAB","18a4a395-7b1e-45a6-9d9c-580aa5d78305","text","AESDISAB","BiomedicalConceptProperty_15","True","BiomedicalConceptProperty","True"
"AESDTH","9c4a7c41-65cd-4e81-9be6-346c49714a86","text","AESDTH","BiomedicalConceptProperty_16","True","BiomedicalConceptProperty","True"
"AESHOSP","74486861-7284-40a2-a17f-ab0a9046312e","text","AESHOSP","BiomedicalConceptProperty_17","True","BiomedicalConceptProperty","True"
"AESLIFE","5b29df3e-0ec4-4922-990c-73222b8bc1f2","text","AESLIFE","BiomedicalConceptProperty_18","True","BiomedicalConceptProperty","True"
"AESOD","b52a0adb-67cb-40a6-b855-e7d35117d799","text","AESOD","BiomedicalConceptProperty_19","True","BiomedicalConceptProperty","True"
"AESMIE","0295297e-2da9-4c25-9ff6-d0b2e4888aea","text","AESMIE","BiomedicalConceptProperty_20","True","BiomedicalConceptProperty","True"
"AECONTRT","e4bd0834-053d-4ce2-ac59-d528a799fd98","text","AECONTRT","BiomedicalConceptProperty_21","True","BiomedicalConceptProperty","True"
"AESTDTC","7a3e2d7e-87c4-451a-aed0-c67c5440099f","datetime","AESTDTC","BiomedicalConceptProperty_22","True","BiomedicalConceptProperty","True"
"AEENDTC","e9ed1262-3f05-480c-9790-44349e7be2a6","datetime","AEENDTC","BiomedicalConceptProperty_23","True","BiomedicalConceptProperty","True"
"VSTESTCD","ef8c4b48-d68f-4a65-a944-23dfb37a508e","","VSTESTCD","BiomedicalConceptProperty_24","True","BiomedicalConceptProperty","True"
"VSORRES","8c822681-7a5a-4f0f-8275-7c50976fc83e","integer","VSORRES","BiomedicalConceptProperty_25","True","BiomedicalConceptProperty","True"
"VSORRESU","1a6150ed-3cf3-4b01-a166-2d950094d76d","","VSORRESU","BiomedicalConceptProperty_26","True","BiomedicalConceptProperty","True"
"VSPOS","c19ac901-e656-4d6b-95c5-c391d0318d25","","VSPOS","BiomedicalConceptProperty_27","True","BiomedicalConceptProperty","True"
"VSLOC","8fbd0d22-b82d-4f82-b647-316ccd1fc4ee","","VSLOC","BiomedicalConceptProperty_28","True","BiomedicalConceptProperty","True"
"VSLAT","9c175046-cc01-4f8b-bdc4-208b2b3574b1","","VSLAT","BiomedicalConceptProperty_29","True","BiomedicalConceptProperty","True"
"VSTESTCD","1431d889-6399-4e14-b586-46a624d0eccd","","VSTESTCD","BiomedicalConceptProperty_30","True","BiomedicalConceptProperty","True"
"VSORRES","8f0eee61-c52b-4179-a846-73998b1abad4","integer","VSORRES","BiomedicalConceptProperty_31","True","BiomedicalConceptProperty","True"
"VSORRESU","f48c731a-4cf5-4f4e-903b-975a676435a6","","VSORRESU","BiomedicalConceptProperty_32","True","BiomedicalConceptProperty","True"
"VSPOS","388a0d9a-b323-426f-8d6c-5bac82e7cca1","","VSPOS","BiomedicalConceptProperty_33","True","BiomedicalConceptProperty","True"
"VSLOC","4d10b898-a19e-458e-ae66-9ee22cf88106","","VSLOC","BiomedicalConceptProperty_34","True","BiomedicalConceptProperty","True"
"VSLAT","bb0e25d1-8687-47cc-ac55-c35ad6996cc1","","VSLAT","BiomedicalConceptProperty_35","True","BiomedicalConceptProperty","True"
"VSTESTCD","8fc0935c-ccf1-430b-9198-6e8a5a9aed81","","VSTESTCD","BiomedicalConceptProperty_36","True","BiomedicalConceptProperty","True"
"VSORRES","1d5c02e0-826a-437b-bf7a-acec18c554ae","float","VSORRES","BiomedicalConceptProperty_37","True","BiomedicalConceptProperty","True"
"VSORRESU","d8dc99df-6b1f-4acb-9a48-805c47544784","","VSORRESU","BiomedicalConceptProperty_38","True","BiomedicalConceptProperty","True"
"VSLOC","f22a804f-ccb2-4c99-a454-2bce01ba0570","","VSLOC","BiomedicalConceptProperty_39","True","BiomedicalConceptProperty","True"
"VSTESTCD","27613934-3c0c-4147-8dd8-e59096e944b2","","VSTESTCD","BiomedicalConceptProperty_40","True","BiomedicalConceptProperty","True"
"VSORRES","5b091d05-c230-4d53-b924-e6c9f819828b","float","VSORRES","BiomedicalConceptProperty_41","True","BiomedicalConceptProperty","True"
"VSORRESU","67030794-6a5b-42e9-9779-7c3dca245fdb","","VSORRESU","BiomedicalConceptProperty_42","True","BiomedicalConceptProperty","True"
"VSTESTCD","7676ca04-3faf-4e09-86de-29ad0a6ac9c7","","VSTESTCD","BiomedicalConceptProperty_43","True","BiomedicalConceptProperty","True"
"VSORRES","9c9b5c15-b068-42db-b5e4-184ecfe68cc1","float","VSORRES","BiomedicalConceptProperty_44","True","BiomedicalConceptProperty","True"
"VSORRESU","3fc1aaf4-5375-4570-bc7f-c27fd8ae3f38","","VSORRESU","BiomedicalConceptProperty_45","True","BiomedicalConceptProperty","True"
"LBTESTCD","4e98103d-2226-41d0-bb3f-a513dc6f858d","","LBTESTCD","BiomedicalConceptProperty_46","True","BiomedicalConceptProperty","True"
"LBORRES","7489edd7-cad6-4f57-b34b-f2f8155625ba","float","LBORRES","BiomedicalConceptProperty_47","True","BiomedicalConceptProperty","True"
"LBORRESU","2f0f0b1e-4cce-48e7-bc8a-891b3891c8c8","","LBORRESU","BiomedicalConceptProperty_48","True","BiomedicalConceptProperty","True"
"LBSPEC","afade827-2a98-4090-90fe-8d1ebcbd0c21","","LBSPEC","BiomedicalConceptProperty_49","True","BiomedicalConceptProperty","True"
"LBFAST","7de43fa1-75bc-4880-bb1e-5c4a5e9aa4df","","LBFAST","BiomedicalConceptProperty_50","True","BiomedicalConceptProperty","True"
"LBTESTCD","94693af8-85aa-41b1-9b7f-dd6ece14ad86","","LBTESTCD","BiomedicalConceptProperty_51","True","BiomedicalConceptProperty","True"
"LBORRES","1ad5df96-7324-4aa7-911d-d8441dc61b5d","text","LBORRES","BiomedicalConceptProperty_52","True","BiomedicalConceptProperty","True"
"LBSPEC","c3d859ea-0572-428f-94a9-3b040effa2dd","","LBSPEC","BiomedicalConceptProperty_53","True","BiomedicalConceptProperty","True"
"LBFAST","19232773-18a9-4f96-9ea7-a8df155a87f7","","LBFAST","BiomedicalConceptProperty_54","True","BiomedicalConceptProperty","True"
"LBTESTCD","0f3eec84-69f7-4348-a802-b8a90bc2ac8f","","LBTESTCD","BiomedicalConceptProperty_55","True","BiomedicalConceptProperty","True"
"LBORRES","15caad26-453c-47cb-adc7-26850dc40bfc","float","LBORRES","BiomedicalConceptProperty_56","True","BiomedicalConceptProperty","True"
"LBORRESU","5a1bf219-3c4b-44f3-89bf-55c79fa5f008","","LBORRESU","BiomedicalConceptProperty_57","True","BiomedicalConceptProperty","True"
"LBSPEC","bdf7294a-1d87-4553-a217-bb12b5c17d2a","","LBSPEC","BiomedicalConceptProperty_58","True","BiomedicalConceptProperty","True"
"LBFAST","7046076f-f2e0-441a-9ae7-0345e0bc81ef","","LBFAST","BiomedicalConceptProperty_59","True","BiomedicalConceptProperty","True"
"LBTESTCD","8a4f8564-3e63-4139-aa38-8d5bc5b800ad","","LBTESTCD","BiomedicalConceptProperty_60","True","BiomedicalConceptProperty","True"
"LBORRES","6c53601b-4107-4a77-8d54-b42d10892f5f","float","LBORRES","BiomedicalConceptProperty_61","True","BiomedicalConceptProperty","True"
"LBORRESU","f9d3bb28-db6f-4da8-8681-c7a4887df7e4","","LBORRESU","BiomedicalConceptProperty_62","True","BiomedicalConceptProperty","True"
"LBSPEC","0f2ac016-7122-4848-ab08-d55c3edea40b","","LBSPEC","BiomedicalConceptProperty_63","True","BiomedicalConceptProperty","True"
"LBFAST","ab4df2d4-7860-4ec0-827e-aa45d632a78c","","LBFAST","BiomedicalConceptProperty_64","True","BiomedicalConceptProperty","True"
"LBTESTCD","9dc43d87-60c6-446e-8111-064de94b8c43","","LBTESTCD","BiomedicalConceptProperty_65","True","BiomedicalConceptProperty","True"
"LBORRES","ef0c1164-e324-4546-82ae-939fb802e735","float","LBORRES","BiomedicalConceptProperty_66","True","BiomedicalConceptProperty","True"
"LBORRESU","6e9e4898-2ea6-45a4-b18c-fd7225dfd153","","LBORRESU","BiomedicalConceptProperty_67","True","BiomedicalConceptProperty","True"
"LBSPEC","36c291f5-9e4e-4896-a8cb-7a917caa9b67","","LBSPEC","BiomedicalConceptProperty_68","True","BiomedicalConceptProperty","True"
"LBFAST","6610bce8-ddfb-4b93-814a-6ffd2254054d","","LBFAST","BiomedicalConceptProperty_69","True","BiomedicalConceptProperty","True"
"LBTESTCD","ed4048ec-9703-4407-905b-c7f9e82f8a3d","","LBTESTCD","BiomedicalConceptProperty_70","True","BiomedicalConceptProperty","True"
"LBORRES","d3095af6-b525-4258-9832-144ec091b01a","float","LBORRES","BiomedicalConceptProperty_71","True","BiomedicalConceptProperty","True"
"LBORRESU","d136b5cf-244e-46a9-8cf1-4aa88194f162","","LBORRESU","BiomedicalConceptProperty_72","True","BiomedicalConceptProperty","True"
"LBSPEC","d2692f26-e865-44c8-a1c4-06a92c8a890b","","LBSPEC","BiomedicalConceptProperty_73","True","BiomedicalConceptProperty","True"
"LBFAST","685a2397-3746-4536-9f9d-9f218a5f99a7","","LBFAST","BiomedicalConceptProperty_74","True","BiomedicalConceptProperty","True"
"LBTESTCD","3959d505-d6b8-4c44-943c-738b17c8b93d","","LBTESTCD","BiomedicalConceptProperty_75","True","BiomedicalConceptProperty","True"
"LBORRES","2ee4c4d0-1711-4241-a3c4-3d5af7d904a4","float","LBORRES","BiomedicalConceptProperty_76","True","BiomedicalConceptProperty","True"
"LBORRESU","511dd71f-edac-40d5-b38d-eb167e34ed9f","","LBORRESU","BiomedicalConceptProperty_77","True","BiomedicalConceptProperty","True"
"LBSPEC","f3cfa1f9-5c3b-46c0-839e-49c66b0af0e7","","LBSPEC","BiomedicalConceptProperty_78","True","BiomedicalConceptProperty","True"
"LBFAST","769fbaa4-da0b-45ce-88e7-55de73973f68","","LBFAST","BiomedicalConceptProperty_79","True","BiomedicalConceptProperty","True"
"VSTESTCD","dbff30bd-5ed6-4e57-ac12-12fd55ba2c7a","","VSTESTCD","BiomedicalConceptProperty_80","True","BiomedicalConceptProperty","True"
"VSORRES","3ccfa49c-079e-4c10-8a0d-30a6f898da3e","integer","VSORRES","BiomedicalConceptProperty_81","True","BiomedicalConceptProperty","True"
"VSORRESU","754d154a-0f0e-4d08-b568-e716fc2435e9","","VSORRESU","BiomedicalConceptProperty_82","True","BiomedicalConceptProperty","True"
"VSPOS","0aac0db5-f284-4c18-987e-d62957d2a8ee","","VSPOS","BiomedicalConceptProperty_83","True","BiomedicalConceptProperty","True"
"VSLOC","2725092e-8d86-42a2-8277-8f38260471f3","","VSLOC","BiomedicalConceptProperty_84","True","BiomedicalConceptProperty","True"
"VSLAT","ec3e4638-1fc0-4a88-bcd6-4c35edf9d051","","VSLAT","BiomedicalConceptProperty_85","True","BiomedicalConceptProperty","True"
"VSTESTCD","a38f5d94-d9f8-4517-99bb-2dcda68322c3","","VSTESTCD","BiomedicalConceptProperty_86","True","BiomedicalConceptProperty","True"
"VSORRES","1bad3559-096e-441a-83b6-a79a16a9330f","integer","VSORRES","BiomedicalConceptProperty_87","True","BiomedicalConceptProperty","True"
"VSORRESU","a9a6fd12-e717-4da6-8f06-a954e9b0904e","","VSORRESU","BiomedicalConceptProperty_88","True","BiomedicalConceptProperty","True"
"VSPOS","b464fca2-325e-4125-ba9f-dbc115eadabb","","VSPOS","BiomedicalConceptProperty_89","True","BiomedicalConceptProperty","True"
"VSLOC","59216c20-2c2d-4c4c-904d-6116d6d0b53b","","VSLOC","BiomedicalConceptProperty_90","True","BiomedicalConceptProperty","True"
"VSLAT","b6796316-85ca-43da-af4b-5bbe88e54dfc","","VSLAT","BiomedicalConceptProperty_91","True","BiomedicalConceptProperty","True"
"VSTESTCD","9cc68626-79b3-4368-a2d3-bda89fd83042","","VSTESTCD","BiomedicalConceptProperty_92","True","BiomedicalConceptProperty","True"
"VSORRES","a331e46d-c0d7-4634-bbcb-a8e260f8b231","integer","VSORRES","BiomedicalConceptProperty_93","True","BiomedicalConceptProperty","True"
"VSORRESU","20c9d482-dc54-494e-92f4-ea676966f612","","VSORRESU","BiomedicalConceptProperty_94","True","BiomedicalConceptProperty","True"
"VSPOS","3462cf1d-e625-46d2-9d0f-8247ba47886a","","VSPOS","BiomedicalConceptProperty_95","True","BiomedicalConceptProperty","True"
"VSLOC","3dd1a733-e70e-4897-85f4-00f94fbcb88b","","VSLOC","BiomedicalConceptProperty_96","True","BiomedicalConceptProperty","True"
"VSLAT","d1434c23-7131-4291-b22a-7b80bedeed8f","","VSLAT","BiomedicalConceptProperty_97","True","BiomedicalConceptProperty","True"
"VSTESTCD","4194e5fb-3d9c-4063-9bff-5f9dd3fcd27e","","VSTESTCD","BiomedicalConceptProperty_98","True","BiomedicalConceptProperty","True"
"VSORRES","b25d9949-09f3-4f40-b217-710a5607f76f","integer","VSORRES","BiomedicalConceptProperty_99","True","BiomedicalConceptProperty","True"
"VSORRESU","bc4a90e8-6053-4f3c-bed5-165384d231e9","","VSORRESU","BiomedicalConceptProperty_100","True","BiomedicalConceptProperty","True"
"VSPOS","d6d13c75-b96d-499a-b9b6-3c1107abd244","","VSPOS","BiomedicalConceptProperty_101","True","BiomedicalConceptProperty","True"
"VSLOC","beb9d12d-c860-46fe-8c98-e1dcdc6a9483","","VSLOC","BiomedicalConceptProperty_102","True","BiomedicalConceptProperty","True"
"VSLAT","1d3c6e55-001c-4bf6-aa07-d89df3569d2b","","VSLAT","BiomedicalConceptProperty_103","True","BiomedicalConceptProperty","True"
"VSTESTCD","4deb5f70-40c5-411e-8d81-3bc5c58280dc","","VSTESTCD","BiomedicalConceptProperty_104","True","BiomedicalConceptProperty","True"
"VSORRES","f1fb22db-73a9-4266-94e5-a4eefd5cbdb1","integer","VSORRES","BiomedicalConceptProperty_105","True","BiomedicalConceptProperty","True"
"VSORRESU","e24ff4b2-62e5-4b0a-bbc7-2ff3e6fd5727","","VSORRESU","BiomedicalConceptProperty_106","True","BiomedicalConceptProperty","True"
"VSPOS","0cc9872a-3622-4a9c-a796-faa544b0666d","","VSPOS","BiomedicalConceptProperty_107","True","BiomedicalConceptProperty","True"
"VSLOC","3a07a2c6-51e5-4772-88a0-967ed1ffca9d","","VSLOC","BiomedicalConceptProperty_108","True","BiomedicalConceptProperty","True"
"VSLAT","235ae525-2108-484e-976d-7f40d1e41b50","","VSLAT","BiomedicalConceptProperty_109","True","BiomedicalConceptProperty","True"
"VSTESTCD","0625531c-9d04-47c1-b19a-00319207755b","","VSTESTCD","BiomedicalConceptProperty_110","True","BiomedicalConceptProperty","True"
"VSORRES","90882dae-70fe-488f-83de-2f453c8e31ef","integer","VSORRES","BiomedicalConceptProperty_111","True","BiomedicalConceptProperty","True"
"VSORRESU","9ce51d3d-201e-4579-b927-6037eccbfd5f","","VSORRESU","BiomedicalConceptProperty_112","True","BiomedicalConceptProperty","True"
"VSPOS","54b622ee-b3f6-4ea2-b145-c5301b3c75cf","","VSPOS","BiomedicalConceptProperty_113","True","BiomedicalConceptProperty","True"
"VSLOC","f1c67fab-1f25-4a50-91b0-a480c337cd14","","VSLOC","BiomedicalConceptProperty_114","True","BiomedicalConceptProperty","True"
"VSLAT","28d5bc47-0372-4ea5-8351-ea43c34c2334","","VSLAT","BiomedicalConceptProperty_115","True","BiomedicalConceptProperty","True"
