"code","codeSystem","id","decode","codeSystemVersion","uuid:ID"
"C28252","http://www.cdisc.org","Code_94","Kilogram","2023-09-29","54c70928-6b1f-4192-a829-8b753b5fbb44"
"C48155","http://www.cdisc.org","Code_95","Gram","2023-09-29","a52dfd8b-8f85-41a1-997b-67548f913203"
"C48531","http://www.cdisc.org","Code_96","Pound","2023-09-29","fcc49c1b-7b9a-456d-a56c-c1057c91c88c"
"C48208","NCI Thesaurus","Code_97","Unit of Weight","","7cc1982e-6810-4636-86dd-4ca4a10f6440"
"C81328","NCI Thesaurus","Code_92","Body Weight","","6ac35ff8-26c1-4cb3-84bb-836499e1ead2"
"C174267","http://www.cdisc.org","Code_57","Active Comparator Arm","2023-09-29","1b008851-23f5-4f43-8b50-285650cc07a6"
"C188866","http://www.cdisc.org","Code_58","Data Generated Within Study","2023-09-29","e5a9bbad-9f2a-4e18-b655-f11770ced52f"
"C174268","http://www.cdisc.org","Code_59","Placebo Comparator Arm","2023-09-29","1a80a138-05f4-417c-8d1e-99fe111e1dfc"
"C188866","http://www.cdisc.org","Code_60","Data Generated Within Study","2023-09-29","29b6894b-3373-4b44-b3f8-db685b857f4c"
"C49659","http://www.cdisc.org","Code_79","Open Label Study","2023-09-29","824efbd3-9e76-40a7-9ba1-4afed0eef09a"
"C48262","http://www.cdisc.org","Code_61","Trial Screening","2023-09-29","1d436e33-63ef-4378-84fa-51da909f202f"
"C125938","http://www.cdisc.org","Code_62","Baseline Epoch","2023-09-29","91a2d62e-197d-4b39-add2-237f2d975d76"
"C101526","http://www.cdisc.org","Code_63","Treatment Epoch","2023-09-29","eb848cf7-1c56-456f-a6b5-7954ea67a1ed"
"C99158","http://www.cdisc.org","Code_64","Clinical Study Follow-up","2023-09-29","f3e48e2b-0a86-4dad-b33e-3080ca873d50"
"12345","SNOMED","Code_98","Indication1","January 31, 2018","57ffc200-6556-4866-a749-9382a73c7de5"
"345678","SNOMED","Code_99","Indication2","January 31, 2018","cb5c64e1-395d-4b8d-bb59-e38f2cd97cc8"
"X","ICD-10","Code_100","Y","None set","b62512f9-ac3b-4613-a422-839e6160007b"
"A","SNOMED","Code_101","B","January 31, 2018","4b77e46f-0991-49cf-b75e-223d8b434fd5"
"DD","ICD-10","Code_102","CC","None set","3090337a-412b-4d9e-ac5f-b6d41d74a9ef"
"A","SNOMED","Code_103","B","January 31, 2018","03b225ab-709a-468d-887c-49ad64f03544"
"C85826","http://www.cdisc.org","Code_108","Trial Primary Objective","2023-09-29","c04c5a61-f037-4673-9c9f-95b0fd2e738f"
"C94496","http://www.cdisc.org","Code_107","Primary Endpoint","2023-09-29","985c39e2-9927-44cd-bcb8-00f5f7e55a61"
"C85827","http://www.cdisc.org","Code_110","Trial Secondary Objective","2023-09-29","a98887e1-7a74-49da-9f6e-dfae114b6142"
"C139173","http://www.cdisc.org","Code_109","Secondary Endpoint","2023-09-29","212006c0-df52-40e4-a367-b24a97830d26"
"C139173","http://www.cdisc.org","Code_111","Secondary Endpoint","2023-09-29","0fc0400d-00ae-49d2-b8a2-b4b4e059032e"
"C49636","http://www.cdisc.org","Code_104","Both","2023-09-29","f8250737-6b25-4e3a-b412-32f38ce29bba"
"C20197","http://www.cdisc.org","Code_105","Male","2023-09-29","21954560-e5df-428a-8b81-fb8c7f82c29e"
"C16576","http://www.cdisc.org","Code_106","Female","2023-09-29","ea105fa8-d28b-417d-9910-de5becc39375"
"C201264","http://www.cdisc.org","Code_65","Before","2023-09-29","9ead320f-c99a-4239-aab6-5cf6abffb0f2"
"C201265","http://www.cdisc.org","Code_66","Start to Start","2023-09-29","b62c2a5d-0fd3-4d8a-9833-3a523af4dd19"
"C201264","http://www.cdisc.org","Code_67","Before","2023-09-29","7f03fb82-8dbf-4319-9d38-092c8983e9b7"
"C201265","http://www.cdisc.org","Code_68","Start to Start","2023-09-29","204624cf-5dd2-4878-93df-87463d07da5f"
"C201264","http://www.cdisc.org","Code_69","Fixed Reference","2023-09-29","244bf56f-b647-44d8-8eba-4d9a336d0cfb"
"C201265","http://www.cdisc.org","Code_70","Start to Start","2023-09-29","eb0ecf06-4c35-4020-a720-b3db24e38326"
"C201264","http://www.cdisc.org","Code_71","After","2023-09-29","1b38128a-82ac-4927-ba6d-02981ef30457"
"C201265","http://www.cdisc.org","Code_72","Start to Start","2023-09-29","27cae5c7-d095-4ad0-8e1c-f91ecadbd171"
"C201264","http://www.cdisc.org","Code_73","After","2023-09-29","ab7511b3-86ce-41e3-9321-1c9d0f76c980"
"C201265","http://www.cdisc.org","Code_74","Start to Start","2023-09-29","acec4ae1-5a64-48bd-927f-1ca8abb4981e"
"C201264","http://www.cdisc.org","Code_75","After","2023-09-29","71e87004-5bdf-4657-96dd-01957a21822e"
"C201265","http://www.cdisc.org","Code_76","Start to Start","2023-09-29","53bb2e3e-b850-4238-a95f-624f11df043b"
"C25532","http://www.cdisc.org","Code_112","Inclusion Criteria","2023-09-29","9ff3e466-9637-409e-bc31-6b77660db670"
"C25532","http://www.cdisc.org","Code_113","Inclusion Criteria","2023-09-29","14a93819-5f99-40cf-9d26-59bc592cb755"
"C25370","http://www.cdisc.org","Code_114","Exclusion Criteria","2023-09-29","6b8ef7ba-898c-4be9-a722-e9e241245580"
"C25370","http://www.cdisc.org","Code_115","Exclusion Criteria","2023-09-29","5805341a-827b-4b53-ba5c-6b6f455cde42"
"C85255","http://www.cdisc.org","Code_5","Draft","2023-09-29","b2139855-6246-41d3-8dc3-4ca488fa85ec"
"C99903x1","http://www.cdisc.org","Code_15","Protocol Effective Date","2023-09-29","2b8b04c6-5899-41ba-9a52-7abb52ba2d39"
"C68846","http://www.cdisc.org","Code_16","Global","2023-09-29","261e24c3-d8f9-487e-8e43-4b10224d2837"
"C99903x1","http://www.cdisc.org","Code_17","Protocol Effective Date","2023-09-29","2cf9ab5e-7169-4ba1-aa1f-97ba493d2ae3"
"C41129","http://www.cdisc.org","Code_19","Region","2023-09-29","51e8029a-eb80-4973-8855-fc05c9c8a376"
"142","ISO 3166 1 alpha3","Code_18","Asia","2020-08","9e133d9a-0f3e-4b45-88e4-45484c31f4b4"
