"codeSystem","id","instanceType","uuid:ID","code","codeSystemVersion","decode"
"http://www.cdisc.org","Code_439","Code","33f0ea68-e53f-4679-b6ab-49f859b8ec91","C174446","2023-12-15","TEMP"
"http://www.cdisc.org","Code_440","Code","a0be84a5-4a13-4bf1-b106-8900a7950281","C77140","2023-12-15","Clinical Test Result"
"http://www.cdisc.org","Code_441","Code","8a6fcdd3-db41-48d4-b4da-07358a9a8616","C42559","2023-12-15","Degree Celsius"
"http://www.cdisc.org","Code_442","Code","cf16872c-282e-433f-81c0-9f0fc14a7e9d","C44277","2023-12-15","Degree Fahrenheit"
"http://www.cdisc.org","Code_443","Code","49047168-31e5-4b1f-a708-15fffef72ae0","C42537","2023-12-15","Kelvin"
"http://www.cdisc.org","Code_444","Code","7aad9290-a453-4fad-82e5-76c5bbe56249","C44276","2023-12-15","Unit of Temperature"
"http://www.cdisc.org","Code_445","Code","07315cf3-1427-4282-8afa-34bcaf973104","C12674","2023-12-15","Axilla"
"http://www.cdisc.org","Code_446","Code","2ee668bb-dc9a-4be0-9f1e-c1c07ab1ee2f","C12394","2023-12-15","Ear"
"http://www.cdisc.org","Code_447","Code","63c53cd8-15c7-4be4-a037-13ca82891eac","C89803","2023-12-15","Forehead"
"http://www.cdisc.org","Code_448","Code","31bc7ea9-a64d-45a9-806d-d16f2f773039","C12421","2023-12-15","Oral Cavity"
"http://www.cdisc.org","Code_449","Code","a1c91981-4a2b-4be8-810e-e1253a86827c","C12390","2023-12-15","Rectum"
"http://www.cdisc.org","Code_450","Code","c524b36d-a2f8-4f7c-b285-987ec156c7e4","C13717","2023-12-15","Anatomic Site"
"http://www.cdisc.org","Code_451","Code","6dafa9f8-0acc-47ec-8cc6-783d04710fd5","C174446","2023-12-15","TEMP"
"http://www.cdisc.org","Code_452","Code","480b46b3-9070-4357-8856-0ce71f8f42f2","C25208","2023-12-15","WEIGHT"
"http://www.cdisc.org","Code_453","Code","2aa13e51-1bd6-4727-b11e-9861c0876a77","C77140","2023-12-15","Clinical Test Result"
"http://www.cdisc.org","Code_454","Code","493602ce-4d03-4d20-b1d5-5463e1d2bda1","C48531","2023-12-15","Pound"
"http://www.cdisc.org","Code_455","Code","a0a56e99-ad75-44eb-b301-e66dc981ccd3","C48155","2023-12-15","Gram"
"http://www.cdisc.org","Code_456","Code","be04a542-8ec2-4a8a-9d5d-004c5c0d2845","C28252","2023-12-15","Kilogram"
"http://www.cdisc.org","Code_457","Code","d0df3523-bfb8-4cde-860f-9c466884088c","C48208","2023-12-15","Unit of Weight"
"http://www.cdisc.org","Code_458","Code","da124bda-929f-4339-95d4-6688cd883c12","C25208","2023-12-15","WEIGHT"
"http://www.cdisc.org","Code_459","Code","bb275dbf-5fd1-4b6e-9f16-1ed997c4d5cd","C25347","2023-12-15","HEIGHT"
"http://www.cdisc.org","Code_460","Code","2da34770-c54f-4492-8a88-465ababa0a44","C77140","2023-12-15","Clinical Test Result"
"http://www.cdisc.org","Code_461","Code","d6eb7a41-6fff-484e-9e25-61ec2fb3435f","C49668","2023-12-15","Centimeter"
"http://www.cdisc.org","Code_462","Code","04296650-4b45-44bc-ae03-36266e23f01c","C48500","2023-12-15","Inch"
"http://www.cdisc.org","Code_463","Code","0c878326-6e72-4cb2-ad20-6b4dadbd8212","C41139","2023-12-15","Meter"
"http://www.cdisc.org","Code_464","Code","c9f48d40-905e-4d3a-aa05-ec01f38c4ee9","C168688","2023-12-15","Unit of Height"
"http://www.cdisc.org","Code_465","Code","6c84a33b-2448-4419-9c5e-969709f83cde","C25347","2023-12-15","HEIGHT"
"http://www.cdisc.org","Code_466","Code","71dce183-e40b-49e1-a3e4-c12a09d4e2c7","C64433","2023-12-15","ALT"
"http://www.cdisc.org","Code_467","Code","f7ca023a-b9cb-41fe-9d2c-329ebcea36d5","C36292","2023-12-15","Laboratory Test Result"
"http://www.cdisc.org","Code_468","Code","439bb031-255e-4b98-bd3e-74cfc3c42654","C67456","2023-12-15","Unit per Liter"
"http://www.cdisc.org","Code_469","Code","01e1ab49-0688-490d-8234-57af3230df29","C67397","2023-12-15","Microkatal per Liter"
"http://www.cdisc.org","Code_470","Code","80a4fb9e-e03f-4642-921c-f7b8c870240d","C67376","2023-12-15","International Unit per Liter"
"http://www.cdisc.org","Code_471","Code","5383d45c-4453-49f3-91c4-abd51c43e922","C70510","2023-12-15","Nanokatal per Liter"
"http://www.cdisc.org","Code_472","Code","7760081b-507c-4b79-8928-ffdb12dbd39c","C67365","2023-12-15","Unit of Catalytic Activity Concentration"
"http://www.cdisc.org","Code_473","Code","86ad92f8-29e9-4746-a8ff-2cb17db805df","C70713","2023-12-15","Biospecimen Type"
"http://www.cdisc.org","Code_474","Code","60bab4f1-068e-48c2-8d78-82a1e503f9e1","C49487","2023-12-15","No"
"http://www.cdisc.org","Code_475","Code","9b83b19f-ef9b-46cd-bf72-21eb15e5f753","C49488","2023-12-15","Yes"
"http://www.cdisc.org","Code_476","Code","213bc287-dc15-4c3d-8cae-a4c8d74f7afc","C83309","2023-12-15","Laboratory Test Fasting Status"
"http://www.cdisc.org","Code_477","Code","d5bca73a-03e7-4bd7-abf5-fd3757295ff3","C64433","2023-12-15","ALT"
"http://www.cdisc.org","Code_478","Code","3c7829e8-38c5-4bd5-aae4-a8dcdbb9dea3","C64431","2023-12-15","ALB"
"http://www.cdisc.org","Code_479","Code","41b00442-3bd7-440b-9731-022c2c7b10b0","C36292","2023-12-15","Laboratory Test Result"
"http://www.cdisc.org","Code_480","Code","84f877d0-9dad-425b-840f-98d8b732c7ef","C70713","2023-12-15","Biospecimen Type"
"http://www.cdisc.org","Code_481","Code","5e4a1c36-df46-40d7-bab8-b7ad1c6d99b3","C49487","2023-12-15","No"
"http://www.cdisc.org","Code_482","Code","4d73277d-6649-4527-8862-6737da977b0f","C49488","2023-12-15","Yes"
"http://www.cdisc.org","Code_483","Code","f7d7c210-d85c-4f39-b6c2-8d8b23b2d847","C83309","2023-12-15","Laboratory Test Fasting Status"
"http://www.cdisc.org","Code_484","Code","edc44ff8-6e12-4feb-855c-65a3999d2662","C64431","2023-12-15","ALB"
"http://www.cdisc.org","Code_485","Code","e0846c7c-c704-46c2-ba4b-c3da4d49618d","C64432","2023-12-15","ALP"
"http://www.cdisc.org","Code_486","Code","0d9e2a8c-5bcc-450e-b597-a8df183e8b53","C36292","2023-12-15","Laboratory Test Result"
"http://www.cdisc.org","Code_487","Code","a1ed89a8-ad4b-4bda-9a41-0534d546a606","C67456","2023-12-15","Unit per Liter"
"http://www.cdisc.org","Code_488","Code","dbb4f43a-20ed-4679-859d-3848a13b2940","C67397","2023-12-15","Microkatal per Liter"
"http://www.cdisc.org","Code_489","Code","1358ac47-32bf-435c-871e-d7c29db479a8","C67376","2023-12-15","International Unit per Liter"
"http://www.cdisc.org","Code_490","Code","72c5723d-74bd-457a-b287-e8b297e3b942","C67365","2023-12-15","Unit of Catalytic Activity Concentration"
"http://www.cdisc.org","Code_491","Code","e3b903ce-57c6-429d-8ed1-ceddfbe9b3fc","C70713","2023-12-15","Biospecimen Type"
"http://www.cdisc.org","Code_492","Code","f568bcf7-3bcf-46e4-9c93-5b85f0de2300","C49487","2023-12-15","No"
"http://www.cdisc.org","Code_493","Code","2ae81635-492c-419e-89c3-66c2d4723b61","C49488","2023-12-15","Yes"
"http://www.cdisc.org","Code_494","Code","176f16de-0bfd-4a09-920c-2cdd9da40403","C83309","2023-12-15","Laboratory Test Fasting Status"
"http://www.cdisc.org","Code_495","Code","131d4475-d8a4-444f-8f65-b7be6e8f104e","C64432","2023-12-15","ALP"
"http://www.cdisc.org","Code_496","Code","5d077858-b849-49c4-bcb0-11cdf48a6fb1","C64467","2023-12-15","AST"
"http://www.cdisc.org","Code_497","Code","aab07941-8e5f-4248-b98f-970fb710f212","C36292","2023-12-15","Laboratory Test Result"
"http://www.cdisc.org","Code_498","Code","8a69870a-6b4c-4067-bfe4-4005b94d1035","C67456","2023-12-15","Unit per Liter"
"http://www.cdisc.org","Code_499","Code","a67c3486-78b3-4028-b334-983ee552311e","C67397","2023-12-15","Microkatal per Liter"
"http://www.cdisc.org","Code_500","Code","a15221ed-7933-4fb1-83e1-ce867239d50c","C67376","2023-12-15","International Unit per Liter"
"http://www.cdisc.org","Code_501","Code","831e621c-a5c5-41f4-b769-7740dc580bca","C67365","2023-12-15","Unit of Catalytic Activity Concentration"
"http://www.cdisc.org","Code_502","Code","0e341db7-77a5-41cc-9df8-29b3fd2de851","C70713","2023-12-15","Biospecimen Type"
"http://www.cdisc.org","Code_503","Code","3edde990-122a-4e05-a74a-8c4e577d763a","C49487","2023-12-15","No"
"http://www.cdisc.org","Code_504","Code","88f74937-8ea1-46d2-bd07-104c35da02e2","C49488","2023-12-15","Yes"
"http://www.cdisc.org","Code_505","Code","a933513d-94a7-4c77-844e-ffb2b5a963f2","C83309","2023-12-15","Laboratory Test Fasting Status"
"http://www.cdisc.org","Code_506","Code","1617e09e-62b3-4ff7-939d-8f58367d0816","C64467","2023-12-15","AST"
"http://www.cdisc.org","Code_507","Code","31a72702-6f67-4eb7-85ad-72549f536384","C64547","2023-12-15","CREAT"
"http://www.cdisc.org","Code_508","Code","8ea97f19-7ce2-4a3c-81e1-271d3e80849a","C36292","2023-12-15","Laboratory Test Result"
"http://www.cdisc.org","Code_509","Code","db6ab415-36e4-45e3-822d-a6fe1a70fe32","C67015","2023-12-15","Milligram per Deciliter"
"http://www.cdisc.org","Code_510","Code","6fe7b0e2-6553-478e-bddb-278821743fb6","C64572","2023-12-15","Microgram per Milliliter"
"http://www.cdisc.org","Code_511","Code","3b111b3d-b0c7-486c-ba9a-fa95ea06d491","C64387","2023-12-15","Millimole per Liter"
"http://www.cdisc.org","Code_512","Code","59140899-326d-4b23-8fb1-ce1b2e79efe2","C48508","2023-12-15","Micromole per Liter"
"http://www.cdisc.org","Code_513","Code","22d2a879-968b-456b-a18c-717200de48b3","C48207","2023-12-15","Unit of Concentration"
"http://www.cdisc.org","Code_514","Code","b900d47b-a4c6-42f3-adcc-dc074ba6080f","C70713","2023-12-15","Biospecimen Type"
"http://www.cdisc.org","Code_515","Code","d4ccc688-4605-4920-8d41-c34162b8ef37","C49487","2023-12-15","No"
"http://www.cdisc.org","Code_516","Code","0fd88727-a154-4fce-8f1e-06d31103a139","C49488","2023-12-15","Yes"
"http://www.cdisc.org","Code_517","Code","dbab1d6f-1710-49ce-b40a-e00d0927b719","C83309","2023-12-15","Laboratory Test Fasting Status"
"http://www.cdisc.org","Code_518","Code","6289d544-e6cc-4f08-9797-215abd5c60a4","C64547","2023-12-15","CREAT"
"http://www.cdisc.org","Code_519","Code","d24d69c9-2292-4c98-a27f-b34c0d009b0a","C64853","2023-12-15","K"
"http://www.cdisc.org","Code_520","Code","ac66ccbf-12c4-419c-a1bb-e72baa0487fb","C36292","2023-12-15","Laboratory Test Result"
"http://www.cdisc.org","Code_521","Code","8438c9e5-00e1-4b42-9ffe-81833d1f6502","C67474","2023-12-15","Milliequivalent per Liter"
"http://www.cdisc.org","Code_522","Code","ef01e40c-b346-4c18-8a06-4878aad2a268","C67473","2023-12-15","Milliequivalent per Deciliter"
"http://www.cdisc.org","Code_523","Code","b90efb98-32dc-49ab-9426-46d1a39cc928","C64387","2023-12-15","Millimole per Liter"
"http://www.cdisc.org","Code_524","Code","972a1f86-2e7f-47fb-b676-175591bad079","C64567","2023-12-15","Molarity Unit"
"http://www.cdisc.org","Code_525","Code","e96842ed-b863-442f-a354-e26f2f714385","C70713","2023-12-15","Biospecimen Type"
"http://www.cdisc.org","Code_526","Code","ae6bada8-a422-4cd0-ab8f-438a8609fe25","C49487","2023-12-15","No"
"http://www.cdisc.org","Code_527","Code","de23eff1-fc94-4440-b7d6-ea8ab2241470","C49488","2023-12-15","Yes"
"http://www.cdisc.org","Code_528","Code","f2d370f3-3439-42de-93b2-e4547dd2c4e0","C83309","2023-12-15","Laboratory Test Fasting Status"
"http://www.cdisc.org","Code_529","Code","872d1c21-42c3-4a8e-8ccd-9c3c062772f1","C64853","2023-12-15","K"
"http://www.cdisc.org","Code_530","Code","b157168e-9d84-4752-90c5-e7707ad704ff","C64809","2023-12-15","SODIUM"
"http://www.cdisc.org","Code_531","Code","2d295f5e-a55a-4768-8e67-b8de3e7949a8","C36292","2023-12-15","Laboratory Test Result"
"http://www.cdisc.org","Code_532","Code","329e4403-0386-4cf7-868e-2b849dac21b7","C67474","2023-12-15","Milliequivalent per Liter"
"http://www.cdisc.org","Code_533","Code","a32e5083-e72a-4c27-ade1-8393b34aaa16","C67473","2023-12-15","Milliequivalent per Deciliter"
"http://www.cdisc.org","Code_534","Code","a98b5eb6-2e0e-49a8-9317-e6324cb4963f","C64387","2023-12-15","Millimole per Liter"
"http://www.cdisc.org","Code_535","Code","156bc186-0bfd-464e-b0ec-08b96013b398","C64567","2023-12-15","Molarity Unit"
"http://www.cdisc.org","Code_536","Code","55c526f9-1255-41bb-94f4-80d856c4b9f8","C70713","2023-12-15","Biospecimen Type"
"http://www.cdisc.org","Code_537","Code","69ba6392-fa58-46a0-9278-43815fd02f80","C49487","2023-12-15","No"
"http://www.cdisc.org","Code_538","Code","850d0697-3ca1-477f-af02-f685b52c5f98","C49488","2023-12-15","Yes"
"http://www.cdisc.org","Code_539","Code","563c65eb-659b-4d42-8c0a-5eb96f80fe7c","C83309","2023-12-15","Laboratory Test Fasting Status"
"http://www.cdisc.org","Code_540","Code","ec6b83f8-cb21-4817-9602-3fc192120fd4","C64809","2023-12-15","SODIUM"
"http://www.cdisc.org","Code_541","Code","995d7b89-0347-4e40-8abe-1e23812178e8","C64849","2023-12-15","HBA1C"
"http://www.cdisc.org","Code_542","Code","0549a2e4-4dfa-4098-8389-3c778b764557","C36292","2023-12-15","Laboratory Test Result"
"http://www.cdisc.org","Code_543","Code","5e704aa8-3fd8-4e7d-987a-4bddce9bcce0","C64783","2023-12-15","Gram per Deciliter"
"http://www.cdisc.org","Code_544","Code","3190fb26-4993-49de-b72e-9ceaf9d442e1","No Concept Code","2023-12-15","LBORRESU"
"http://www.cdisc.org","Code_545","Code","405295fc-c6d2-4714-b346-ea7bb12e2c90","C70713","2023-12-15","Biospecimen Type"
"http://www.cdisc.org","Code_546","Code","f38adf8d-612d-4ba6-a513-76d73fc52724","C49487","2023-12-15","No"
"http://www.cdisc.org","Code_547","Code","8210e9ec-c8bd-4539-af9d-e0b95382ac92","C49488","2023-12-15","Yes"
"http://www.cdisc.org","Code_548","Code","cb142ab6-b177-426f-bb45-743e7c75e4ef","C83309","2023-12-15","Laboratory Test Fasting Status"
"http://www.cdisc.org","Code_549","Code","24df22bb-7021-4db1-a4f4-43bd9bc2b949","C64849","2023-12-15","HBA1C"
"http://www.cdisc.org","Code_145","Code","7ad89e40-2bb8-4688-8e05-6beb1d23fb68","C78541","2023-12-15","Adverse Event Verbatim Description"
"http://www.cdisc.org","Code_146","Code","4d7bd729-d740-4767-a8a5-4b899f50d070","C83344","2023-12-15","Adverse Event Dictionary Derived Term"
"http://www.cdisc.org","Code_147","Code","773c586d-d770-42b9-96ae-daaef9062296","C49487","2023-12-15","No"
"http://www.cdisc.org","Code_148","Code","2ffb6f57-7fd2-4db7-af74-76a5b63c5f8c","C49488","2023-12-15","Yes"
"http://www.cdisc.org","Code_149","Code","6a44e175-6f49-49a0-aa11-e05b31aad902","C87840","2023-12-15","Adverse Event Pre-specified"
"http://www.cdisc.org","Code_150","Code","09f6ae35-e8bc-42cc-92d4-4a983a8b734e","C83205","2023-12-15","Adverse Event Location"
"http://www.cdisc.org","Code_151","Code","db41bda2-2847-457c-be73-8126316d038d","C53253","2023-12-15","Severity of Adverse Event"
"http://www.cdisc.org","Code_152","Code","9187f624-e60f-4e36-9538-181688e8920b","C49487","2023-12-15","No"
"http://www.cdisc.org","Code_153","Code","d1b6f74e-d0de-4736-88b3-4e9499ac8504","C49488","2023-12-15","Yes"
"http://www.cdisc.org","Code_154","Code","169ae7e0-579c-4cd8-a56f-e3ec86a92a9c","C53252","2023-12-15","Seriousness of Adverse Event"
"http://www.cdisc.org","Code_155","Code","af604955-dc10-424d-8da1-82bc55a715e8","C83013","2023-12-15","Adverse Event Action Taken with Study Treatment"
"http://www.cdisc.org","Code_156","Code","6191dd0b-b220-4950-b2dd-80e55d0570d6","C83109","2023-12-15","Other Actions taken in Response to Adverse Event"
"http://www.cdisc.org","Code_157","Code","343eea23-e6cc-46f6-ab5b-5f4eeb1bae5c","C41358","2023-12-15","Adverse Event Attribution to Product or Procedure"
"http://www.cdisc.org","Code_158","Code","a228f758-9b4c-4529-a727-f54da395b0b8","C83210","2023-12-15","Adverse Event Relationship to Non Study Treatment"
"http://www.cdisc.org","Code_159","Code","3959c466-b814-4ec6-a627-9b80e9fbfa6d","C83208","2023-12-15","Adverse Event Pattern"
"http://www.cdisc.org","Code_160","Code","3d88cf4f-9f03-4751-9bbc-edd97005d487","C49489","2023-12-15","Adverse Event Outcome"
"http://www.cdisc.org","Code_161","Code","dabc41c3-8b9c-4d0d-8354-9c1e79c95634","C49487","2023-12-15","No"
"http://www.cdisc.org","Code_162","Code","78153a5b-d3dd-48f1-b5f9-80200855cd2d","C49488","2023-12-15","Yes"
"http://www.cdisc.org","Code_163","Code","33f6f215-a4b3-4f76-8be7-9f4c7fc414ad","C83211","2023-12-15","Adverse Event Involves Cancer"
"http://www.cdisc.org","Code_164","Code","01f7328e-aba5-48a4-ae17-dfee8bbdec7d","C49487","2023-12-15","No"
"http://www.cdisc.org","Code_165","Code","dbd7c504-04a9-42c6-9c95-8a17bbe904e1","C49488","2023-12-15","Yes"
"http://www.cdisc.org","Code_166","Code","ebf238bb-9fb6-4f5d-820c-67b14ac14eb8","C83117","2023-12-15","Adverse Event Seriousness Due to Congenital Anomaly"
"http://www.cdisc.org","Code_167","Code","1e705c10-9436-4c58-9b26-e0f4a336ce12","C49487","2023-12-15","No"
"http://www.cdisc.org","Code_168","Code","96892fc3-ce16-4d62-8ecd-077a5a5693d8","C49488","2023-12-15","Yes"
